State,County,Supercenters & club stores per 1000 pop (% change) 2011-16 (PCH_SUPERCPTH_11_16),Units,FIPS,FID
Arkansas,Miller,-0.28034827,% change,5091,287
Arkansas,Mississippi,114.578523959,% change,5093,294
Arkansas,Monroe,0.0,% change,5095,300
Arkansas,Montgomery,0.0,% change,5097,304
Arkansas,Nevada,0.0,% change,5099,307
Arkansas,Newton,0.0,% change,5101,311
Arkansas,Ouachita,nan,% change,5103,316
Arkansas,Perry,0.0,% change,5105,318
Arkansas,Phillips,12.362204724,% change,5107,322
Arkansas,Pike,0.0,% change,5109,327
Arkansas,Poinsett,1.7994002,% change,5111,333
Arkansas,Polk,2.050543667,% change,5113,337
Arkansas,Pope,-1.876213744,% change,5115,340
Arkansas,Prairie,0.0,% change,5117,345
Arkansas,Pulaski,40.317715139,% change,5119,350
Arkansas,Randolph,3.228400735,% change,5121,353
Arkansas,St. Francis,6.371654501,% change,5123,357
Arkansas,Saline,-6.861886253,% change,5125,360
Arkansas,Scott,0.0,% change,5127,364
Arkansas,Searcy,0.0,% change,5129,372
Arkansas,Sebastian,24.371898689,% change,5131,378
Arkansas,Sevier,1.297552344,% change,5133,390
Arkansas,Sharp,0.764383242,% change,5135,394
Arkansas,Stone,-0.024,% change,5137,399
Arkansas,Union,3.812677152,% change,5139,403
Arkansas,Van Buren,3.465286969,% change,5141,407
Arkansas,Washington,9.525834798,% change,5143,417
Arkansas,White,97.886805855,% change,5145,428
Arkansas,Woodruff,0.0,% change,5147,435
Arkansas,Yell,2.038536722,% change,5149,438
California,Alameda,-7.320249499,% change,6001,457
California,Alpine,0.0,% change,6003,461
California,Amador,0.0,% change,6005,472
California,Butte,-2.879152411,% change,6007,486
California,Calaveras,0.0,% change,6009,489
California,Colusa,0.0,% change,6011,497
California,Contra Costa,-6.363967698,% change,6013,503
California,Del Norte,nan,% change,6015,511
California,El Dorado,0.0,% change,6017,522
California,Fresno,92.001502755,% change,6019,527
California,Glenn,nan,% change,6021,537
California,Humboldt,98.22644358,% change,6023,551
California,Imperial,-2.664935352,% change,6025,557
California,Inyo,0.0,% change,6027,562
California,Kern,91.793113889,% change,6029,84
California,Kings,102.981368118,% change,6031,94
California,Lake,0.0,% change,6033,100
California,Lassen,0.0,% change,6035,104
California,Los Angeles,33.025460636,% change,6037,139
California,Madera,0.0,% change,6039,153
California,Marin,-2.304498111,% change,6041,168
California,Mariposa,0.0,% change,6043,178
California,Mendocino,0.0,% change,6045,190
California,Merced,44.82795171,% change,6047,204
California,Modoc,0.0,% change,6049,207
California,Mono,0.0,% change,6051,214
California,Monterey,60.8607207,% change,6053,228
California,Napa,94.713693708,% change,6055,236
California,Nevada,0.0,% change,6057,243
California,Orange,44.13548088,% change,6059,257
California,Placer,25.15339362,% change,6061,266
California,Plumas,0.0,% change,6063,275
California,Riverside,48.798938864,% change,6065,281
California,Sacramento,73.792188168,% change,6067,289
California,San Benito,0.0,% change,6069,295
California,San Bernardino,57.912887545,% change,6071,302
California,San Diego,96.58309835,% change,6073,315
California,San Francisco,-6.826708732,% change,6075,331
California,San Joaquin,136.646016446,% change,6077,339
California,San Luis Obispo,-3.943574156,% change,6079,351
California,San Mateo,-5.26780853,% change,6081,368
California,Santa Barbara,-4.534658612,% change,6083,391
California,Santa Clara,14.770657797,% change,6085,406
California,Santa Cruz,-3.667567843,% change,6087,415
California,Shasta,49.010762191,% change,6089,431
California,Sierra,0.0,% change,6091,439
California,Siskiyou,nan,% change,6093,446
California,Solano,51.400396986,% change,6095,453
California,Sonoma,-3.177838689,% change,6097,463
California,Stanislaus,27.589945932,% change,6099,473
California,Sutter,-1.559474484,% change,6101,483
California,Tehama,0.0,% change,6103,492
California,Trinity,0.0,% change,6105,500
California,Tulare,29.434034597,% change,6107,501
California,Tuolumne,-100.0,% change,6109,513
California,Ventura,95.275268595,% change,6111,521
California,Yolo,-6.425756741,% change,6113,525
California,Yuba,-3.556560484,% change,6115,541
Colorado,Adams,-16.801988359,% change,8001,545
Colorado,Alamosa,-2.060038892,% change,8003,549
Colorado,Arapahoe,14.796278823,% change,8005,558
Colorado,Archuleta,nan,% change,8007,560
Colorado,Baca,0.0,% change,8009,563
Colorado,Bent,0.0,% change,8011,564
Colorado,Boulder,-6.43111345,% change,8013,570
Colorado,Broomfield,-13.628230766,% change,8014,577
Colorado,Chaffee,-5.570694896,% change,8015,582
Colorado,Cheyenne,0.0,% change,8017,587
Colorado,Clear Creek,0.0,% change,8019,591
Colorado,Conejos,0.0,% change,8021,596
Colorado,Costilla,0.0,% change,8023,599
Colorado,Crowley,0.0,% change,8025,605
Colorado,Custer,0.0,% change,8027,610
Colorado,Delta,0.085678508,% change,8029,617
Colorado,Denver,27.349392066,% change,8031,628
Colorado,Dolores,0.0,% change,8033,636
Colorado,Douglas,14.70218225,% change,8035,644
Colorado,Eagle,-4.547126775,% change,8037,648
Colorado,Elbert,-7.479733237,% change,8039,655
Colorado,El Paso,-0.675523025,% change,8041,661
Colorado,Fremont,0.871956679,% change,8043,664
Colorado,Garfield,-4.994397854,% change,8045,667
Colorado,Gilpin,0.0,% change,8047,672
Colorado,Grand,0.0,% change,8049,677
Colorado,Gunnison,0.0,% change,8051,682
Colorado,Hinsdale,0.0,% change,8053,688
Colorado,Huerfano,0.0,% change,8055,693
Colorado,Jackson,0.0,% change,8057,701
Colorado,Jefferson,1.955273122,% change,8059,706
Colorado,Kiowa,0.0,% change,8061,711
Colorado,Kit Carson,0.0,% change,8063,716
Colorado,Lake,0.0,% change,8065,721
Colorado,La Plata,-6.240944654,% change,8067,727
Colorado,Larimer,35.154683028,% change,8069,734
Colorado,Las Animas,6.715411372,% change,8071,741
Colorado,Lincoln,0.0,% change,8073,747
Colorado,Logan,0.725199544,% change,8075,749
Colorado,Mesa,-1.680975206,% change,8077,751
Colorado,Mineral,0.0,% change,8079,757
Colorado,Moffat,1.907149913,% change,8081,758
Colorado,Montezuma,-1.971126083,% change,8083,766
Colorado,Montrose,-0.570942663,% change,8085,769
Colorado,Morgan,1.186615829,% change,8087,775
Colorado,Otero,3.404791929,% change,8089,777
Colorado,Ouray,0.0,% change,8091,780
Colorado,Park,0.0,% change,8093,782
Colorado,Phillips,0.0,% change,8095,785
Colorado,Pitkin,0.0,% change,8097,789
Colorado,Prowers,4.395696055,% change,8099,792
Colorado,Pueblo,-2.828906658,% change,8101,795
Colorado,Rio Blanco,0.0,% change,8103,799
Colorado,Rio Grande,0.0,% change,8105,802
Colorado,Routt,0.0,% change,8107,809
Colorado,Saguache,0.0,% change,8109,811
Colorado,San Juan,0.0,% change,8111,347
Colorado,San Miguel,0.0,% change,8113,359
Colorado,Sedgwick,0.0,% change,8115,366
Colorado,Summit,0.0,% change,8117,373
Colorado,Teller,-2.816139767,% change,8119,375
Colorado,Washington,0.0,% change,8121,377
Colorado,Weld,17.149430913,% change,8123,382
Colorado,Yuma,0.0,% change,8125,385
Connecticut,Fairfield,22.393438202,% change,9001,410
Connecticut,Hartford,16.963838703,% change,9003,432
Connecticut,Litchfield,3.265482231,% change,9005,443
Connecticut,Middlesex,0.0,% change,9007,450
Connecticut,New Haven,11.725083875,% change,9009,466
Connecticut,New London,1.455216537,% change,9011,517
Connecticut,Tolland,0.0,% change,9013,524
Connecticut,Windham,53.042863791,% change,9015,529
Delaware,Kent,41.755553521,% change,10001,532
Delaware,New Castle,-2.790888606,% change,10003,536
Delaware,Sussex,-8.92350052,% change,10005,609
District of Columbia,District of Columbia,nan,% change,11001,630
Florida,Alachua,-5.488743706,% change,12001,639
Florida,Baker,-3.127350887,% change,12003,641
Florida,Bay,85.276951998,% change,12005,658
Florida,Bradford,6.375336726,% change,12007,665
Florida,Brevard,-5.789939072,% change,12009,686
Florida,Broward,42.093229926,% change,12011,695
Florida,Calhoun,0.0,% change,12013,699
Florida,Charlotte,34.612448571,% change,12015,743
Florida,Citrus,193.233792573,% change,12017,843
Florida,Clay,-7.213858329,% change,12019,852
Florida,Collier,4.420482844,% change,12021,894
Florida,Columbia,-2.836562058,% change,12023,903
Florida,DeSoto,-3.14822547,% change,12027,906
Florida,Dixie,0.0,% change,12029,918
Florida,Duval,4.086563318,% change,12031,924
Florida,Escambia,-3.960399216,% change,12033,931
Florida,Flagler,80.854320301,% change,12035,935
Florida,Franklin,0.0,% change,12037,937
Florida,Gadsden,2.599935002,% change,12039,938
Florida,Gilchrist,0.0,% change,12041,939
Florida,Glades,0.0,% change,12043,940
Florida,Gulf,0.0,% change,12045,941
Florida,Hamilton,0.0,% change,12047,942
Florida,Hardee,1.044901538,% change,12049,943
Florida,Hendry,96.473259334,% change,12051,944
Florida,Hernando,18.555569579,% change,12053,945
Florida,Highlands,-3.059335552,% change,12055,946
Florida,Hillsborough,25.908816962,% change,12057,947
Florida,Holmes,0.0,% change,12059,948
Florida,Indian River,-8.122498051,% change,12061,949
Florida,Jackson,1.847096828,% change,12063,950
Florida,Jefferson,0.0,% change,12065,951
Florida,Lafayette,0.0,% change,12067,952
Florida,Lake,-10.410486807,% change,12069,953
Florida,Lee,20.940023069,% change,12071,954
Florida,Leon,-3.039286038,% change,12073,955
Florida,Levy,0.760332238,% change,12075,956
Florida,Liberty,0.0,% change,12077,957
Florida,Madison,0.0,% change,12079,958
Florida,Manatee,16.285150561,% change,12081,959
Florida,Marion,11.361123,% change,12083,960
Florida,Martin,-37.795613437,% change,12085,961
Florida,Miami-Dade,35.734578668,% change,12086,962
Florida,Monroe,0.0,% change,12087,963
Florida,Nassau,-7.22704637,% change,12089,964
Florida,Okaloosa,-8.421078959,% change,12091,965
Florida,Okeechobee,-2.071405755,% change,12093,966
Florida,Orange,1.721198581,% change,12095,967
Florida,Osceola,-7.223697447,% change,12097,968
Florida,Palm Beach,12.410684205,% change,12099,969
Florida,Pasco,37.055709308,% change,12101,970
Florida,Pinellas,55.145911677,% change,12103,971
Florida,Polk,11.760502215,% change,12105,972
Florida,Putnam,1.70018231,% change,12107,973
Florida,St. Johns,-16.578456983,% change,12109,974
Florida,St. Lucie,-8.361240072,% change,12111,975
Florida,Santa Rosa,-8.429817185,% change,12113,976
Florida,Sarasota,29.618653407,% change,12115,977
Florida,Seminole,16.809642045,% change,12117,978
Florida,Sumter,-19.771374293,% change,12119,979
Florida,Suwannee,-1.097296681,% change,12121,980
Florida,Taylor,2.414323176,% change,12123,981
Florida,Union,0.0,% change,12125,982
Florida,Volusia,16.834471248,% change,12127,983
Florida,Wakulla,-2.86655167,% change,12129,984
Florida,Walton,-15.055012225,% change,12131,985
Florida,Washington,0.233128834,% change,12133,986
Georgia,Appling,-0.086556668,% change,13001,987
Georgia,Atkinson,0.0,% change,13003,988
Georgia,Bacon,0.0,% change,13005,989
Georgia,Baker,0.0,% change,13007,990
Georgia,Baldwin,-0.095153795,% change,13009,991
Georgia,Banks,-0.229395379,% change,13011,992
Georgia,Barrow,-9.335720123,% change,13013,993
Georgia,Bartow,-3.111252913,% change,13015,994
Georgia,Ben Hill,2.169866201,% change,13017,995
Georgia,Berrien,0.0,% change,13019,996
Georgia,Bibb,1.965340557,% change,13021,997
Georgia,Bleckley,nan,% change,13023,998
Georgia,Brantley,0.0,% change,13025,999
Georgia,Brooks,0.0,% change,13027,565
Georgia,Bryan,0.0,% change,13029,573
Georgia,Bulloch,-2.72212631,% change,13031,579
Georgia,Burke,3.954352442,% change,13033,583
Georgia,Butts,0.0,% change,13035,588
Georgia,Calhoun,0.0,% change,13037,592
Georgia,Camden,-4.021672772,% change,13039,603
Georgia,Candler,0.0,% change,13043,616
Georgia,Carroll,-4.75789184,% change,13045,620
Georgia,Catoosa,193.17759971,% change,13047,626
Georgia,Charlton,0.0,% change,13049,635
Georgia,Chatham,9.60353387,% change,13051,646
Georgia,Chattahoochee,0.0,% change,13053,656
Georgia,Chattooga,3.398703338,% change,13055,659
Georgia,Cherokee,44.251655629,% change,13057,662
Georgia,Clarke,-5.267241517,% change,13059,666
Georgia,Clay,0.0,% change,13061,670
Georgia,Clayton,-6.302007814,% change,13063,673
Georgia,Clinch,0.0,% change,13065,676
Georgia,Cobb,-7.068038061,% change,13067,680
Georgia,Coffee,0.0395211,% change,13069,684
Georgia,Colquitt,0.396312759,% change,13071,689
Georgia,Columbia,31.14254905,% change,13073,692
Georgia,Cook,nan,% change,13075,697
Georgia,Coweta,-7.886981035,% change,13077,700
Georgia,Crawford,0.0,% change,13079,704
Georgia,Crisp,3.60148245,% change,13081,707
Georgia,Dade,0.0,% change,13083,708
Georgia,Dawson,-5.590141024,% change,13085,713
Georgia,Decatur,3.526108928,% change,13087,714
Georgia,DeKalb,45.762944908,% change,13089,718
Georgia,Dodge,3.71454624,% change,13091,720
Georgia,Dooly,0.0,% change,13093,724
Georgia,Dougherty,5.162896178,% change,13095,728
Georgia,Douglas,-6.194858507,% change,13097,731
Georgia,Early,0.0,% change,13099,735
Georgia,Echols,0.0,% change,13101,737
Georgia,Effingham,-9.999487644,% change,13103,742
Georgia,Elbert,0.0,% change,13105,746
Georgia,Emanuel,0.388323514,% change,13107,750
Georgia,Evans,0.0,% change,13109,754
Georgia,Fannin,nan,% change,13111,755
Georgia,Fayette,-3.62793039,% change,13113,760
Georgia,Floyd,-25.309718485,% change,13115,764
Georgia,Forsyth,15.804550432,% change,13117,768
Georgia,Franklin,0.0,% change,13119,772
Georgia,Fulton,26.320037193,% change,13121,779
Georgia,Gilmer,-5.677088536,% change,13123,781
Georgia,Glascock,0.0,% change,13125,783
Georgia,Glynn,89.717016846,% change,13127,793
Georgia,Gordon,-2.614631407,% change,13129,796
Georgia,Grady,0.915920138,% change,13131,797
Georgia,Greene,0.0,% change,13133,800
Georgia,Gwinnett,-19.238100278,% change,13135,804
Georgia,Habersham,nan,% change,13137,806
Georgia,Hall,54.971624447,% change,13139,808
Georgia,Hancock,0.0,% change,13141,810
Georgia,Haralson,-1.272847085,% change,13143,813
Georgia,Harris,0.0,% change,13145,814
Georgia,Hart,-0.457961484,% change,13147,816
Georgia,Heard,0.0,% change,13149,817
Georgia,Henry,-19.813357341,% change,13151,820
Georgia,Houston,26.405113414,% change,13153,823
Georgia,Irwin,0.0,% change,13155,825
Georgia,Jackson,0.0,% change,13157,828
Georgia,Jasper,0.0,% change,13159,830
Georgia,Jeff Davis,1.255845023,% change,13161,832
Georgia,Jefferson,0.0,% change,13163,834
Georgia,Jenkins,0.0,% change,13165,835
Georgia,Johnson,0.0,% change,13167,837
Georgia,Jones,0.0,% change,13169,839
Georgia,Lamar,0.0,% change,13171,841
Georgia,Lanier,0.0,% change,13173,845
Georgia,Laurens,1.3815901,% change,13175,847
Georgia,Lee,0.0,% change,13177,849
Georgia,Liberty,6.025411305,% change,13179,855
Georgia,Lincoln,0.0,% change,13181,857
Georgia,Long,0.0,% change,13183,860
Georgia,Lowndes,-2.45481427,% change,13185,863
Georgia,Lumpkin,-3.244734839,% change,13187,865
Georgia,McDuffie,0.731730052,% change,13189,868
Georgia,McIntosh,0.0,% change,13191,871
Georgia,Macon,0.0,% change,13193,874
Georgia,Madison,0.0,% change,13195,875
Georgia,Marion,0.0,% change,13197,877
Georgia,Meriwether,0.0,% change,13199,879
Georgia,Miller,0.0,% change,13201,881
Georgia,Mitchell,nan,% change,13205,883
Georgia,Monroe,nan,% change,13207,885
Georgia,Montgomery,0.0,% change,13209,887
Georgia,Morgan,-1.203024116,% change,13211,890
Georgia,Murray,0.0,% change,13213,892
Georgia,Muscogee,-0.496671031,% change,13215,896
Georgia,Newton,-5.727153312,% change,13217,899
Georgia,Oconee,-9.813920686,% change,13219,901
Georgia,Oglethorpe,0.0,% change,13221,905
Georgia,Paulding,-7.581706077,% change,13223,908
Georgia,Peach,0.0,% change,13225,910
Georgia,Pickens,-4.179833849,% change,13227,912
Georgia,Pierce,0.0,% change,13229,915
Georgia,Pike,0.0,% change,13231,7
Georgia,Polk,-1.018451953,% change,13233,8
Georgia,Pulaski,0.0,% change,13235,11
Georgia,Putnam,-1.262298125,% change,13237,13
Georgia,Quitman,0.0,% change,13239,16
Georgia,Rabun,-1.560987415,% change,13241,18
Georgia,Randolph,0.0,% change,13243,23
Georgia,Richmond,98.386202527,% change,13245,24
Georgia,Rockdale,-4.332307692,% change,13247,28
Georgia,Schley,0.0,% change,13249,31
Georgia,Screven,0.0,% change,13251,34
Georgia,Seminole,0.0,% change,13253,38
Georgia,Spalding,-0.82412901,% change,13255,41
Georgia,Stephens,0.194371015,% change,13257,45
Georgia,Stewart,0.0,% change,13259,48
Georgia,Sumter,5.689342777,% change,13261,52
Georgia,Talbot,0.0,% change,13263,57
Georgia,Taliaferro,0.0,% change,13265,60
Georgia,Tattnall,0.0,% change,13267,63
Georgia,Taylor,0.0,% change,13269,69
Georgia,Telfair,0.0,% change,13271,75
Georgia,Terrell,0.0,% change,13273,78
Georgia,Thomas,-1.080062098,% change,13275,83
Georgia,Tift,1.350553506,% change,13277,87
Georgia,Toombs,0.073542931,% change,13279,91
Georgia,Towns,0.0,% change,13281,95
Georgia,Treutlen,0.0,% change,13283,102
Georgia,Troup,93.868952075,% change,13285,105
Georgia,Turner,0.0,% change,13287,108
Georgia,Twiggs,0.0,% change,13289,116
Georgia,Union,-6.213592233,% change,13291,120
Georgia,Upson,2.727654217,% change,13293,123
Georgia,Walker,0.71422299,% change,13295,126
Georgia,Walton,-5.923635595,% change,13297,127
Georgia,Ware,1.453488372,% change,13299,132
Georgia,Warren,0.0,% change,13301,135
Georgia,Washington,3.096888365,% change,13303,143
Georgia,Wayne,1.050525263,% change,13305,147
Georgia,Webster,0.0,% change,13307,149
Georgia,Wheeler,0.0,% change,13309,154
Georgia,White,-4.91934085,% change,13311,157
Georgia,Whitfield,-1.568320312,% change,13313,159
Georgia,Wilcox,0.0,% change,13315,163
Georgia,Wilkes,0.0,% change,13317,167
Georgia,Wilkinson,0.0,% change,13319,169
Georgia,Worth,nan,% change,13321,173
Hawaii,Hawaii,-52.92730558,% change,15001,198
Hawaii,Honolulu,7.091777376,% change,15003,234
Hawaii,Kalawao,0.0,% change,15005,247
Hawaii,Kauai,-52.742827683,% change,15007,261
Hawaii,Maui,-5.167368065,% change,15009,323
Idaho,Ada,30.374840468,% change,16001,336
Idaho,Adams,0.0,% change,16003,338
Idaho,Bannock,-25.693300466,% change,16005,343
Idaho,Bear Lake,0.0,% change,16007,349
Idaho,Benewah,0.0,% change,16009,354
Idaho,Bingham,1.405369572,% change,16011,362
Idaho,Blaine,0.0,% change,16013,371
Idaho,Boise,0.0,% change,16015,380
Idaho,Bonner,-3.719623078,% change,16017,387
Idaho,Bonneville,-5.569292569,% change,16019,395
Idaho,Boundary,0.0,% change,16021,405
Idaho,Butte,0.0,% change,16023,414
Idaho,Camas,0.0,% change,16025,429
Idaho,Canyon,-24.480881306,% change,16027,441
Idaho,Caribou,0.0,% change,16029,449
Idaho,Cassia,-1.547182678,% change,16031,456
Idaho,Clark,0.0,% change,16033,464
Idaho,Clearwater,0.0,% change,16035,474
Idaho,Custer,0.0,% change,16037,484
Idaho,Elmore,0.402453047,% change,16039,490
Idaho,Franklin,0.0,% change,16041,498
Idaho,Fremont,0.0,% change,16043,502
Idaho,Gem,-1.766888509,% change,16045,510
Idaho,Gooding,0.0,% change,16047,519
Idaho,Idaho,0.0,% change,16049,528
Idaho,Jefferson,0.0,% change,16051,540
Idaho,Jerome,-3.091542331,% change,16053,547
Idaho,Kootenai,-23.339580177,% change,16055,552
Idaho,Latah,nan,% change,16057,559
Idaho,Lemhi,0.0,% change,16059,566
Idaho,Lewis,0.0,% change,16061,574
Idaho,Lincoln,0.0,% change,16063,578
Idaho,Madison,0.0,% change,16065,581
Idaho,Minidoka,0.0,% change,16067,585
Idaho,Nez Perce,0.0,% change,16069,589
Idaho,Oneida,0.0,% change,16071,593
Idaho,Owyhee,0.0,% change,16073,601
Idaho,Payette,0.0,% change,16075,606
Idaho,Power,0.0,% change,16077,613
Idaho,Shoshone,2.022073632,% change,16079,621
Idaho,Teton,0.0,% change,16081,627
Idaho,Twin Falls,-6.578002298,% change,16083,634
Idaho,Valley,0.0,% change,16085,643
