State,County,Recreation & fitness facilities per 1000 pop (% change) 2011-16 (PCH_RECFACPTH_11_16),Units,FIPS,FID
Arkansas,Fulton,nan,% change,5049,146
Arkansas,Garland,-43.669804557,% change,5051,151
Arkansas,Grant,nan,% change,5053,155
Arkansas,Greene,-28.294196578,% change,5055,162
Arkansas,Hempstead,-100.0,% change,5057,172
Arkansas,Hot Spring,98.104407104,% change,5059,184
Arkansas,Howard,2.850126507,% change,5061,191
Arkansas,Independence,98.662856527,% change,5063,200
Arkansas,Izard,0.0,% change,5065,203
Arkansas,Jackson,-100.0,% change,5067,209
Arkansas,Jefferson,-45.97253419,% change,5069,213
Arkansas,Johnson,-2.226882745,% change,5071,218
Arkansas,Lafayette,0.0,% change,5073,222
Arkansas,Lawrence,nan,% change,5075,230
Arkansas,Lee,0.0,% change,5077,237
Arkansas,Lincoln,3.808834178,% change,5079,244
Arkansas,Little River,0.0,% change,5081,251
Arkansas,Logan,-100.0,% change,5083,258
Arkansas,Lonoke,45.194197082,% change,5085,268
Arkansas,Madison,0.0,% change,5087,277
Arkansas,Marion,0.0,% change,5089,282
Arkansas,Miller,-0.28034827,% change,5091,287
Arkansas,Mississippi,168.223154949,% change,5093,294
Arkansas,Monroe,nan,% change,5095,300
Arkansas,Montgomery,0.0,% change,5097,304
Arkansas,Nevada,0.0,% change,5099,307
Arkansas,Newton,0.0,% change,5101,311
Arkansas,Ouachita,7.115200466,% change,5103,316
Arkansas,Perry,0.0,% change,5105,318
Arkansas,Phillips,124.724409449,% change,5107,322
Arkansas,Pike,0.0,% change,5109,327
Arkansas,Poinsett,0.0,% change,5111,333
Arkansas,Polk,104.101087334,% change,5113,337
Arkansas,Pope,-1.876213744,% change,5115,340
Arkansas,Prairie,0.0,% change,5117,345
Arkansas,Pulaski,-9.795754553,% change,5119,350
Arkansas,Randolph,3.228400735,% change,5121,353
Arkansas,St. Francis,nan,% change,5123,357
Arkansas,Saline,24.184151662,% change,5125,360
Arkansas,Scott,0.0,% change,5127,364
Arkansas,Searcy,0.0,% change,5129,372
Arkansas,Sebastian,-13.768816909,% change,5131,378
Arkansas,Sevier,1.297552344,% change,5133,390
Arkansas,Sharp,0.764383242,% change,5135,394
Arkansas,Stone,nan,% change,5137,399
Arkansas,Union,-48.093661424,% change,5139,403
Arkansas,Van Buren,3.465286969,% change,5141,407
Arkansas,Washington,-8.728471002,% change,5143,417
Arkansas,White,-30.739617951,% change,5145,428
Arkansas,Woodruff,nan,% change,5147,435
Arkansas,Yell,0.0,% change,5149,438
California,Alameda,-0.289371874,% change,6001,457
California,Alpine,0.0,% change,6003,461
California,Amador,0.176126811,% change,6005,472
California,Butte,33.541165434,% change,6007,486
California,Calaveras,-20.268343816,% change,6009,489
California,Colusa,nan,% change,6011,497
California,Contra Costa,16.009243559,% change,6013,503
California,Del Norte,-100.0,% change,6015,511
California,El Dorado,74.881356296,% change,6017,522
California,Fresno,52.616579113,% change,6019,527
California,Glenn,-100.0,% change,6021,537
California,Humboldt,29.609597725,% change,6023,551
California,Imperial,110.892640071,% change,6025,557
California,Inyo,-74.491238771,% change,6027,562
California,Kern,12.269139838,% change,6029,84
California,Kings,-35.415019235,% change,6031,94
California,Lake,50.757623143,% change,6033,100
California,Lassen,-72.333893485,% change,6035,104
California,Los Angeles,28.084914191,% change,6037,139
California,Madera,12.006873397,% change,6039,153
California,Marin,23.863939895,% change,6041,168
California,Mariposa,3.709198813,% change,6043,178
California,Mendocino,-23.740644427,% change,6045,190
California,Merced,41.114414487,% change,6047,204
California,Modoc,0.0,% change,6049,207
California,Mono,103.233813205,% change,6051,214
California,Monterey,11.959061607,% change,6053,228
California,Napa,11.960373882,% change,6055,236
California,Nevada,10.730843308,% change,6057,243
California,Orange,35.544624404,% change,6059,257
California,Placer,7.844945566,% change,6061,266
California,Plumas,4.944908713,% change,6063,275
California,Riverside,27.756664682,% change,6065,281
California,Sacramento,15.948507207,% change,6067,289
California,San Benito,120.352237297,% change,6069,295
California,San Bernardino,10.667798356,% change,6071,302
California,San Diego,19.04877074,% change,6073,315
California,San Francisco,19.194660902,% change,6075,331
California,San Joaquin,28.840608954,% change,6077,339
California,San Luis Obispo,6.729362049,% change,6079,351
California,San Mateo,-3.463385835,% change,6081,368
California,Santa Barbara,10.152316986,% change,6083,391
California,Santa Clara,22.401271409,% change,6085,406
California,Santa Cruz,-18.993182049,% change,6087,415
California,Shasta,20.627759869,% change,6089,431
California,Sierra,0.0,% change,6091,439
California,Siskiyou,70.891651919,% change,6093,446
California,Solano,19.526629199,% change,6095,453
California,Sonoma,15.184985008,% change,6097,463
California,Stanislaus,5.765349917,% change,6099,473
California,Sutter,-1.559474484,% change,6101,483
California,Tehama,-0.152890738,% change,6103,492
California,Trinity,-100.0,% change,6105,500
California,Tulare,-9.396175782,% change,6107,501
California,Tuolumne,-15.04762613,% change,6109,513
California,Ventura,13.704586777,% change,6111,521
California,Yolo,-0.92138949,% change,6113,525
California,Yuba,92.886879032,% change,6115,541
Colorado,Adams,22.330673242,% change,8001,545
Colorado,Alamosa,-2.060038892,% change,8003,549
Colorado,Arapahoe,30.980672231,% change,8005,558
Colorado,Archuleta,87.192271736,% change,8007,560
Colorado,Baca,0.0,% change,8009,563
Colorado,Bent,0.0,% change,8011,564
Colorado,Boulder,16.961108188,% change,8013,570
Colorado,Broomfield,35.72706594,% change,8014,577
Colorado,Chaffee,-37.04712993,% change,8015,582
Colorado,Cheyenne,0.0,% change,8017,587
Colorado,Clear Creek,-3.835060357,% change,8019,591
Colorado,Conejos,0.0,% change,8021,596
Colorado,Costilla,0.0,% change,8023,599
Colorado,Crowley,0.0,% change,8025,605
Colorado,Custer,0.0,% change,8027,610
Colorado,Delta,-100.0,% change,8029,617
Colorado,Denver,48.188383495,% change,8031,628
Colorado,Dolores,0.0,% change,8033,636
Colorado,Douglas,29.99580655,% change,8035,644
Colorado,Eagle,6.058748028,% change,8037,648
Colorado,Elbert,0.0,% change,8039,655
Colorado,El Paso,4.290700824,% change,8041,661
Colorado,Fremont,-39.476825992,% change,8043,664
Colorado,Garfield,-23.995518283,% change,8045,667
Colorado,Gilpin,0.0,% change,8047,672
Colorado,Grand,44.199881023,% change,8049,677
Colorado,Gunnison,-53.174458796,% change,8051,682
Colorado,Hinsdale,0.0,% change,8053,688
Colorado,Huerfano,nan,% change,8055,693
Colorado,Jackson,0.0,% change,8057,701
Colorado,Jefferson,36.749532997,% change,8059,706
Colorado,Kiowa,0.0,% change,8061,711
Colorado,Kit Carson,-100.0,% change,8063,716
Colorado,Lake,nan,% change,8065,721
Colorado,La Plata,-6.240944654,% change,8067,727
Colorado,Larimer,15.248179326,% change,8069,734
Colorado,Las Animas,-64.428196209,% change,8071,741
Colorado,Lincoln,0.0,% change,8073,747
Colorado,Logan,0.725199544,% change,8075,749
Colorado,Mesa,-18.067479338,% change,8077,751
Colorado,Mineral,0.0,% change,8079,757
Colorado,Moffat,1.907149913,% change,8081,758
Colorado,Montezuma,-100.0,% change,8083,766
Colorado,Montrose,-33.713961775,% change,8085,769
Colorado,Morgan,1.186615829,% change,8087,775
Colorado,Otero,-100.0,% change,8089,777
Colorado,Ouray,0.0,% change,8091,780
Colorado,Park,0.0,% change,8093,782
Colorado,Phillips,2.172389629,% change,8095,785
Colorado,Pitkin,-28.135129094,% change,8097,789
Colorado,Prowers,-100.0,% change,8099,792
Colorado,Pueblo,29.56145779,% change,8101,795
Colorado,Rio Blanco,0.0,% change,8103,799
Colorado,Rio Grande,-47.499559005,% change,8105,802
Colorado,Routt,9.892351122,% change,8107,809
Colorado,Saguache,0.0,% change,8109,811
Colorado,San Juan,0.0,% change,8111,347
Colorado,San Miguel,-6.215469613,% change,8113,359
Colorado,Sedgwick,0.0,% change,8115,366
Colorado,Summit,-38.485208141,% change,8117,373
Colorado,Teller,-2.816139767,% change,8119,375
Colorado,Washington,0.0,% change,8121,377
Colorado,Weld,-12.137926816,% change,8123,382
Colorado,Yuma,0.0,% change,8125,385
Connecticut,Fairfield,18.817899557,% change,9001,410
Connecticut,Hartford,25.983806036,% change,9003,432
Connecticut,Litchfield,-13.256994926,% change,9005,443
Connecticut,Middlesex,5.802132984,% change,9007,450
Connecticut,New Haven,35.629055309,% change,9009,466
Connecticut,New London,20.965835102,% change,9011,517
Connecticut,Tolland,-11.389642396,% change,9013,524
Connecticut,Windham,-12.546934977,% change,9015,529
Delaware,Kent,-5.496297653,% change,10001,532
Delaware,New Castle,3.913188041,% change,10003,536
Delaware,Sussex,4.569314218,% change,10005,609
District of Columbia,District of Columbia,23.281101681,% change,11001,630
Florida,Alachua,16.563882763,% change,12001,639
Florida,Baker,-3.127350887,% change,12003,641
Florida,Bay,28.268659075,% change,12005,658
Florida,Bradford,6.375336726,% change,12007,665
Florida,Brevard,17.76257616,% change,12009,686
Florida,Broward,19.639818594,% change,12011,695
Florida,Calhoun,0.0,% change,12013,699
Florida,Charlotte,-43.911479762,% change,12015,743
Florida,Citrus,-14.473477166,% change,12017,843
Florida,Clay,10.183543235,% change,12019,852
Florida,Collier,40.221791247,% change,12021,894
Florida,Columbia,-30.597544327,% change,12023,903
Florida,DeSoto,-100.0,% change,12027,906
Florida,Dixie,0.0,% change,12029,918
Florida,Duval,1.149376346,% change,12031,924
Florida,Escambia,-8.136034033,% change,12033,931
Florida,Flagler,58.247530263,% change,12035,935
Florida,Franklin,-2.79684719,% change,12037,937
Florida,Gadsden,0.0,% change,12039,938
Florida,Gilchrist,0.0,% change,12041,939
Florida,Glades,0.0,% change,12043,940
Florida,Gulf,nan,% change,12045,941
Florida,Hamilton,nan,% change,12047,942
Florida,Hardee,1.044901538,% change,12049,943
Florida,Hendry,194.709889001,% change,12051,944
Florida,Hernando,-5.155544337,% change,12053,945
Florida,Highlands,-15.176918608,% change,12055,946
Florida,Hillsborough,21.613599795,% change,12057,947
Florida,Holmes,0.0,% change,12059,948
Florida,Indian River,9.104533564,% change,12061,949
Florida,Jackson,103.694193655,% change,12063,950
Florida,Jefferson,-100.0,% change,12065,951
Florida,Lafayette,0.0,% change,12067,952
Florida,Lake,20.945842811,% change,12069,953
Florida,Lee,37.257327769,% change,12071,954
Florida,Leon,43.501856664,% change,12073,955
Florida,Levy,-32.826445175,% change,12075,956
Florida,Liberty,nan,% change,12077,957
Florida,Madison,4.479405659,% change,12079,958
Florida,Manatee,49.509479292,% change,12081,959
Florida,Marion,-4.547608857,% change,12083,960
Florida,Martin,-18.863843614,% change,12085,961
Florida,Miami-Dade,20.58109269,% change,12086,962
Florida,Monroe,21.221756528,% change,12087,963
Florida,Nassau,-21.499808467,% change,12089,964
Florida,Okaloosa,42.456099398,% change,12091,965
Florida,Okeechobee,-2.071405755,% change,12093,966
Florida,Orange,53.461001527,% change,12095,967
Florida,Osceola,46.609465763,% change,12097,968
Florida,Palm Beach,27.635136797,% change,12099,969
Florida,Pasco,10.274708639,% change,12101,970
Florida,Pinellas,5.109439104,% change,12103,971
Florida,Polk,-3.479566269,% change,12105,972
Florida,Putnam,1.70018231,% change,12107,973
Florida,St. Johns,18.546403235,% change,12109,974
Florida,St. Lucie,14.54844991,% change,12111,975
Florida,Santa Rosa,17.73309219,% change,12113,976
Florida,Sarasota,20.360178164,% change,12115,977
Florida,Seminole,7.36545822,% change,12117,978
Florida,Sumter,220.914502829,% change,12119,979
Florida,Suwannee,-1.097296681,% change,12121,980
Florida,Taylor,-65.861892275,% change,12123,981
Florida,Union,0.0,% change,12125,982
Florida,Volusia,18.392264198,% change,12127,983
Florida,Wakulla,-2.86655167,% change,12129,984
Florida,Walton,27.417481663,% change,12131,985
Florida,Washington,0.0,% change,12133,986
Georgia,Appling,-50.043278334,% change,13001,987
Georgia,Atkinson,0.0,% change,13003,988
Georgia,Bacon,-1.786185658,% change,13005,989
Georgia,Baker,0.0,% change,13007,990
Georgia,Baldwin,-57.183637341,% change,13009,991
Georgia,Banks,-0.229395379,% change,13011,992
Georgia,Barrow,135.72712768,% change,13013,993
Georgia,Bartow,45.333120631,% change,13015,994
Georgia,Ben Hill,104.339732403,% change,13017,995
Georgia,Berrien,1.930156727,% change,13019,996
Georgia,Bibb,17.652316027,% change,13021,997
Georgia,Bleckley,0.0,% change,13023,998
Georgia,Brantley,102.01579951,% change,13025,999
Georgia,Brooks,nan,% change,13027,565
Georgia,Bryan,-65.10127783,% change,13029,573
Georgia,Bulloch,29.703831587,% change,13031,579
Georgia,Burke,0.0,% change,13033,583
Georgia,Butts,-0.569380008,% change,13035,588
Georgia,Calhoun,0.0,% change,13037,592
Georgia,Camden,-4.021672772,% change,13039,603
Georgia,Candler,0.0,% change,13043,616
Georgia,Carroll,-22.074638778,% change,13045,620
Georgia,Catoosa,17.271039884,% change,13047,626
Georgia,Charlton,5.576033252,% change,13049,635
Georgia,Chatham,19.567491495,% change,13051,646
Georgia,Chattahoochee,-100.0,% change,13053,656
Georgia,Chattooga,3.398703338,% change,13055,659
Georgia,Cherokee,6.256799905,% change,13057,662
Georgia,Clarke,75.932265754,% change,13059,666
Georgia,Clay,0.0,% change,13061,670
Georgia,Clayton,9.314324217,% change,13063,673
Georgia,Clinch,0.0,% change,13065,676
Georgia,Cobb,22.211895152,% change,13067,680
Georgia,Coffee,200.118563292,% change,13069,684
Georgia,Colquitt,100.792625517,% change,13071,689
Georgia,Columbia,31.14254905,% change,13073,692
Georgia,Cook,nan,% change,13075,697
Georgia,Coweta,12.582578735,% change,13077,700
Georgia,Crawford,0.0,% change,13079,704
Georgia,Crisp,107.202964901,% change,13081,707
Georgia,Dade,0.0,% change,13083,708
Georgia,Dawson,-37.060094016,% change,13085,713
Georgia,Decatur,3.526108928,% change,13087,714
Georgia,DeKalb,14.528028142,% change,13089,718
Georgia,Dodge,211.14363872,% change,13091,720
Georgia,Dooly,nan,% change,13093,724
Georgia,Dougherty,22.690045541,% change,13095,728
Georgia,Douglas,31.32719809,% change,13097,731
Georgia,Early,4.719362983,% change,13099,735
Georgia,Echols,0.0,% change,13101,737
Georgia,Effingham,0.0,% change,13103,742
Georgia,Elbert,nan,% change,13105,746
Georgia,Emanuel,nan,% change,13107,750
Georgia,Evans,0.0,% change,13109,754
Georgia,Fannin,89.164099076,% change,13111,755
Georgia,Fayette,63.832518337,% change,13113,760
Georgia,Floyd,42.267202886,% change,13115,764
Georgia,Forsyth,-17.282463977,% change,13117,768
Georgia,Franklin,-1.50183807,% change,13119,772
Georgia,Fulton,29.99994864,% change,13121,779
Georgia,Gilmer,88.645822928,% change,13123,781
Georgia,Glascock,0.0,% change,13125,783
Georgia,Glynn,-33.599044104,% change,13127,793
Georgia,Gordon,-2.614631407,% change,13129,796
Georgia,Grady,0.915920138,% change,13131,797
Georgia,Greene,0.0,% change,13133,800
Georgia,Gwinnett,40.682018871,% change,13135,804
Georgia,Habersham,-2.51488331,% change,13137,806
Georgia,Hall,85.965949337,% change,13139,808
Georgia,Hancock,0.0,% change,13141,810
Georgia,Haralson,-50.636423542,% change,13143,813
Georgia,Harris,-51.939494898,% change,13145,814
Georgia,Hart,-50.228980742,% change,13147,816
Georgia,Heard,0.0,% change,13149,817
Georgia,Henry,21.616408032,% change,13151,820
Georgia,Houston,-14.676548445,% change,13153,823
Georgia,Irwin,nan,% change,13155,825
Georgia,Jackson,-68.719669221,% change,13157,828
Georgia,Jasper,100.24600246,% change,13159,830
Georgia,Jeff Davis,0.0,% change,13161,832
Georgia,Jefferson,0.0,% change,13163,834
Georgia,Jenkins,0.0,% change,13165,835
Georgia,Johnson,0.0,% change,13167,837
Georgia,Jones,50.950863307,% change,13169,839
Georgia,Lamar,0.0,% change,13171,841
Georgia,Lanier,0.0,% change,13173,845
Georgia,Laurens,102.7631802,% change,13175,847
Georgia,Lee,-2.220321587,% change,13177,849
Georgia,Liberty,-46.987294348,% change,13179,855
Georgia,Lincoln,0.0,% change,13181,857
Georgia,Long,-100.0,% change,13183,860
Georgia,Lowndes,-2.45481427,% change,13185,863
Georgia,Lumpkin,-3.244734839,% change,13187,865
Georgia,McDuffie,0.0,% change,13189,868
Georgia,McIntosh,0.0,% change,13191,871
Georgia,Macon,0.0,% change,13193,874
Georgia,Madison,-100.0,% change,13195,875
Georgia,Marion,0.0,% change,13197,877
Georgia,Meriwether,0.0,% change,13199,879
Georgia,Miller,0.0,% change,13201,881
Georgia,Mitchell,nan,% change,13205,883
Georgia,Monroe,-67.332614061,% change,13207,885
Georgia,Montgomery,0.0,% change,13209,887
Georgia,Morgan,-1.203024116,% change,13211,890
Georgia,Murray,0.0,% change,13213,892
Georgia,Muscogee,26.037550028,% change,13215,896
Georgia,Newton,119.969975605,% change,13217,899
Georgia,Oconee,35.279118971,% change,13219,901
Georgia,Oglethorpe,-0.054385,% change,13221,905
Georgia,Paulding,-20.784319495,% change,13223,908
Georgia,Peach,105.873824306,% change,13225,910
Georgia,Pickens,43.730249226,% change,13227,912
Georgia,Pierce,95.431366427,% change,13229,915
Georgia,Pike,-100.0,% change,13231,7
Georgia,Polk,-40.611071172,% change,13233,8
Georgia,Pulaski,0.0,% change,13235,11
Georgia,Putnam,97.47540375,% change,13237,13
Georgia,Quitman,0.0,% change,13239,16
Georgia,Rabun,-1.560987415,% change,13241,18
Georgia,Randolph,0.0,% change,13243,23
Georgia,Richmond,85.987064869,% change,13245,24
Georgia,Rockdale,27.556923077,% change,13247,28
Georgia,Schley,0.0,% change,13249,31
Georgia,Screven,0.0,% change,13251,34
Georgia,Seminole,0.0,% change,13253,38
Georgia,Spalding,58.681393584,% change,13255,41
Georgia,Stephens,-33.203752656,% change,13257,45
Georgia,Stewart,0.0,% change,13259,48
Georgia,Sumter,111.378685554,% change,13261,52
Georgia,Talbot,0.0,% change,13263,57
Georgia,Taliaferro,0.0,% change,13265,60
Georgia,Tattnall,0.0,% change,13267,63
Georgia,Taylor,0.0,% change,13269,69
Georgia,Telfair,0.0,% change,13271,75
Georgia,Terrell,0.0,% change,13273,78
Georgia,Thomas,-1.080062098,% change,13275,83
Georgia,Tift,-18.919557196,% change,13277,87
Georgia,Toombs,100.147085861,% change,13279,91
Georgia,Towns,0.0,% change,13281,95
Georgia,Treutlen,0.0,% change,13283,102
Georgia,Troup,55.09516166,% change,13285,105
Georgia,Turner,0.0,% change,13287,108
Georgia,Twiggs,0.0,% change,13289,116
Georgia,Union,-100.0,% change,13291,120
Georgia,Upson,-100.0,% change,13293,123
Georgia,Walker,-59.714310804,% change,13295,126
Georgia,Walton,41.114546607,% change,13297,127
Georgia,Ware,-23.909883721,% change,13299,132
Georgia,Warren,0.0,% change,13301,135
Georgia,Washington,nan,% change,13303,143
Georgia,Wayne,1.050525263,% change,13305,147
Georgia,Webster,0.0,% change,13307,149
Georgia,Wheeler,0.0,% change,13309,154
Georgia,White,-100.0,% change,13311,157
Georgia,Whitfield,-57.814994419,% change,13313,159
Georgia,Wilcox,0.0,% change,13315,163
Georgia,Wilkes,nan,% change,13317,167
Georgia,Wilkinson,0.0,% change,13319,169
Georgia,Worth,55.835223708,% change,13321,173
Hawaii,Hawaii,-5.854611161,% change,15001,198
Hawaii,Honolulu,9.784607368,% change,15003,234
Hawaii,Kalawao,0.0,% change,15005,247
Hawaii,Kauai,-5.485655367,% change,15007,261
Hawaii,Maui,21.927669631,% change,15009,323
Idaho,Ada,15.080868798,% change,16001,336
Idaho,Adams,0.0,% change,16003,338
Idaho,Bannock,-0.924400621,% change,16005,343
Idaho,Bear Lake,nan,% change,16007,349
Idaho,Benewah,0.0,% change,16009,354
Idaho,Bingham,-32.396420285,% change,16011,362
Idaho,Blaine,-24.62985961,% change,16013,371
Idaho,Boise,-100.0,% change,16015,380
Idaho,Bonner,-3.719623078,% change,16017,387
Idaho,Bonneville,-5.569292569,% change,16019,395
Idaho,Boundary,-53.570815451,% change,16021,405
Idaho,Butte,0.0,% change,16023,414
Idaho,Camas,0.0,% change,16025,429
Idaho,Canyon,29.461346333,% change,16027,441
Idaho,Caribou,0.0,% change,16029,449
Idaho,Cassia,47.679225982,% change,16031,456
Idaho,Clark,0.0,% change,16033,464
Idaho,Clearwater,nan,% change,16035,474
Idaho,Custer,0.0,% change,16037,484
Idaho,Elmore,0.402453047,% change,16039,490
Idaho,Franklin,0.0,% change,16041,498
Idaho,Fremont,103.429546865,% change,16043,502
Idaho,Gem,47.349667236,% change,16045,510
Idaho,Gooding,0.0,% change,16047,519
Idaho,Idaho,1.275573084,% change,16049,528
Idaho,Jefferson,-100.0,% change,16051,540
Idaho,Jerome,-100.0,% change,16053,547
Idaho,Kootenai,-15.673538195,% change,16055,552
Idaho,Latah,-2.541761188,% change,16057,559
Idaho,Lemhi,3.246249353,% change,16059,566
Idaho,Lewis,0.0,% change,16061,574
Idaho,Lincoln,0.0,% change,16063,578
Idaho,Madison,-67.450555684,% change,16065,581
Idaho,Minidoka,0.0,% change,16067,585
Idaho,Nez Perce,-29.775681222,% change,16069,589
Idaho,Oneida,0.0,% change,16071,593
Idaho,Owyhee,0.0,% change,16073,601
Idaho,Payette,0.0,% change,16075,606
Idaho,Power,0.0,% change,16077,613
