State,County,SNAP redemptions per SNAP-authorized stores (% change) 2012-17 (PCH_REDEMP_SNAPS_12_17),Units,FIPS,FID
Arizona,Coconino,-33.353419728846816,% change,4005,771
Arizona,Gila,-16.267913410582135,% change,4007,787
Arizona,Graham,-21.809237399763145,% change,4009,0
Arizona,Greenlee,-18.652119328693065,% change,4011,1
Arizona,La Paz,-20.323891852372597,% change,4012,3
Arizona,Maricopa,-28.08959137093343,% change,4013,9
Arizona,Mohave,-37.890030899541586,% change,4015,15
Arizona,Navajo,-27.283629415806615,% change,4017,17
Arizona,Pima,-25.28578963985059,% change,4019,21
Arizona,Pinal,-24.70871430008127,% change,4021,26
Arizona,Santa Cruz,-15.083844026271509,% change,4023,32
Arizona,Yavapai,-45.11965049300184,% change,4025,35
Arizona,Yuma,-9.938219994612494,% change,4027,42
Arkansas,Arkansas,-35.6659464799337,% change,5001,46
Arkansas,Ashley,-18.8541539612999,% change,5003,50
Arkansas,Baxter,-41.001093899580134,% change,5005,54
Arkansas,Benton,-40.2508057999517,% change,5007,59
Arkansas,Boone,-16.42093854290845,% change,5009,62
Arkansas,Bradley,-35.69289936313375,% change,5011,68
Arkansas,Calhoun,-39.154155867398856,% change,5013,72
Arkansas,Carroll,-23.488967819606987,% change,5015,74
Arkansas,Chicot,-63.28826585121825,% change,5017,77
Arkansas,Clark,-51.73993421252918,% change,5019,86
Arkansas,Clay,-23.587050294715777,% change,5021,93
Arkansas,Cleburne,-33.11336156022853,% change,5023,97
Arkansas,Cleveland,25.75695306536986,% change,5025,103
Arkansas,Columbia,-29.970709845701048,% change,5027,107
Arkansas,Conway,-47.9825945839704,% change,5029,109
Arkansas,Craighead,-31.821781974573625,% change,5031,114
Arkansas,Crawford,-42.3377847265073,% change,5033,115
Arkansas,Crittenden,-30.655903627519887,% change,5035,119
Arkansas,Cross,-29.252262725250638,% change,5037,124
Arkansas,Dallas,-50.33887704575082,% change,5039,128
Arkansas,Desha,-21.005859016320677,% change,5041,130
Arkansas,Drew,-45.61095192783215,% change,5043,136
Arkansas,Faulkner,-38.00745590556184,% change,5045,141
Arkansas,Franklin,-55.424428051067366,% change,5047,144
Arkansas,Fulton,-28.56589296812252,% change,5049,146
Arkansas,Garland,-32.60261092160287,% change,5051,151
Arkansas,Grant,-45.03698552508692,% change,5053,155
Arkansas,Greene,-42.947140767518704,% change,5055,162
Arkansas,Hempstead,-46.35764523167671,% change,5057,172
Arkansas,Hot Spring,-28.71059139812283,% change,5059,184
Arkansas,Howard,-56.38367278206823,% change,5061,191
Arkansas,Independence,-22.42462495009355,% change,5063,200
Arkansas,Izard,-16.28723596996171,% change,5065,203
Arkansas,Jackson,-35.36679212133752,% change,5067,209
Arkansas,Jefferson,-28.600791461598046,% change,5069,213
Arkansas,Johnson,-40.86930914204319,% change,5071,218
Arkansas,Lafayette,-43.60892182509238,% change,5073,222
Arkansas,Lawrence,-31.0399312441939,% change,5075,230
Arkansas,Lee,-30.339771444299195,% change,5077,237
Arkansas,Lincoln,-54.82521895659252,% change,5079,244
Arkansas,Little River,-37.14337058660638,% change,5081,251
Arkansas,Logan,-49.45738726108101,% change,5083,258
Arkansas,Lonoke,-48.06697062674389,% change,5085,268
Arkansas,Madison,-33.186562289747954,% change,5087,277
Arkansas,Marion,-34.79384852399202,% change,5089,282
Arkansas,Miller,-46.66873860824853,% change,5091,287
Arkansas,Mississippi,-22.63519891453396,% change,5093,294
Arkansas,Monroe,-41.71134271574275,% change,5095,300
Arkansas,Montgomery,-13.031179177078798,% change,5097,304
Arkansas,Nevada,-1.9193319660235808,% change,5099,307
Arkansas,Newton,-6.267680191925421,% change,5101,311
Arkansas,Ouachita,-45.005016529307674,% change,5103,316
Arkansas,Perry,7.922669484867535,% change,5105,318
Arkansas,Phillips,-27.667199130894858,% change,5107,322
Arkansas,Pike,-36.092160113969676,% change,5109,327
Arkansas,Poinsett,-32.586884984959276,% change,5111,333
Arkansas,Polk,-35.522595089979944,% change,5113,337
Arkansas,Pope,-34.74051183742032,% change,5115,340
Arkansas,Prairie,-26.29495468683111,% change,5117,345
Arkansas,Pulaski,-37.91569969053709,% change,5119,350
Arkansas,Randolph,-46.99271875051325,% change,5121,353
Arkansas,St. Francis,-30.111987527957435,% change,5123,357
Arkansas,Saline,-46.082969122310786,% change,5125,360
Arkansas,Scott,-36.33409640276021,% change,5127,364
Arkansas,Searcy,-25.19317825389697,% change,5129,372
Arkansas,Sebastian,-34.05329396303744,% change,5131,378
Arkansas,Sevier,-30.213061580290756,% change,5133,390
Arkansas,Sharp,-26.302041871311506,% change,5135,394
Arkansas,Stone,-20.751085489981342,% change,5137,399
Arkansas,Union,-18.65922744308582,% change,5139,403
Arkansas,Van Buren,-45.51371637573123,% change,5141,407
Arkansas,Washington,-49.46003588962004,% change,5143,417
Arkansas,White,-33.73987741939936,% change,5145,428
Arkansas,Woodruff,-51.45071450900305,% change,5147,435
Arkansas,Yell,-62.734354398653316,% change,5149,438
California,Alameda,-19.16967420586281,% change,6001,457
California,Alpine,nan,% change,6003,461
California,Amador,-16.846684667386462,% change,6005,472
California,Butte,-1.6472644742444267,% change,6007,486
California,Calaveras,-34.48592921699468,% change,6009,489
California,Colusa,-20.907934618770202,% change,6011,497
California,Contra Costa,-20.713405591254492,% change,6013,503
California,Del Norte,-7.5891413529980305,% change,6015,511
California,El Dorado,-27.289826200005894,% change,6017,522
California,Fresno,-5.747594556840219,% change,6019,527
California,Glenn,-19.25191067994876,% change,6021,537
California,Humboldt,7.382826215442571,% change,6023,551
California,Imperial,-10.746555431726403,% change,6025,557
California,Inyo,-14.835950562224129,% change,6027,562
California,Kern,-2.913062020360292,% change,6029,84
California,Kings,-0.42222312283051666,% change,6031,94
California,Lake,-9.600300478453466,% change,6033,100
California,Lassen,-3.5174393571550056,% change,6035,104
California,Los Angeles,-7.302520678716901,% change,6037,139
California,Madera,-7.193732488712865,% change,6039,153
California,Marin,-14.441270258946934,% change,6041,168
California,Mariposa,60.2726818005349,% change,6043,178
California,Mendocino,-15.107982425172493,% change,6045,190
California,Merced,-11.850843278595443,% change,6047,204
California,Modoc,4.413172549684416,% change,6049,207
California,Mono,-31.097125465596736,% change,6051,214
California,Monterey,-9.67320258219267,% change,6053,228
California,Napa,-32.69174768919453,% change,6055,236
California,Nevada,-9.285308872086032,% change,6057,243
California,Orange,-16.375967072123036,% change,6059,257
California,Placer,-26.26079501449967,% change,6061,266
California,Plumas,8.26486801743053,% change,6063,275
California,Riverside,-18.0907236589668,% change,6065,281
California,Sacramento,-14.522472608612683,% change,6067,289
California,San Benito,-35.41429663225634,% change,6069,295
California,San Bernardino,-14.735010768417462,% change,6071,302
California,San Diego,-12.670739622829636,% change,6073,315
California,San Francisco,4.895999214308593,% change,6075,331
California,San Joaquin,-17.713658017226248,% change,6077,339
California,San Luis Obispo,-23.960100422196355,% change,6079,351
California,San Mateo,-22.66051490157496,% change,6081,368
California,Santa Barbara,-6.532863089951431,% change,6083,391
California,Santa Clara,-26.247049411369222,% change,6085,406
California,Santa Cruz,-10.372132122664679,% change,6087,415
California,Shasta,-26.89510942699121,% change,6089,431
California,Sierra,nan,% change,6091,439
California,Siskiyou,-14.246543108446405,% change,6093,446
California,Solano,-15.470360374582071,% change,6095,453
California,Sonoma,-25.605148983084685,% change,6097,463
California,Stanislaus,-17.062870951812847,% change,6099,473
California,Sutter,5.053764409477669,% change,6101,483
California,Tehama,-21.1157431250794,% change,6103,492
California,Trinity,-49.640750491017926,% change,6105,500
California,Tulare,-5.986130809503581,% change,6107,501
California,Tuolumne,-20.666033724033507,% change,6109,513
California,Ventura,-7.148512938570602,% change,6111,521
California,Yolo,-21.82625067714612,% change,6113,525
California,Yuba,-12.651887446108004,% change,6115,541
Colorado,Adams,-33.90184095590402,% change,8001,545
Colorado,Alamosa,-28.16358508322147,% change,8003,549
Colorado,Arapahoe,-9.076151103825426,% change,8005,558
Colorado,Archuleta,-10.141343431430357,% change,8007,560
Colorado,Baca,-33.70449307774782,% change,8009,563
Colorado,Bent,70.0539486396218,% change,8011,564
Colorado,Boulder,-42.93991829446326,% change,8013,570
Colorado,Broomfield,-15.785299252682359,% change,8014,577
Colorado,Chaffee,-20.36449621420223,% change,8015,582
Colorado,Cheyenne,nan,% change,8017,587
Colorado,Clear Creek,-53.292149476407104,% change,8019,591
Colorado,Conejos,-15.921449403281079,% change,8021,596
Colorado,Costilla,-9.171855877976872,% change,8023,599
Colorado,Crowley,nan,% change,8025,605
Colorado,Custer,nan,% change,8027,610
Colorado,Delta,-3.3351377183719237,% change,8029,617
Colorado,Denver,-22.785687417249285,% change,8031,628
Colorado,Dolores,nan,% change,8033,636
Colorado,Douglas,-36.66854782884497,% change,8035,644
Colorado,Eagle,-41.70136209383354,% change,8037,648
Colorado,Elbert,nan,% change,8039,655
Colorado,El Paso,-15.172449529725196,% change,8041,661
Colorado,Fremont,79.46445108933882,% change,8043,664
Colorado,Garfield,-49.02601559460232,% change,8045,667
Colorado,Gilpin,nan,% change,8047,672
Colorado,Grand,-18.576915981359765,% change,8049,677
Colorado,Gunnison,-2.372760305563182,% change,8051,682
Colorado,Hinsdale,nan,% change,8053,688
Colorado,Huerfano,25.28824336245588,% change,8055,693
Colorado,Jackson,nan,% change,8057,701
Colorado,Jefferson,-28.302010012530065,% change,8059,706
Colorado,Kiowa,nan,% change,8061,711
Colorado,Kit Carson,15.887090818890707,% change,8063,716
Colorado,Lake,-30.376384106018733,% change,8065,721
Colorado,La Plata,-19.44720603230237,% change,8067,727
Colorado,Larimer,-12.639696110898871,% change,8069,734
Colorado,Las Animas,14.760467590351627,% change,8071,741
Colorado,Lincoln,10.680726699382266,% change,8073,747
Colorado,Logan,18.610866193126434,% change,8075,749
Colorado,Mesa,-22.682807371829185,% change,8077,751
Colorado,Mineral,nan,% change,8079,757
Colorado,Moffat,-3.7214612444830033,% change,8081,758
Colorado,Montezuma,-30.559746932073335,% change,8083,766
Colorado,Montrose,-29.6447034669633,% change,8085,769
Colorado,Morgan,-19.761760037894028,% change,8087,775
Colorado,Otero,14.732310133466529,% change,8089,777
Colorado,Ouray,nan,% change,8091,780
Colorado,Park,-25.453270176889525,% change,8093,782
Colorado,Phillips,nan,% change,8095,785
Colorado,Pitkin,-7.395809237178759,% change,8097,789
Colorado,Prowers,-5.5460739013975955,% change,8099,792
Colorado,Pueblo,5.819157261486143,% change,8101,795
Colorado,Rio Blanco,-39.62289323150387,% change,8103,799
Colorado,Rio Grande,-30.278594964167908,% change,8105,802
Colorado,Routt,-18.066304980841068,% change,8107,809
Colorado,Saguache,-43.822513495241516,% change,8109,811
Colorado,San Juan,nan,% change,8111,347
Colorado,San Miguel,-51.523756077912,% change,8113,359
Colorado,Sedgwick,nan,% change,8115,366
Colorado,Summit,-56.29110488607092,% change,8117,373
Colorado,Teller,-29.48385353362707,% change,8119,375
Colorado,Washington,nan,% change,8121,377
Colorado,Weld,-8.854804079591867,% change,8123,382
Colorado,Yuma,-12.028102963300883,% change,8125,385
Connecticut,Fairfield,-7.238289375988879,% change,9001,410
Connecticut,Hartford,-4.714419092755532,% change,9003,432
Connecticut,Litchfield,-22.061106614333394,% change,9005,443
Connecticut,Middlesex,-9.15087122229515,% change,9007,450
Connecticut,New Haven,-0.9401285069471469,% change,9009,466
Connecticut,New London,-15.025979994369113,% change,9011,517
Connecticut,Tolland,-15.738001283350844,% change,9013,524
Connecticut,Windham,-5.224442540856511,% change,9015,529
Delaware,Kent,-16.45472880605104,% change,10001,532
Delaware,New Castle,-6.254801561539767,% change,10003,536
Delaware,Sussex,-8.496164074027893,% change,10005,609
District of Columbia,District of Columbia,-4.145792813088582,% change,11001,630
Florida,Alachua,6.92213685231102,% change,12001,639
Florida,Baker,-22.07766635694558,% change,12003,641
Florida,Bay,-31.70190978268024,% change,12005,658
Florida,Bradford,-8.805785867561227,% change,12007,665
Florida,Brevard,6.240339879281232,% change,12009,686
Florida,Broward,21.61960495886367,% change,12011,695
Florida,Calhoun,-37.452621640217814,% change,12013,699
Florida,Charlotte,-18.23165248246801,% change,12015,743
Florida,Citrus,-4.185239704775752,% change,12017,843
Florida,Clay,-1.6556541729056227,% change,12019,852
Florida,Collier,4.790359301712318,% change,12021,894
Florida,Columbia,23.4116438585512,% change,12023,903
Florida,DeSoto,11.873745337814032,% change,12027,906
Florida,Dixie,30.514738313111796,% change,12029,918
Florida,Duval,8.326701810187451,% change,12031,924
Florida,Escambia,-23.295992991985397,% change,12033,931
Florida,Flagler,-14.812992514457873,% change,12035,935
Florida,Franklin,-13.791226534845308,% change,12037,937
Florida,Gadsden,-23.8356201284157,% change,12039,938
Florida,Gilchrist,-8.92172594861812,% change,12041,939
Florida,Glades,7.478701723664652,% change,12043,940
Florida,Gulf,-32.20597727657524,% change,12045,941
Florida,Hamilton,-25.0170097919833,% change,12047,942
Florida,Hardee,-2.6459437369110783,% change,12049,943
Florida,Hendry,6.886756598186626,% change,12051,944
Florida,Hernando,-12.660243644041854,% change,12053,945
Florida,Highlands,5.999771737165198,% change,12055,946
Florida,Hillsborough,-1.1151330336659369,% change,12057,947
Florida,Holmes,-29.42438275994611,% change,12059,948
Florida,Indian River,0.5439197656703995,% change,12061,949
Florida,Jackson,-22.931254011343622,% change,12063,950
Florida,Jefferson,-26.396322698135638,% change,12065,951
Florida,Lafayette,58.882649881371904,% change,12067,952
Florida,Lake,10.51445331570433,% change,12069,953
Florida,Lee,-5.092297845170016,% change,12071,954
Florida,Leon,-27.704686654121303,% change,12073,955
Florida,Levy,16.89048104220055,% change,12075,956
Florida,Liberty,-47.28437706433166,% change,12077,957
Florida,Madison,-21.51663334535529,% change,12079,958
Florida,Manatee,-17.31325222966226,% change,12081,959
Florida,Marion,3.098690725562071,% change,12083,960
Florida,Martin,-14.695569647642648,% change,12085,961
Florida,Miami-Dade,26.614640426994512,% change,12086,962
Florida,Monroe,-9.171060375719787,% change,12087,963
Florida,Nassau,-19.90383202811715,% change,12089,964
Florida,Okaloosa,-32.847581727006734,% change,12091,965
Florida,Okeechobee,-3.673368027646769,% change,12093,966
Florida,Orange,9.99262982927732,% change,12095,967
Florida,Osceola,16.44202053291448,% change,12097,968
Florida,Palm Beach,3.339053777137188,% change,12099,969
Florida,Pasco,-0.3838910129093874,% change,12101,970
Florida,Pinellas,-7.065255989544705,% change,12103,971
Florida,Polk,9.650105949771644,% change,12105,972
Florida,Putnam,9.141065442455544,% change,12107,973
Florida,St. Johns,-17.401423113678334,% change,12109,974
Florida,St. Lucie,-0.8692900639620481,% change,12111,975
Florida,Santa Rosa,-30.77327609947079,% change,12113,976
Florida,Sarasota,-22.268800302372433,% change,12115,977
Florida,Seminole,8.357753864544017,% change,12117,978
Florida,Sumter,-11.937475406454956,% change,12119,979
Florida,Suwannee,12.527456019527772,% change,12121,980
Florida,Taylor,-16.64413379499111,% change,12123,981
Florida,Union,-1.9346038238017602,% change,12125,982
Florida,Volusia,0.08763342995721649,% change,12127,983
Florida,Wakulla,-32.243152787623764,% change,12129,984
Florida,Walton,-29.22909874773536,% change,12131,985
Florida,Washington,3.3366567999511063,% change,12133,986
Georgia,Appling,-6.135912526398321,% change,13001,987
Georgia,Atkinson,-37.149491577316596,% change,13003,988
Georgia,Bacon,2.3636358975250094,% change,13005,989
Georgia,Baker,nan,% change,13007,990
Georgia,Baldwin,-8.984641154849053,% change,13009,991
Georgia,Banks,-26.90897900005607,% change,13011,992
Georgia,Barrow,-31.121713900910216,% change,13013,993
Georgia,Bartow,-32.17001778435758,% change,13015,994
Georgia,Ben Hill,-30.68307036365421,% change,13017,995
Georgia,Berrien,-16.341404591644558,% change,13019,996
Georgia,Bibb,-19.16735939824134,% change,13021,997
Georgia,Bleckley,-9.062111090952031,% change,13023,998
Georgia,Brantley,3.5395343582483236,% change,13025,999
Georgia,Brooks,-7.603793931952116,% change,13027,565
Georgia,Bryan,-7.518775648477743,% change,13029,573
Georgia,Bulloch,-12.794356164365414,% change,13031,579
Georgia,Burke,-17.830765932595774,% change,13033,583
Georgia,Butts,-32.126730421059776,% change,13035,588
Georgia,Calhoun,5.748858090280622,% change,13037,592
Georgia,Camden,-16.17009219776747,% change,13039,603
Georgia,Candler,-30.533172258495135,% change,13043,616
Georgia,Carroll,-13.497734501752264,% change,13045,620
Georgia,Catoosa,-25.15821542986616,% change,13047,626
Georgia,Charlton,-11.285024297003526,% change,13049,635
Georgia,Chatham,-36.132993059625676,% change,13051,646
Georgia,Chattahoochee,-90.28877909977354,% change,13053,656
Georgia,Chattooga,-1.4380588837151018,% change,13055,659
Georgia,Cherokee,-36.23575954749022,% change,13057,662
Georgia,Clarke,-18.11903548577162,% change,13059,666
Georgia,Clay,0.12357209889145905,% change,13061,670
Georgia,Clayton,-12.249946227966584,% change,13063,673
Georgia,Clinch,-83.3157502844071,% change,13065,676
Georgia,Cobb,-27.766727929027546,% change,13067,680
Georgia,Coffee,-11.477669143785882,% change,13069,684
Georgia,Colquitt,-35.13878676215793,% change,13071,689
Georgia,Columbia,-14.85198425917808,% change,13073,692
Georgia,Cook,1.707102461481208,% change,13075,697
Georgia,Coweta,-25.453925526851513,% change,13077,700
Georgia,Crawford,-53.07791276390462,% change,13079,704
Georgia,Crisp,-28.442743591590208,% change,13081,707
Georgia,Dade,-7.526793834711492,% change,13083,708
Georgia,Dawson,-33.200076827692584,% change,13085,713
Georgia,Decatur,-30.775808559751717,% change,13087,714
Georgia,DeKalb,-23.678358262643734,% change,13089,718
Georgia,Dodge,-15.276048421921463,% change,13091,720
Georgia,Dooly,-15.314106909407732,% change,13093,724
Georgia,Dougherty,-19.764609890808583,% change,13095,728
Georgia,Douglas,-19.616938236062488,% change,13097,731
Georgia,Early,12.375197405993704,% change,13099,735
Georgia,Echols,nan,% change,13101,737
Georgia,Effingham,-1.839766125902885,% change,13103,742
Georgia,Elbert,-8.954812732873254,% change,13105,746
Georgia,Emanuel,-0.7906119860820402,% change,13107,750
Georgia,Evans,-6.812524240263415,% change,13109,754
Georgia,Fannin,-14.776735856455398,% change,13111,755
Georgia,Fayette,-25.15633126825375,% change,13113,760
Georgia,Floyd,-8.43088221075779,% change,13115,764
Georgia,Forsyth,-32.38310779641878,% change,13117,768
Georgia,Franklin,-25.95777749827859,% change,13119,772
Georgia,Fulton,-17.959752444461035,% change,13121,779
Georgia,Gilmer,-38.888788037563884,% change,13123,781
Georgia,Glascock,nan,% change,13125,783
Georgia,Glynn,-20.459553192770315,% change,13127,793
Georgia,Gordon,-24.947055842342383,% change,13129,796
Georgia,Grady,-9.208698768199255,% change,13131,797
Georgia,Greene,-28.302210500062824,% change,13133,800
Georgia,Gwinnett,-24.362202763961992,% change,13135,804
Georgia,Habersham,-31.14725981464265,% change,13137,806
Georgia,Hall,-32.89081303215332,% change,13139,808
Georgia,Hancock,-27.388507949690794,% change,13141,810
Georgia,Haralson,-29.132917278479702,% change,13143,813
Georgia,Harris,-25.750138695588333,% change,13145,814
Georgia,Hart,-17.566057950862284,% change,13147,816
Georgia,Heard,-29.93099602274715,% change,13149,817
Georgia,Henry,-8.600592747197167,% change,13151,820
Georgia,Houston,-22.78044015822773,% change,13153,823
Georgia,Irwin,-70.83464882996405,% change,13155,825
Georgia,Jackson,-36.898065879050804,% change,13157,828
Georgia,Jasper,-27.072916464926116,% change,13159,830
Georgia,Jeff Davis,-5.005376813773911,% change,13161,832
Georgia,Jefferson,-17.401772747124166,% change,13163,834
Georgia,Jenkins,-19.052139165605478,% change,13165,835
Georgia,Johnson,-15.859517045978693,% change,13167,837
Georgia,Jones,-10.072849277626286,% change,13169,839
Georgia,Lamar,-12.70860142447155,% change,13171,841
Georgia,Lanier,-55.480714893229845,% change,13173,845
Georgia,Laurens,-12.828059196448693,% change,13175,847
Georgia,Lee,-7.399449808343792,% change,13177,849
Georgia,Liberty,-2.8881801740197885,% change,13179,855
Georgia,Lincoln,-34.43787400969701,% change,13181,857
Georgia,Long,-6.702837521781935,% change,13183,860
Georgia,Lowndes,-25.220306679733852,% change,13185,863
Georgia,Lumpkin,-32.11952368812402,% change,13187,865
Georgia,McDuffie,-30.489376672935688,% change,13189,868
Georgia,McIntosh,-23.273640920285988,% change,13191,871
Georgia,Macon,-41.04167634645091,% change,13193,874
Georgia,Madison,-44.215584205052814,% change,13195,875
Georgia,Marion,40.49040348112777,% change,13197,877
Georgia,Meriwether,-31.71449989988529,% change,13199,879
Georgia,Miller,-12.551515720564627,% change,13201,881
Georgia,Mitchell,-5.91403282645195,% change,13205,883
Georgia,Monroe,-4.326460785540053,% change,13207,885
Georgia,Montgomery,17.401767369848685,% change,13209,887
Georgia,Morgan,-36.2347288015531,% change,13211,890
Georgia,Murray,-26.312999536078014,% change,13213,892
Georgia,Muscogee,-18.79872752976189,% change,13215,896
Georgia,Newton,-17.93234521699485,% change,13217,899
Georgia,Oconee,-58.504175938382815,% change,13219,901
Georgia,Oglethorpe,-1.947579500571599,% change,13221,905
Georgia,Paulding,-50.27124525772451,% change,13223,908
Georgia,Peach,-31.670232967308344,% change,13225,910
Georgia,Pickens,-27.914276435799596,% change,13227,912
Georgia,Pierce,15.955302656585646,% change,13229,915
Georgia,Pike,-27.486840982395087,% change,13231,7
Georgia,Polk,-15.27302617671392,% change,13233,8
Georgia,Pulaski,1.6832013159579144,% change,13235,11
Georgia,Putnam,-38.027603883450084,% change,13237,13
Georgia,Quitman,nan,% change,13239,16
Georgia,Rabun,-12.428829000386001,% change,13241,18
Georgia,Randolph,-34.74106833222613,% change,13243,23
Georgia,Richmond,-27.589505625895995,% change,13245,24
Georgia,Rockdale,-24.832152913941925,% change,13247,28
Georgia,Schley,nan,% change,13249,31
Georgia,Screven,-13.643726626557662,% change,13251,34
Georgia,Seminole,32.6144532860513,% change,13253,38
Georgia,Spalding,-22.984730193078427,% change,13255,41
Georgia,Stephens,-24.778709372914268,% change,13257,45
Georgia,Stewart,-39.95611736142637,% change,13259,48
Georgia,Sumter,-25.613634158559684,% change,13261,52
Georgia,Talbot,37.37397176697137,% change,13263,57
Georgia,Taliaferro,nan,% change,13265,60
Georgia,Tattnall,14.903634025747003,% change,13267,63
Georgia,Taylor,-21.6513342740629,% change,13269,69
Georgia,Telfair,-12.366337908350747,% change,13271,75
Georgia,Terrell,-22.64913308084365,% change,13273,78
Georgia,Thomas,-25.86535487759067,% change,13275,83
