State,County,SNAP redemptions per SNAP-authorized stores 2012 (REDEMP_SNAPS12),Units,FIPS,FID
California,San Joaquin,402226.2405274878,Dollars/store,6077,339
California,San Luis Obispo,218171.2608279431,Dollars/store,6079,351
California,San Mateo,205571.8435352532,Dollars/store,6081,368
California,Santa Barbara,273141.92408450705,Dollars/store,6083,391
California,Santa Clara,261648.4980614002,Dollars/store,6085,406
California,Santa Cruz,273327.9253495441,Dollars/store,6087,415
California,Shasta,322938.72541040473,Dollars/store,6089,431
California,Sierra,nan,Dollars/store,6091,439
California,Siskiyou,187341.28800000003,Dollars/store,6093,446
California,Solano,325855.15528791863,Dollars/store,6095,453
California,Sonoma,214563.83634017585,Dollars/store,6097,463
California,Stanislaus,359674.42743007286,Dollars/store,6099,473
California,Sutter,278796.1839728353,Dollars/store,6101,483
California,Tehama,237457.93790530847,Dollars/store,6103,492
California,Trinity,101462.23468085106,Dollars/store,6105,500
California,Tulare,434210.62175744935,Dollars/store,6107,501
California,Tuolumne,265164.9138461539,Dollars/store,6109,513
California,Ventura,268116.1383313178,Dollars/store,6111,521
California,Yolo,227620.95987669544,Dollars/store,6113,525
California,Yuba,263774.90750000003,Dollars/store,6115,541
Colorado,Adams,460953.17350230436,Dollars/store,8001,545
Colorado,Alamosa,829337.1494594592,Dollars/store,8003,549
Colorado,Arapahoe,315649.5006263048,Dollars/store,8005,558
Colorado,Archuleta,194814.28776699028,Dollars/store,8007,560
Colorado,Baca,67605.29043478261,Dollars/store,8009,563
Colorado,Bent,111543.56103896105,Dollars/store,8011,564
Colorado,Boulder,257452.00402148886,Dollars/store,8013,570
Colorado,Broomfield,216963.65643835615,Dollars/store,8014,577
Colorado,Chaffee,176974.79662921347,Dollars/store,8015,582
Colorado,Cheyenne,nan,Dollars/store,8017,587
Colorado,Clear Creek,159907.15250000003,Dollars/store,8019,591
Colorado,Conejos,165330.6305660377,Dollars/store,8021,596
Colorado,Costilla,42665.303478260874,Dollars/store,8023,599
Colorado,Crowley,nan,Dollars/store,8025,605
Colorado,Custer,nan,Dollars/store,8027,610
Colorado,Delta,464604.4386754966,Dollars/store,8029,617
Colorado,Denver,364453.7935644028,Dollars/store,8031,628
Colorado,Dolores,nan,Dollars/store,8033,636
Colorado,Douglas,141513.62498886415,Dollars/store,8035,644
Colorado,Eagle,215199.97732620322,Dollars/store,8037,648
Colorado,Elbert,nan,Dollars/store,8039,655
Colorado,El Paso,395818.07463213656,Dollars/store,8041,661
Colorado,Fremont,314313.0893114754,Dollars/store,8043,664
Colorado,Garfield,269392.4329411765,Dollars/store,8045,667
Colorado,Gilpin,nan,Dollars/store,8047,672
Colorado,Grand,91511.60108108108,Dollars/store,8049,677
Colorado,Gunnison,133450.68780487805,Dollars/store,8051,682
Colorado,Hinsdale,0.0,Dollars/store,8053,688
Colorado,Huerfano,173015.74835820895,Dollars/store,8055,693
Colorado,Jackson,nan,Dollars/store,8057,701
Colorado,Jefferson,346197.13882069796,Dollars/store,8059,706
Colorado,Kiowa,nan,Dollars/store,8061,711
Colorado,Kit Carson,67886.246,Dollars/store,8063,716
Colorado,Lake,111211.05205479453,Dollars/store,8065,721
Colorado,La Plata,292256.456988417,Dollars/store,8067,727
Colorado,Larimer,353514.9072641509,Dollars/store,8069,734
Colorado,Las Animas,393918.8146938776,Dollars/store,8071,741
Colorado,Lincoln,58343.28375,Dollars/store,8073,747
Colorado,Logan,379574.0522033899,Dollars/store,8075,749
Colorado,Mesa,462158.6832196451,Dollars/store,8077,751
Colorado,Mineral,nan,Dollars/store,8079,757
Colorado,Moffat,208356.25736842104,Dollars/store,8081,758
Colorado,Montezuma,601241.1170860927,Dollars/store,8083,766
Colorado,Montrose,431394.5860240964,Dollars/store,8085,769
Colorado,Morgan,200761.5104626334,Dollars/store,8087,775
Colorado,Otero,349659.41773584904,Dollars/store,8089,777
Colorado,Ouray,nan,Dollars/store,8091,780
Colorado,Park,73951.81000000001,Dollars/store,8093,782
Colorado,Phillips,nan,Dollars/store,8095,785
Colorado,Pitkin,60878.057499999995,Dollars/store,8097,789
Colorado,Prowers,301017.51621301775,Dollars/store,8099,792
Colorado,Pueblo,487751.8529661016,Dollars/store,8101,795
Colorado,Rio Blanco,63687.09166666667,Dollars/store,8103,799
Colorado,Rio Grande,217451.17594405595,Dollars/store,8105,802
Colorado,Routt,109542.0891891892,Dollars/store,8107,809
Colorado,Saguache,128905.04186915889,Dollars/store,8109,811
Colorado,San Juan,nan,Dollars/store,8111,347
Colorado,San Miguel,82953.0,Dollars/store,8113,359
Colorado,Sedgwick,nan,Dollars/store,8115,366
Colorado,Summit,175519.00717241378,Dollars/store,8117,373
Colorado,Teller,254319.79622641506,Dollars/store,8119,375
Colorado,Washington,nan,Dollars/store,8121,377
Colorado,Weld,305827.23607038136,Dollars/store,8123,382
Colorado,Yuma,97272.838125,Dollars/store,8125,385
Connecticut,Fairfield,287740.8719466567,Dollars/store,9001,410
Connecticut,Hartford,329060.6803735524,Dollars/store,9003,432
Connecticut,Litchfield,227173.6222845691,Dollars/store,9005,443
Connecticut,Middlesex,193045.9369684639,Dollars/store,9007,450
Connecticut,New Haven,313939.1515898734,Dollars/store,9009,466
Connecticut,New London,282744.1592003635,Dollars/store,9011,517
Connecticut,Tolland,135208.3109134615,Dollars/store,9013,524
Connecticut,Windham,296678.5568812331,Dollars/store,9015,529
Delaware,Kent,381178.87269546196,Dollars/store,10001,532
Delaware,New Castle,313564.4428861706,Dollars/store,10003,536
Delaware,Sussex,288749.7206692913,Dollars/store,10005,609
District of Columbia,District of Columbia,299746.7360204083,Dollars/store,11001,630
Florida,Alachua,322463.94045545335,Dollars/store,12001,639
Florida,Baker,371813.5576791808,Dollars/store,12003,641
Florida,Bay,325245.9388831534,Dollars/store,12005,658
Florida,Bradford,378845.54406417103,Dollars/store,12007,665
Florida,Brevard,277291.2152257612,Dollars/store,12009,686
Florida,Broward,441939.7667497603,Dollars/store,12011,695
Florida,Calhoun,331407.4871111111,Dollars/store,12013,699
Florida,Charlotte,337712.86603409937,Dollars/store,12015,743
Florida,Citrus,276040.0527055703,Dollars/store,12017,843
Florida,Clay,282636.3264774195,Dollars/store,12019,852
Florida,Collier,299262.1333438485,Dollars/store,12021,894
Florida,Columbia,279095.99865717196,Dollars/store,12023,903
Florida,DeSoto,392307.7540909091,Dollars/store,12027,906
Florida,Dixie,187575.74937759337,Dollars/store,12029,918
Florida,Duval,338600.61981926626,Dollars/store,12031,924
Florida,Escambia,347488.72193095705,Dollars/store,12033,931
Florida,Flagler,398575.6870917574,Dollars/store,12035,935
Florida,Franklin,149504.86591549296,Dollars/store,12037,937
Florida,Gadsden,315303.443652174,Dollars/store,12039,938
Florida,Gilchrist,112868.57023255812,Dollars/store,12041,939
Florida,Glades,51687.33438202246,Dollars/store,12043,940
Florida,Gulf,160579.37444444446,Dollars/store,12045,941
Florida,Hamilton,133748.78008810568,Dollars/store,12047,942
Florida,Hardee,348637.34513274336,Dollars/store,12049,943
Florida,Hendry,600549.4022797927,Dollars/store,12051,944
Florida,Hernando,503443.2339336495,Dollars/store,12053,945
Florida,Highlands,366281.67854616884,Dollars/store,12055,946
Florida,Hillsborough,413316.75615492323,Dollars/store,12057,947
Florida,Holmes,163842.74571428573,Dollars/store,12059,948
Florida,Indian River,339115.1431265509,Dollars/store,12061,949
Florida,Jackson,293368.40794657764,Dollars/store,12063,950
Florida,Jefferson,165839.26373831774,Dollars/store,12065,951
Florida,Lafayette,94055.18842105263,Dollars/store,12067,952
Florida,Lake,315382.4077479892,Dollars/store,12069,953
Florida,Lee,370821.388252788,Dollars/store,12071,954
Florida,Leon,346362.94760061905,Dollars/store,12073,955
Florida,Levy,301990.0465777778,Dollars/store,12075,956
Florida,Liberty,194574.8937931034,Dollars/store,12077,957
Florida,Madison,197963.32170491797,Dollars/store,12079,958
Florida,Manatee,407190.98364841286,Dollars/store,12081,959
Florida,Marion,338204.30675834976,Dollars/store,12083,960
Florida,Martin,261797.1072325976,Dollars/store,12085,961
Florida,Miami-Dade,677660.8168214473,Dollars/store,12086,962
Florida,Monroe,229274.23538028172,Dollars/store,12087,963
Florida,Nassau,222460.1197843665,Dollars/store,12089,964
Florida,Okaloosa,285593.1629268293,Dollars/store,12091,965
Florida,Okeechobee,378862.308,Dollars/store,12093,966
Florida,Orange,411239.34335270914,Dollars/store,12095,967
Florida,Osceola,583730.5408832334,Dollars/store,12097,968
Florida,Palm Beach,419008.249716433,Dollars/store,12099,969
Florida,Pasco,357252.5131656875,Dollars/store,12101,970
Florida,Pinellas,300291.7746437349,Dollars/store,12103,971
Florida,Polk,368640.9192386801,Dollars/store,12105,972
Florida,Putnam,335022.33283404255,Dollars/store,12107,973
Florida,St. Johns,223841.47302752305,Dollars/store,12109,974
Florida,St. Lucie,481439.12713375763,Dollars/store,12111,975
Florida,Santa Rosa,289621.82205513783,Dollars/store,12113,976
Florida,Sarasota,265407.97852487135,Dollars/store,12115,977
Florida,Seminole,335405.5699223946,Dollars/store,12117,978
Florida,Sumter,270762.60634081915,Dollars/store,12119,979
Florida,Suwannee,280022.48012658226,Dollars/store,12121,980
Florida,Taylor,254194.21249315067,Dollars/store,12123,981
Florida,Union,173382.0805263158,Dollars/store,12125,982
Florida,Volusia,330722.6203448273,Dollars/store,12127,983
Florida,Wakulla,234525.90978461542,Dollars/store,12129,984
Florida,Walton,289226.3228041237,Dollars/store,12131,985
Florida,Washington,299765.63777777774,Dollars/store,12133,986
Georgia,Appling,281560.05233898317,Dollars/store,13001,987
Georgia,Atkinson,195401.11228915662,Dollars/store,13003,988
Georgia,Bacon,181654.45542857138,Dollars/store,13005,989
Georgia,Baker,nan,Dollars/store,13007,990
Georgia,Baldwin,333058.78255506617,Dollars/store,13009,991
Georgia,Banks,325254.38328358205,Dollars/store,13011,992
Georgia,Barrow,338368.09982758627,Dollars/store,13013,993
Georgia,Bartow,247701.58142749814,Dollars/store,13015,994
Georgia,Ben Hill,351806.96273504273,Dollars/store,13017,995
Georgia,Berrien,149287.51226890757,Dollars/store,13019,996
Georgia,Bibb,407095.3235569426,Dollars/store,13021,997
Georgia,Bleckley,210618.51154639167,Dollars/store,13023,998
Georgia,Brantley,123382.34904109589,Dollars/store,13025,999
Georgia,Brooks,147486.00604026846,Dollars/store,13027,565
Georgia,Bryan,186367.18139037432,Dollars/store,13029,573
Georgia,Bulloch,278867.3320776698,Dollars/store,13031,579
Georgia,Burke,382063.65513812145,Dollars/store,13033,583
Georgia,Butts,228652.4465979381,Dollars/store,13035,588
Georgia,Calhoun,150123.17567010308,Dollars/store,13037,592
Georgia,Camden,271018.7333772653,Dollars/store,13039,603
Georgia,Candler,217279.03695652174,Dollars/store,13043,616
Georgia,Carroll,293428.35607166553,Dollars/store,13045,620
Georgia,Catoosa,316594.64562249003,Dollars/store,13047,626
Georgia,Charlton,146935.37107692307,Dollars/store,13049,635
Georgia,Chatham,388410.2068237776,Dollars/store,13051,646
Georgia,Chattahoochee,1253320.965,Dollars/store,13053,656
Georgia,Chattooga,247373.86846681926,Dollars/store,13055,659
Georgia,Cherokee,306174.6451282052,Dollars/store,13057,662
Georgia,Clarke,340570.4329632526,Dollars/store,13059,666
Georgia,Clay,148168.10095238095,Dollars/store,13061,670
Georgia,Clayton,543992.2528056285,Dollars/store,13063,673
Georgia,Clinch,258275.05565217388,Dollars/store,13065,676
Georgia,Cobb,336707.49541249056,Dollars/store,13067,680
Georgia,Coffee,274335.6406879607,Dollars/store,13069,684
Georgia,Colquitt,395855.9127447834,Dollars/store,13071,689
Georgia,Columbia,385973.0469172932,Dollars/store,13073,692
Georgia,Cook,223555.6506840391,Dollars/store,13075,697
Georgia,Coweta,324643.0388214904,Dollars/store,13077,700
Georgia,Crawford,119829.91537190085,Dollars/store,13079,704
Georgia,Crisp,423064.6456768559,Dollars/store,13081,707
Georgia,Dade,120934.2077669903,Dollars/store,13083,708
Georgia,Dawson,319007.686185567,Dollars/store,13085,713
Georgia,Decatur,381491.8669879519,Dollars/store,13087,714
Georgia,DeKalb,512230.0055772542,Dollars/store,13089,718
Georgia,Dodge,328701.6938255034,Dollars/store,13091,720
Georgia,Dooly,153230.17211009172,Dollars/store,13093,724
Georgia,Dougherty,530716.79640625,Dollars/store,13095,728
Georgia,Douglas,520803.85714285733,Dollars/store,13097,731
Georgia,Early,318713.18428571435,Dollars/store,13099,735
Georgia,Echols,64524.719999999994,Dollars/store,13101,737
Georgia,Effingham,231254.54964705886,Dollars/store,13103,742
Georgia,Elbert,250276.15437699683,Dollars/store,13105,746
Georgia,Emanuel,303015.64,Dollars/store,13107,750
Georgia,Evans,176583.69533596834,Dollars/store,13109,754
Georgia,Fannin,315100.7218723405,Dollars/store,13111,755
Georgia,Fayette,393328.1470255721,Dollars/store,13113,760
Georgia,Floyd,277881.7803641268,Dollars/store,13115,764
Georgia,Forsyth,156335.5992837959,Dollars/store,13117,768
Georgia,Franklin,227686.69013192612,Dollars/store,13119,772
Georgia,Fulton,388634.3536047759,Dollars/store,13121,779
Georgia,Gilmer,390363.81012244895,Dollars/store,13123,781
Georgia,Glascock,nan,Dollars/store,13125,783
Georgia,Glynn,311087.9154131535,Dollars/store,13127,793
Georgia,Gordon,261224.5311239861,Dollars/store,13129,796
Georgia,Grady,287451.9095064935,Dollars/store,13131,797
Georgia,Greene,193957.74851963748,Dollars/store,13133,800
Georgia,Gwinnett,379408.0340111731,Dollars/store,13135,804
Georgia,Habersham,252712.22799999997,Dollars/store,13137,806
Georgia,Hall,272971.93181318673,Dollars/store,13139,808
Georgia,Hancock,111106.18782608697,Dollars/store,13141,810
Georgia,Haralson,358873.1324210526,Dollars/store,13143,813
Georgia,Harris,76086.28353982302,Dollars/store,13145,814
Georgia,Hart,327456.24158940394,Dollars/store,13147,816
Georgia,Heard,162005.80903225805,Dollars/store,13149,817
Georgia,Henry,414309.2424503688,Dollars/store,13151,820
Georgia,Houston,362523.7280000001,Dollars/store,13153,823
Georgia,Irwin,203688.62280991732,Dollars/store,13155,825
Georgia,Jackson,255860.34634615385,Dollars/store,13157,828
Georgia,Jasper,258560.61405405408,Dollars/store,13159,830
Georgia,Jeff Davis,299448.0556521739,Dollars/store,13161,832
Georgia,Jefferson,253096.88991150443,Dollars/store,13163,834
