State,County,CSA farms (% change) 2007 - 12 (PCH_CSA_07_12),Units,FIPS,FID
Alabama,Morgan,-83.33333333333334,% change,1103.0,262
Alabama,Perry,nan,% change,1105.0,264
Alabama,Pickens,0.0,% change,1107.0,273
Alabama,Pike,-50.0,% change,1109.0,279
Alabama,Randolph,-100.0,% change,1111.0,284
Alabama,Russell,nan,% change,1113.0,288
Alabama,St. Clair,0.0,% change,1115.0,292
Alabama,Shelby,200.0,% change,1117.0,298
Alabama,Sumter,-80.0,% change,1119.0,303
Alabama,Talladega,75.0,% change,1121.0,306
Alabama,Tallapoosa,600.0,% change,1123.0,308
Alabama,Tuscaloosa,-25.0,% change,1125.0,313
Alabama,Walker,-66.66666666666666,% change,1127.0,317
Alabama,Washington,-100.0,% change,1129.0,319
Alabama,Wilcox,-100.0,% change,1131.0,326
Alabama,Winston,50.0,% change,1133.0,332
Alaska,Aleutians East,nan,% change,2013.0,346
Alaska,Aleutians West,nan,% change,2016.0,381
Alaska,Anchorage,183.33333333333331,% change,2020.0,400
Alaska,Bethel,nan,% change,2050.0,411
Alaska,Bristol Bay,nan,% change,2060.0,423
Alaska,Denali,nan,% change,2068.0,426
Alaska,Dillingham,nan,% change,2070.0,445
Alaska,Fairbanks North Star,45.45454545454545,% change,2090.0,454
Alaska,Haines,nan,% change,2100.0,462
Alaska,Hoonah-Angoon,nan,% change,2105.0,476
Alaska,Juneau,200.0,% change,2110.0,482
Alaska,Kenai Peninsula,100.0,% change,2122.0,494
Alaska,Ketchikan Gateway,nan,% change,2130.0,514
Alaska,Kodiak Island,nan,% change,2150.0,533
Alaska,Lake and Peninsula,nan,% change,2164.0,544
Alaska,Matanuska-Susitna,nan,% change,2170.0,556
Alaska,Nome,nan,% change,2180.0,571
Alaska,North Slope,nan,% change,2185.0,614
Alaska,Northwest Arctic,nan,% change,2188.0,638
Alaska,Petersburg,nan,% change,2195.0,645
Alaska,Prince of Wales-Hyder,nan,% change,2198.0,669
Alaska,Sitka,nan,% change,2220.0,679
Alaska,Skagway,nan,% change,2230.0,683
Alaska,Southeast Fairbanks,nan,% change,2240.0,690
Alaska,Valdez-Cordova,nan,% change,2261.0,710
Alaska,Wade Hampton,nan,% change,2270.0,725
Alaska,Wrangell,nan,% change,2275.0,733
Alaska,Yakutat,nan,% change,2282.0,744
Alaska,Yukon-Koyukuk,nan,% change,2290.0,753
Arizona,Apache,100.0,% change,4001.0,761
Arizona,Cochise,-14.285714285714285,% change,4003.0,763
Arizona,Coconino,nan,% change,4005.0,771
Arizona,Gila,300.0,% change,4007.0,787
Arizona,Graham,-66.66666666666666,% change,4009.0,0
Arizona,Greenlee,nan,% change,4011.0,1
Arizona,La Paz,-100.0,% change,4012.0,3
Arizona,Maricopa,133.33333333333331,% change,4013.0,9
Arizona,Mohave,-100.0,% change,4015.0,15
Arizona,Navajo,400.0,% change,4017.0,17
Arizona,Pima,233.33333333333334,% change,4019.0,21
Arizona,Pinal,175.0,% change,4021.0,26
Arizona,Santa Cruz,0.0,% change,4023.0,32
Arizona,Yavapai,44.44444444444444,% change,4025.0,35
Arizona,Yuma,-50.0,% change,4027.0,42
Arkansas,Arkansas,-60.0,% change,5001.0,46
Arkansas,Ashley,nan,% change,5003.0,50
Arkansas,Baxter,-100.0,% change,5005.0,54
Arkansas,Benton,-91.66666666666666,% change,5007.0,59
Arkansas,Boone,-66.66666666666666,% change,5009.0,62
Arkansas,Bradley,-100.0,% change,5011.0,68
Arkansas,Calhoun,-100.0,% change,5013.0,72
Arkansas,Carroll,-11.11111111111111,% change,5015.0,74
Arkansas,Chicot,-100.0,% change,5017.0,77
Arkansas,Clark,nan,% change,5019.0,86
Arkansas,Clay,-33.33333333333333,% change,5021.0,93
Arkansas,Cleburne,-100.0,% change,5023.0,97
Arkansas,Cleveland,nan,% change,5025.0,103
Arkansas,Columbia,nan,% change,5027.0,107
Arkansas,Conway,nan,% change,5029.0,109
Arkansas,Craighead,-100.0,% change,5031.0,114
Arkansas,Crawford,500.0,% change,5033.0,115
Arkansas,Crittenden,100.0,% change,5035.0,119
Arkansas,Cross,-100.0,% change,5037.0,124
Arkansas,Dallas,nan,% change,5039.0,128
Arkansas,Desha,400.0,% change,5041.0,130
Arkansas,Drew,nan,% change,5043.0,136
Arkansas,Faulkner,-90.9090909090909,% change,5045.0,141
Arkansas,Franklin,nan,% change,5047.0,144
Arkansas,Fulton,-100.0,% change,5049.0,146
Arkansas,Garland,100.0,% change,5051.0,151
Arkansas,Grant,-100.0,% change,5053.0,155
Arkansas,Greene,-100.0,% change,5055.0,162
Arkansas,Hempstead,-40.0,% change,5057.0,172
Arkansas,Hot Spring,-50.0,% change,5059.0,184
Arkansas,Howard,nan,% change,5061.0,191
Arkansas,Independence,-100.0,% change,5063.0,200
Arkansas,Izard,-100.0,% change,5065.0,203
Arkansas,Jackson,-50.0,% change,5067.0,209
Arkansas,Jefferson,-80.0,% change,5069.0,213
Arkansas,Johnson,-80.0,% change,5071.0,218
Arkansas,Lafayette,nan,% change,5073.0,222
Arkansas,Lawrence,nan,% change,5075.0,230
Arkansas,Lee,nan,% change,5077.0,237
Arkansas,Lincoln,33.33333333333333,% change,5079.0,244
Arkansas,Little River,-100.0,% change,5081.0,251
Arkansas,Logan,-50.0,% change,5083.0,258
Arkansas,Lonoke,-87.5,% change,5085.0,268
Arkansas,Madison,100.0,% change,5087.0,277
Arkansas,Marion,100.0,% change,5089.0,282
Arkansas,Miller,nan,% change,5091.0,287
Arkansas,Mississippi,-85.71428571428571,% change,5093.0,294
Arkansas,Monroe,200.0,% change,5095.0,300
Arkansas,Montgomery,-100.0,% change,5097.0,304
Arkansas,Nevada,nan,% change,5099.0,307
Arkansas,Newton,nan,% change,5101.0,311
Arkansas,Ouachita,-100.0,% change,5103.0,316
Arkansas,Perry,300.0,% change,5105.0,318
Arkansas,Phillips,-100.0,% change,5107.0,322
Arkansas,Pike,nan,% change,5109.0,327
Arkansas,Poinsett,-100.0,% change,5111.0,333
Arkansas,Polk,-50.0,% change,5113.0,337
Arkansas,Pope,66.66666666666666,% change,5115.0,340
Arkansas,Prairie,0.0,% change,5117.0,345
Arkansas,Pulaski,33.33333333333333,% change,5119.0,350
Arkansas,Randolph,nan,% change,5121.0,353
Arkansas,St. Francis,-50.0,% change,5123.0,357
Arkansas,Saline,-33.33333333333333,% change,5125.0,360
Arkansas,Scott,-100.0,% change,5127.0,364
Arkansas,Searcy,100.0,% change,5129.0,372
Arkansas,Sebastian,nan,% change,5131.0,378
Arkansas,Sevier,nan,% change,5133.0,390
Arkansas,Sharp,-100.0,% change,5135.0,394
Arkansas,Stone,-100.0,% change,5137.0,399
Arkansas,Union,nan,% change,5139.0,403
Arkansas,Van Buren,-75.0,% change,5141.0,407
Arkansas,Washington,-30.0,% change,5143.0,417
Arkansas,White,-33.33333333333333,% change,5145.0,428
Arkansas,Woodruff,nan,% change,5147.0,435
Arkansas,Yell,-33.33333333333333,% change,5149.0,438
California,Alameda,-33.33333333333333,% change,6001.0,457
California,Alpine,nan,% change,6003.0,461
California,Amador,100.0,% change,6005.0,472
California,Butte,53.333333333333336,% change,6007.0,486
California,Calaveras,-84.21052631578947,% change,6009.0,489
California,Colusa,120.0,% change,6011.0,497
California,Contra Costa,120.0,% change,6013.0,503
California,Del Norte,66.66666666666666,% change,6015.0,511
California,El Dorado,107.6923076923077,% change,6017.0,522
California,Fresno,-30.508474576271187,% change,6019.0,527
California,Glenn,-27.27272727272727,% change,6021.0,537
California,Humboldt,100.0,% change,6023.0,551
California,Imperial,-37.5,% change,6025.0,557
California,Inyo,600.0,% change,6027.0,562
California,Kern,0.0,% change,6029.0,84
California,Kings,-14.285714285714285,% change,6031.0,94
California,Lake,180.0,% change,6033.0,100
California,Lassen,-100.0,% change,6035.0,104
California,Los Angeles,36.36363636363637,% change,6037.0,139
California,Madera,7.6923076923076925,% change,6039.0,153
California,Marin,88.88888888888889,% change,6041.0,168
California,Mariposa,500.0,% change,6043.0,178
California,Mendocino,12.0,% change,6045.0,190
California,Merced,-50.0,% change,6047.0,204
California,Modoc,-100.0,% change,6049.0,207
California,Mono,nan,% change,6051.0,214
California,Monterey,0.0,% change,6053.0,228
California,Napa,-50.0,% change,6055.0,236
California,Nevada,254.54545454545453,% change,6057.0,243
California,Orange,-40.0,% change,6059.0,257
California,Placer,-24.242424242424242,% change,6061.0,266
California,Plumas,nan,% change,6063.0,275
California,Riverside,-42.857142857142854,% change,6065.0,281
California,Sacramento,111.11111111111111,% change,6067.0,289
California,San Benito,-20.0,% change,6069.0,295
California,San Bernardino,36.84210526315789,% change,6071.0,302
California,San Diego,-3.79746835443038,% change,6073.0,315
California,San Francisco,nan,% change,6075.0,331
California,San Joaquin,-19.444444444444446,% change,6077.0,339
California,San Luis Obispo,-11.11111111111111,% change,6079.0,351
California,San Mateo,166.66666666666669,% change,6081.0,368
California,Santa Barbara,18.181818181818183,% change,6083.0,391
California,Santa Clara,360.0,% change,6085.0,406
California,Santa Cruz,9.090909090909092,% change,6087.0,415
California,Shasta,57.14285714285714,% change,6089.0,431
California,Sierra,nan,% change,6091.0,439
California,Siskiyou,71.42857142857143,% change,6093.0,446
California,Solano,38.88888888888889,% change,6095.0,453
California,Sonoma,70.45454545454545,% change,6097.0,463
California,Stanislaus,-30.555555555555557,% change,6099.0,473
California,Sutter,-80.0,% change,6101.0,483
California,Tehama,-14.285714285714285,% change,6103.0,492
California,Trinity,60.0,% change,6105.0,500
California,Tulare,-18.0327868852459,% change,6107.0,501
California,Tuolumne,-85.71428571428571,% change,6109.0,513
California,Ventura,-55.769230769230774,% change,6111.0,521
California,Yolo,42.10526315789473,% change,6113.0,525
California,Yuba,75.0,% change,6115.0,541
Colorado,Adams,-20.0,% change,8001.0,545
Colorado,Alamosa,-60.0,% change,8003.0,549
Colorado,Arapahoe,66.66666666666666,% change,8005.0,558
Colorado,Archuleta,nan,% change,8007.0,560
Colorado,Baca,-80.0,% change,8009.0,563
Colorado,Bent,nan,% change,8011.0,564
Colorado,Boulder,190.0,% change,8013.0,570
Colorado,Broomfield,nan,% change,8014.0,577
Colorado,Chaffee,33.33333333333333,% change,8015.0,582
Colorado,Cheyenne,nan,% change,8017.0,587
Colorado,Clear Creek,nan,% change,8019.0,591
Colorado,Conejos,-33.33333333333333,% change,8021.0,596
Colorado,Costilla,-100.0,% change,8023.0,599
Colorado,Crowley,-100.0,% change,8025.0,605
Colorado,Custer,nan,% change,8027.0,610
Colorado,Delta,9.523809523809524,% change,8029.0,617
Colorado,Denver,nan,% change,8031.0,628
Colorado,Dolores,-33.33333333333333,% change,8033.0,636
Colorado,Douglas,0.0,% change,8035.0,644
Colorado,Eagle,200.0,% change,8037.0,648
Colorado,Elbert,133.33333333333331,% change,8039.0,655
Colorado,El Paso,-40.0,% change,8041.0,661
Colorado,Fremont,400.0,% change,8043.0,664
Colorado,Garfield,-50.0,% change,8045.0,667
Colorado,Gilpin,nan,% change,8047.0,672
Colorado,Grand,nan,% change,8049.0,677
Colorado,Gunnison,-100.0,% change,8051.0,682
Colorado,Hinsdale,nan,% change,8053.0,688
Colorado,Huerfano,nan,% change,8055.0,693
Colorado,Jackson,nan,% change,8057.0,701
Colorado,Jefferson,nan,% change,8059.0,706
Colorado,Kiowa,nan,% change,8061.0,711
Colorado,Kit Carson,-33.33333333333333,% change,8063.0,716
Colorado,Lake,nan,% change,8065.0,721
Colorado,La Plata,111.11111111111111,% change,8067.0,727
Colorado,Larimer,-4.761904761904762,% change,8069.0,734
Colorado,Las Animas,-100.0,% change,8071.0,741
Colorado,Lincoln,0.0,% change,8073.0,747
Colorado,Logan,-50.0,% change,8075.0,749
Colorado,Mesa,81.81818181818183,% change,8077.0,751
Colorado,Mineral,nan,% change,8079.0,757
Colorado,Moffat,100.0,% change,8081.0,758
Colorado,Montezuma,28.57142857142857,% change,8083.0,766
Colorado,Montrose,28.57142857142857,% change,8085.0,769
Colorado,Morgan,100.0,% change,8087.0,775
Colorado,Otero,-50.0,% change,8089.0,777
Colorado,Ouray,-75.0,% change,8091.0,780
Colorado,Park,100.0,% change,8093.0,782
Colorado,Phillips,-100.0,% change,8095.0,785
Colorado,Pitkin,nan,% change,8097.0,789
Colorado,Prowers,-100.0,% change,8099.0,792
Colorado,Pueblo,-68.75,% change,8101.0,795
Colorado,Rio Blanco,nan,% change,8103.0,799
Colorado,Rio Grande,-100.0,% change,8105.0,802
Colorado,Routt,-63.63636363636363,% change,8107.0,809
Colorado,Saguache,-33.33333333333333,% change,8109.0,811
Colorado,San Juan,nan,% change,8111.0,347
Colorado,San Miguel,150.0,% change,8113.0,359
Colorado,Sedgwick,-100.0,% change,8115.0,366
Colorado,Summit,nan,% change,8117.0,373
Colorado,Teller,nan,% change,8119.0,375
Colorado,Washington,100.0,% change,8121.0,377
Colorado,Weld,-6.666666666666667,% change,8123.0,382
Colorado,Yuma,500.0,% change,8125.0,385
Connecticut,Fairfield,114.28571428571428,% change,9001.0,410
Connecticut,Hartford,300.0,% change,9003.0,432
Connecticut,Litchfield,66.66666666666666,% change,9005.0,443
Connecticut,Middlesex,116.66666666666667,% change,9007.0,450
Connecticut,New Haven,112.5,% change,9009.0,466
Connecticut,New London,116.66666666666667,% change,9011.0,517
Connecticut,Tolland,-36.36363636363637,% change,9013.0,524
Connecticut,Windham,145.45454545454547,% change,9015.0,529
Delaware,Kent,66.66666666666666,% change,10001.0,532
Delaware,New Castle,150.0,% change,10003.0,536
Delaware,Sussex,-77.77777777777779,% change,10005.0,609
District of Columbia,District of Columbia,nan,% change,11001.0,630
Florida,Alachua,27.27272727272727,% change,12001.0,639
Florida,Baker,nan,% change,12003.0,641
Florida,Bay,nan,% change,12005.0,658
Florida,Bradford,-100.0,% change,12007.0,665
Florida,Brevard,-50.0,% change,12009.0,686
Florida,Broward,nan,% change,12011.0,695
Florida,Calhoun,-100.0,% change,12013.0,699
Florida,Charlotte,200.0,% change,12015.0,743
Florida,Citrus,nan,% change,12017.0,843
Florida,Clay,-100.0,% change,12019.0,852
Florida,Collier,nan,% change,12021.0,894
Florida,Columbia,0.0,% change,12023.0,903
Florida,DeSoto,66.66666666666666,% change,12027.0,906
Florida,Dixie,-100.0,% change,12029.0,918
Florida,Duval,600.0,% change,12031.0,924
Florida,Escambia,-50.0,% change,12033.0,931
Florida,Flagler,nan,% change,12035.0,935
Florida,Franklin,nan,% change,12037.0,937
Florida,Gadsden,-40.0,% change,12039.0,938
Florida,Gilchrist,66.66666666666666,% change,12041.0,939
Florida,Glades,nan,% change,12043.0,940
Florida,Gulf,nan,% change,12045.0,941
Florida,Hamilton,nan,% change,12047.0,942
Florida,Hardee,-100.0,% change,12049.0,943
Florida,Hendry,-100.0,% change,12051.0,944
Florida,Hernando,20.0,% change,12053.0,945
Florida,Highlands,-66.66666666666666,% change,12055.0,946
Florida,Hillsborough,166.66666666666669,% change,12057.0,947
Florida,Holmes,nan,% change,12059.0,948
Florida,Indian River,400.0,% change,12061.0,949
Florida,Jackson,266.66666666666663,% change,12063.0,950
Florida,Jefferson,-55.55555555555556,% change,12065.0,951
Florida,Lafayette,nan,% change,12067.0,952
Florida,Lake,-20.0,% change,12069.0,953
Florida,Lee,nan,% change,12071.0,954
Florida,Leon,500.0,% change,12073.0,955
Florida,Levy,400.0,% change,12075.0,956
Florida,Liberty,nan,% change,12077.0,957
Florida,Madison,300.0,% change,12079.0,958
Florida,Manatee,1700.0,% change,12081.0,959
Florida,Marion,-8.333333333333332,% change,12083.0,960
Florida,Martin,nan,% change,12085.0,961
Florida,Miami-Dade,-24.324324324324326,% change,12086.0,962
Florida,Monroe,nan,% change,12087.0,963
Florida,Nassau,nan,% change,12089.0,964
Florida,Okaloosa,-100.0,% change,12091.0,965
Florida,Okeechobee,200.0,% change,12093.0,966
Florida,Orange,nan,% change,12095.0,967
Florida,Osceola,100.0,% change,12097.0,968
Florida,Palm Beach,350.0,% change,12099.0,969
Florida,Pasco,-50.0,% change,12101.0,970
Florida,Pinellas,300.0,% change,12103.0,971
Florida,Polk,-63.63636363636363,% change,12105.0,972
Florida,Putnam,-66.66666666666666,% change,12107.0,973
Florida,St. Johns,300.0,% change,12109.0,974
Florida,St. Lucie,nan,% change,12111.0,975
Florida,Santa Rosa,0.0,% change,12113.0,976
Florida,Sarasota,nan,% change,12115.0,977
Florida,Seminole,nan,% change,12117.0,978
Florida,Sumter,700.0,% change,12119.0,979
Florida,Suwannee,-100.0,% change,12121.0,980
Florida,Taylor,nan,% change,12123.0,981
Florida,Union,-33.33333333333333,% change,12125.0,982
Florida,Volusia,450.0,% change,12127.0,983
Florida,Wakulla,33.33333333333333,% change,12129.0,984
Florida,Walton,-75.0,% change,12131.0,985
Florida,Washington,nan,% change,12133.0,986
Georgia,Appling,400.0,% change,13001.0,987
Georgia,Atkinson,nan,% change,13003.0,988
Georgia,Bacon,-75.0,% change,13005.0,989
Georgia,Baker,-100.0,% change,13007.0,990
Georgia,Baldwin,nan,% change,13009.0,991
Georgia,Banks,0.0,% change,13011.0,992
Georgia,Barrow,nan,% change,13013.0,993
Georgia,Bartow,-33.33333333333333,% change,13015.0,994
Georgia,Ben Hill,nan,% change,13017.0,995
Georgia,Berrien,-100.0,% change,13019.0,996
Georgia,Bibb,0.0,% change,13021.0,997
Georgia,Bleckley,-100.0,% change,13023.0,998
Georgia,Brantley,-100.0,% change,13025.0,999
Georgia,Brooks,nan,% change,13027.0,565
Georgia,Bryan,nan,% change,13029.0,573
Georgia,Bulloch,-75.0,% change,13031.0,579
Georgia,Burke,-100.0,% change,13033.0,583
Georgia,Butts,nan,% change,13035.0,588
Georgia,Calhoun,-100.0,% change,13037.0,592
Georgia,Camden,200.0,% change,13039.0,603
Georgia,Candler,nan,% change,13043.0,616
Georgia,Carroll,-25.0,% change,13045.0,620
Georgia,Catoosa,0.0,% change,13047.0,626
Georgia,Charlton,0.0,% change,13049.0,635
Georgia,Chatham,nan,% change,13051.0,646
Georgia,Chattahoochee,nan,% change,13053.0,656
Georgia,Chattooga,-100.0,% change,13055.0,659
Georgia,Cherokee,150.0,% change,13057.0,662
Georgia,Clarke,-50.0,% change,13059.0,666
Georgia,Clay,-100.0,% change,13061.0,670
Georgia,Clayton,-50.0,% change,13063.0,673
Georgia,Clinch,-100.0,% change,13065.0,676
Georgia,Cobb,33.33333333333333,% change,13067.0,680
Georgia,Coffee,-100.0,% change,13069.0,684
Georgia,Colquitt,-66.66666666666666,% change,13071.0,689
Georgia,Columbia,100.0,% change,13073.0,692
Georgia,Cook,-100.0,% change,13075.0,697
Georgia,Coweta,400.0,% change,13077.0,700
Georgia,Crawford,-66.66666666666666,% change,13079.0,704
Georgia,Crisp,nan,% change,13081.0,707
Georgia,Dade,-100.0,% change,13083.0,708
Georgia,Dawson,-100.0,% change,13085.0,713
Georgia,Decatur,nan,% change,13087.0,714
Georgia,DeKalb,200.0,% change,13089.0,718
Georgia,Dodge,0.0,% change,13091.0,720
Georgia,Dooly,-100.0,% change,13093.0,724
Georgia,Dougherty,-100.0,% change,13095.0,728
Georgia,Douglas,nan,% change,13097.0,731
Georgia,Early,-81.81818181818183,% change,13099.0,735
Georgia,Echols,nan,% change,13101.0,737
Georgia,Effingham,-100.0,% change,13103.0,742
Georgia,Elbert,200.0,% change,13105.0,746
Georgia,Emanuel,-100.0,% change,13107.0,750
Georgia,Evans,nan,% change,13109.0,754
Georgia,Fannin,nan,% change,13111.0,755
Georgia,Fayette,nan,% change,13113.0,760
Georgia,Floyd,-57.14285714285714,% change,13115.0,764
Georgia,Forsyth,-33.33333333333333,% change,13117.0,768
Georgia,Franklin,133.33333333333331,% change,13119.0,772
Georgia,Fulton,37.5,% change,13121.0,779
Georgia,Gilmer,-100.0,% change,13123.0,781
Georgia,Glascock,nan,% change,13125.0,783
Georgia,Glynn,0.0,% change,13127.0,793
Georgia,Gordon,33.33333333333333,% change,13129.0,796
Georgia,Grady,-66.66666666666666,% change,13131.0,797
Georgia,Greene,-100.0,% change,13133.0,800
Georgia,Gwinnett,nan,% change,13135.0,804
Georgia,Habersham,-100.0,% change,13137.0,806
Georgia,Hall,300.0,% change,13139.0,808
Georgia,Hancock,-14.285714285714285,% change,13141.0,810
Georgia,Haralson,33.33333333333333,% change,13143.0,813
Georgia,Harris,50.0,% change,13145.0,814
Georgia,Hart,50.0,% change,13147.0,816
Georgia,Heard,nan,% change,13149.0,817
Georgia,Henry,-85.71428571428571,% change,13151.0,820
Georgia,Houston,-100.0,% change,13153.0,823
Georgia,Irwin,-100.0,% change,13155.0,825
Georgia,Jackson,-50.0,% change,13157.0,828
Georgia,Jasper,-60.0,% change,13159.0,830
Georgia,Jeff Davis,nan,% change,13161.0,832
Georgia,Jefferson,-25.0,% change,13163.0,834
Georgia,Jenkins,-100.0,% change,13165.0,835
Georgia,Johnson,-100.0,% change,13167.0,837
Georgia,Jones,nan,% change,13169.0,839
Georgia,Lamar,-83.33333333333334,% change,13171.0,841
Georgia,Lanier,nan,% change,13173.0,845
Georgia,Laurens,-75.0,% change,13175.0,847
Georgia,Lee,nan,% change,13177.0,849
Georgia,Liberty,nan,% change,13179.0,855
Georgia,Lincoln,nan,% change,13181.0,857
Georgia,Long,nan,% change,13183.0,860
Georgia,Lowndes,nan,% change,13185.0,863
Georgia,Lumpkin,nan,% change,13187.0,865
Georgia,McDuffie,nan,% change,13189.0,868
Georgia,McIntosh,nan,% change,13191.0,871
Georgia,Macon,-100.0,% change,13193.0,874
Georgia,Madison,100.0,% change,13195.0,875
Georgia,Marion,nan,% change,13197.0,877
Georgia,Meriwether,nan,% change,13199.0,879
Georgia,Miller,nan,% change,13201.0,881
Georgia,Mitchell,0.0,% change,13205.0,883
Georgia,Monroe,nan,% change,13207.0,885
Georgia,Montgomery,nan,% change,13209.0,887
Georgia,Morgan,-33.33333333333333,% change,13211.0,890
Georgia,Murray,-100.0,% change,13213.0,892
Georgia,Muscogee,nan,% change,13215.0,896
Georgia,Newton,-85.71428571428571,% change,13217.0,899
Georgia,Oconee,nan,% change,13219.0,901
Georgia,Oglethorpe,-50.0,% change,13221.0,905
Georgia,Paulding,-100.0,% change,13223.0,908
Georgia,Peach,nan,% change,13225.0,910
Georgia,Pickens,0.0,% change,13227.0,912
Georgia,Pierce,-100.0,% change,13229.0,915
Georgia,Pike,-80.0,% change,13231.0,7
Georgia,Polk,500.0,% change,13233.0,8
Georgia,Pulaski,nan,% change,13235.0,11
Georgia,Putnam,-100.0,% change,13237.0,13
Georgia,Quitman,nan,% change,13239.0,16
Georgia,Rabun,-100.0,% change,13241.0,18
Georgia,Randolph,nan,% change,13243.0,23
Georgia,Richmond,nan,% change,13245.0,24
Georgia,Rockdale,nan,% change,13247.0,28
Georgia,Schley,nan,% change,13249.0,31
Georgia,Screven,0.0,% change,13251.0,34
Georgia,Seminole,-100.0,% change,13253.0,38
Georgia,Spalding,-100.0,% change,13255.0,41
Georgia,Stephens,nan,% change,13257.0,45
Georgia,Stewart,nan,% change,13259.0,48
Georgia,Sumter,-80.0,% change,13261.0,52
Georgia,Talbot,nan,% change,13263.0,57
Georgia,Taliaferro,-100.0,% change,13265.0,60
Georgia,Tattnall,nan,% change,13267.0,63
Georgia,Taylor,-100.0,% change,13269.0,69
Georgia,Telfair,-100.0,% change,13271.0,75
Georgia,Terrell,nan,% change,13273.0,78
Georgia,Thomas,-100.0,% change,13275.0,83
Georgia,Tift,nan,% change,13277.0,87
Georgia,Toombs,-100.0,% change,13279.0,91
Georgia,Towns,nan,% change,13281.0,95
Georgia,Treutlen,-100.0,% change,13283.0,102
Georgia,Troup,nan,% change,13285.0,105
Georgia,Turner,-80.0,% change,13287.0,108
Georgia,Twiggs,nan,% change,13289.0,116
Georgia,Union,0.0,% change,13291.0,120
Georgia,Upson,-50.0,% change,13293.0,123
Georgia,Walker,125.0,% change,13295.0,126
Georgia,Walton,333.33333333333337,% change,13297.0,127
Georgia,Ware,nan,% change,13299.0,132
Georgia,Warren,-60.0,% change,13301.0,135
Georgia,Washington,-100.0,% change,13303.0,143
Georgia,Wayne,nan,% change,13305.0,147
Georgia,Webster,-100.0,% change,13307.0,149
Georgia,Wheeler,-100.0,% change,13309.0,154
Georgia,White,-100.0,% change,13311.0,157
Georgia,Whitfield,nan,% change,13313.0,159
Georgia,Wilcox,-85.71428571428571,% change,13315.0,163
Georgia,Wilkes,-100.0,% change,13317.0,167
Georgia,Wilkinson,nan,% change,13319.0,169
Georgia,Worth,-100.0,% change,13321.0,173
Hawaii,Hawaii,-6.25,% change,15001.0,198
Hawaii,Honolulu,17.391304347826086,% change,15003.0,234
Hawaii,Kalawao,nan,% change,15005.0,247
Hawaii,Kauai,7.4074074074074066,% change,15007.0,261
Hawaii,Maui,0.0,% change,15009.0,323
Idaho,Ada,33.33333333333333,% change,16001.0,336
Idaho,Adams,-100.0,% change,16003.0,338
Idaho,Bannock,50.0,% change,16005.0,343
Idaho,Bear Lake,-100.0,% change,16007.0,349
Idaho,Benewah,-100.0,% change,16009.0,354
