State,County,Expenditures per capita fast food 2007 (PC_FFRSALES07),Units,FIPS,FID
Colorado,Dolores,747.0957935358956,Dollars,8033,636
Colorado,Douglas,747.0957935358956,Dollars,8035,644
Colorado,Eagle,747.0957935358956,Dollars,8037,648
Colorado,Elbert,747.0957935358956,Dollars,8039,655
Colorado,El Paso,747.0957935358956,Dollars,8041,661
Colorado,Fremont,747.0957935358956,Dollars,8043,664
Colorado,Garfield,747.0957935358956,Dollars,8045,667
Colorado,Gilpin,747.0957935358956,Dollars,8047,672
Colorado,Grand,747.0957935358956,Dollars,8049,677
Colorado,Gunnison,747.0957935358956,Dollars,8051,682
Colorado,Hinsdale,747.0957935358956,Dollars,8053,688
Colorado,Huerfano,747.0957935358956,Dollars,8055,693
Colorado,Jackson,747.0957935358956,Dollars,8057,701
Colorado,Jefferson,747.0957935358956,Dollars,8059,706
Colorado,Kiowa,747.0957935358956,Dollars,8061,711
Colorado,Kit Carson,747.0957935358956,Dollars,8063,716
Colorado,Lake,747.0957935358956,Dollars,8065,721
Colorado,La Plata,747.0957935358956,Dollars,8067,727
Colorado,Larimer,747.0957935358956,Dollars,8069,734
Colorado,Las Animas,747.0957935358956,Dollars,8071,741
Colorado,Lincoln,747.0957935358956,Dollars,8073,747
Colorado,Logan,747.0957935358956,Dollars,8075,749
Colorado,Mesa,747.0957935358956,Dollars,8077,751
Colorado,Mineral,747.0957935358956,Dollars,8079,757
Colorado,Moffat,747.0957935358956,Dollars,8081,758
Colorado,Montezuma,747.0957935358956,Dollars,8083,766
Colorado,Montrose,747.0957935358956,Dollars,8085,769
Colorado,Morgan,747.0957935358956,Dollars,8087,775
Colorado,Otero,747.0957935358956,Dollars,8089,777
Colorado,Ouray,747.0957935358956,Dollars,8091,780
Colorado,Park,747.0957935358956,Dollars,8093,782
Colorado,Phillips,747.0957935358956,Dollars,8095,785
Colorado,Pitkin,747.0957935358956,Dollars,8097,789
Colorado,Prowers,747.0957935358956,Dollars,8099,792
Colorado,Pueblo,747.0957935358956,Dollars,8101,795
Colorado,Rio Blanco,747.0957935358956,Dollars,8103,799
Colorado,Rio Grande,747.0957935358956,Dollars,8105,802
Colorado,Routt,747.0957935358956,Dollars,8107,809
Colorado,Saguache,747.0957935358956,Dollars,8109,811
Colorado,San Juan,747.0957935358956,Dollars,8111,347
Colorado,San Miguel,747.0957935358956,Dollars,8113,359
Colorado,Sedgwick,747.0957935358956,Dollars,8115,366
Colorado,Summit,747.0957935358956,Dollars,8117,373
Colorado,Teller,747.0957935358956,Dollars,8119,375
Colorado,Washington,747.0957935358956,Dollars,8121,377
Colorado,Weld,747.0957935358956,Dollars,8123,382
Colorado,Yuma,747.0957935358956,Dollars,8125,385
Connecticut,Fairfield,569.3310801585053,Dollars,9001,410
Connecticut,Hartford,569.3310801585053,Dollars,9003,432
Connecticut,Litchfield,569.3310801585053,Dollars,9005,443
Connecticut,Middlesex,569.3310801585053,Dollars,9007,450
Connecticut,New Haven,569.3310801585053,Dollars,9009,466
Connecticut,New London,569.3310801585053,Dollars,9011,517
Connecticut,Tolland,569.3310801585053,Dollars,9013,524
Connecticut,Windham,569.3310801585053,Dollars,9015,529
Delaware,Kent,652.4464012251149,Dollars,10001,532
Delaware,New Castle,652.4464012251149,Dollars,10003,536
Delaware,Sussex,652.4464012251149,Dollars,10005,609
District of Columbia,District of Columbia,1043.8608605056472,Dollars,11001,630
Florida,Alachua,632.3373780797826,Dollars,12001,639
Florida,Baker,632.3373780797826,Dollars,12003,641
Florida,Bay,632.3373780797826,Dollars,12005,658
Florida,Bradford,632.3373780797826,Dollars,12007,665
Florida,Brevard,632.3373780797826,Dollars,12009,686
Florida,Broward,632.3373780797826,Dollars,12011,695
Florida,Calhoun,632.3373780797826,Dollars,12013,699
Florida,Charlotte,632.3373780797826,Dollars,12015,743
Florida,Citrus,632.3373780797826,Dollars,12017,843
Florida,Clay,632.3373780797826,Dollars,12019,852
Florida,Collier,632.3373780797826,Dollars,12021,894
Florida,Columbia,632.3373780797826,Dollars,12023,903
Florida,DeSoto,632.3373780797826,Dollars,12027,906
Florida,Dixie,632.3373780797826,Dollars,12029,918
Florida,Duval,632.3373780797826,Dollars,12031,924
Florida,Escambia,632.3373780797826,Dollars,12033,931
Florida,Flagler,632.3373780797826,Dollars,12035,935
Florida,Franklin,632.3373780797826,Dollars,12037,937
Florida,Gadsden,632.3373780797826,Dollars,12039,938
Florida,Gilchrist,632.3373780797826,Dollars,12041,939
Florida,Glades,632.3373780797826,Dollars,12043,940
Florida,Gulf,632.3373780797826,Dollars,12045,941
Florida,Hamilton,632.3373780797826,Dollars,12047,942
Florida,Hardee,632.3373780797826,Dollars,12049,943
Florida,Hendry,632.3373780797826,Dollars,12051,944
Florida,Hernando,632.3373780797826,Dollars,12053,945
Florida,Highlands,632.3373780797826,Dollars,12055,946
Florida,Hillsborough,632.3373780797826,Dollars,12057,947
Florida,Holmes,632.3373780797826,Dollars,12059,948
Florida,Indian River,632.3373780797826,Dollars,12061,949
Florida,Jackson,632.3373780797826,Dollars,12063,950
Florida,Jefferson,632.3373780797826,Dollars,12065,951
Florida,Lafayette,632.3373780797826,Dollars,12067,952
Florida,Lake,632.3373780797826,Dollars,12069,953
Florida,Lee,632.3373780797826,Dollars,12071,954
Florida,Leon,632.3373780797826,Dollars,12073,955
Florida,Levy,632.3373780797826,Dollars,12075,956
Florida,Liberty,632.3373780797826,Dollars,12077,957
Florida,Madison,632.3373780797826,Dollars,12079,958
Florida,Manatee,632.3373780797826,Dollars,12081,959
Florida,Marion,632.3373780797826,Dollars,12083,960
Florida,Martin,632.3373780797826,Dollars,12085,961
Florida,Miami-Dade,632.3373780797826,Dollars,12086,962
Florida,Monroe,632.3373780797826,Dollars,12087,963
Florida,Nassau,632.3373780797826,Dollars,12089,964
Florida,Okaloosa,632.3373780797826,Dollars,12091,965
Florida,Okeechobee,632.3373780797826,Dollars,12093,966
Florida,Orange,632.3373780797826,Dollars,12095,967
Florida,Osceola,632.3373780797826,Dollars,12097,968
Florida,Palm Beach,632.3373780797826,Dollars,12099,969
Florida,Pasco,632.3373780797826,Dollars,12101,970
Florida,Pinellas,632.3373780797826,Dollars,12103,971
Florida,Polk,632.3373780797826,Dollars,12105,972
Florida,Putnam,632.3373780797826,Dollars,12107,973
Florida,St. Johns,632.3373780797826,Dollars,12109,974
Florida,St. Lucie,632.3373780797826,Dollars,12111,975
Florida,Santa Rosa,632.3373780797826,Dollars,12113,976
Florida,Sarasota,632.3373780797826,Dollars,12115,977
Florida,Seminole,632.3373780797826,Dollars,12117,978
Florida,Sumter,632.3373780797826,Dollars,12119,979
Florida,Suwannee,632.3373780797826,Dollars,12121,980
Florida,Taylor,632.3373780797826,Dollars,12123,981
Florida,Union,632.3373780797826,Dollars,12125,982
Florida,Volusia,632.3373780797826,Dollars,12127,983
Florida,Wakulla,632.3373780797826,Dollars,12129,984
Florida,Walton,632.3373780797826,Dollars,12131,985
Florida,Washington,632.3373780797826,Dollars,12133,986
Georgia,Appling,749.6665527793294,Dollars,13001,987
Georgia,Atkinson,749.6665527793294,Dollars,13003,988
Georgia,Bacon,749.6665527793294,Dollars,13005,989
Georgia,Baker,749.6665527793294,Dollars,13007,990
Georgia,Baldwin,749.6665527793294,Dollars,13009,991
Georgia,Banks,749.6665527793294,Dollars,13011,992
Georgia,Barrow,749.6665527793294,Dollars,13013,993
Georgia,Bartow,749.6665527793294,Dollars,13015,994
Georgia,Ben Hill,749.6665527793294,Dollars,13017,995
Georgia,Berrien,749.6665527793294,Dollars,13019,996
Georgia,Bibb,749.6665527793294,Dollars,13021,997
Georgia,Bleckley,749.6665527793294,Dollars,13023,998
Georgia,Brantley,749.6665527793294,Dollars,13025,999
Georgia,Brooks,749.6665527793294,Dollars,13027,565
Georgia,Bryan,749.6665527793294,Dollars,13029,573
Georgia,Bulloch,749.6665527793294,Dollars,13031,579
Georgia,Burke,749.6665527793294,Dollars,13033,583
Georgia,Butts,749.6665527793294,Dollars,13035,588
Georgia,Calhoun,749.6665527793294,Dollars,13037,592
Georgia,Camden,749.6665527793294,Dollars,13039,603
Georgia,Candler,749.6665527793294,Dollars,13043,616
Georgia,Carroll,749.6665527793294,Dollars,13045,620
Georgia,Catoosa,749.6665527793294,Dollars,13047,626
Georgia,Charlton,749.6665527793294,Dollars,13049,635
Georgia,Chatham,749.6665527793294,Dollars,13051,646
Georgia,Chattahoochee,749.6665527793294,Dollars,13053,656
Georgia,Chattooga,749.6665527793294,Dollars,13055,659
Georgia,Cherokee,749.6665527793294,Dollars,13057,662
Georgia,Clarke,749.6665527793294,Dollars,13059,666
Georgia,Clay,749.6665527793294,Dollars,13061,670
Georgia,Clayton,749.6665527793294,Dollars,13063,673
Georgia,Clinch,749.6665527793294,Dollars,13065,676
Georgia,Cobb,749.6665527793294,Dollars,13067,680
Georgia,Coffee,749.6665527793294,Dollars,13069,684
Georgia,Colquitt,749.6665527793294,Dollars,13071,689
Georgia,Columbia,749.6665527793294,Dollars,13073,692
Georgia,Cook,749.6665527793294,Dollars,13075,697
Georgia,Coweta,749.6665527793294,Dollars,13077,700
Georgia,Crawford,749.6665527793294,Dollars,13079,704
Georgia,Crisp,749.6665527793294,Dollars,13081,707
Georgia,Dade,749.6665527793294,Dollars,13083,708
Georgia,Dawson,749.6665527793294,Dollars,13085,713
Georgia,Decatur,749.6665527793294,Dollars,13087,714
Georgia,DeKalb,749.6665527793294,Dollars,13089,718
Georgia,Dodge,749.6665527793294,Dollars,13091,720
Georgia,Dooly,749.6665527793294,Dollars,13093,724
Georgia,Dougherty,749.6665527793294,Dollars,13095,728
Georgia,Douglas,749.6665527793294,Dollars,13097,731
Georgia,Early,749.6665527793294,Dollars,13099,735
Georgia,Echols,749.6665527793294,Dollars,13101,737
Georgia,Effingham,749.6665527793294,Dollars,13103,742
Georgia,Elbert,749.6665527793294,Dollars,13105,746
Georgia,Emanuel,749.6665527793294,Dollars,13107,750
Georgia,Evans,749.6665527793294,Dollars,13109,754
Georgia,Fannin,749.6665527793294,Dollars,13111,755
Georgia,Fayette,749.6665527793294,Dollars,13113,760
Georgia,Floyd,749.6665527793294,Dollars,13115,764
Georgia,Forsyth,749.6665527793294,Dollars,13117,768
Georgia,Franklin,749.6665527793294,Dollars,13119,772
Georgia,Fulton,749.6665527793294,Dollars,13121,779
Georgia,Gilmer,749.6665527793294,Dollars,13123,781
Georgia,Glascock,749.6665527793294,Dollars,13125,783
Georgia,Glynn,749.6665527793294,Dollars,13127,793
Georgia,Gordon,749.6665527793294,Dollars,13129,796
Georgia,Grady,749.6665527793294,Dollars,13131,797
Georgia,Greene,749.6665527793294,Dollars,13133,800
Georgia,Gwinnett,749.6665527793294,Dollars,13135,804
Georgia,Habersham,749.6665527793294,Dollars,13137,806
Georgia,Hall,749.6665527793294,Dollars,13139,808
Georgia,Hancock,749.6665527793294,Dollars,13141,810
Georgia,Haralson,749.6665527793294,Dollars,13143,813
Georgia,Harris,749.6665527793294,Dollars,13145,814
Georgia,Hart,749.6665527793294,Dollars,13147,816
Georgia,Heard,749.6665527793294,Dollars,13149,817
Georgia,Henry,749.6665527793294,Dollars,13151,820
Georgia,Houston,749.6665527793294,Dollars,13153,823
Georgia,Irwin,749.6665527793294,Dollars,13155,825
Georgia,Jackson,749.6665527793294,Dollars,13157,828
Georgia,Jasper,749.6665527793294,Dollars,13159,830
Georgia,Jeff Davis,749.6665527793294,Dollars,13161,832
Georgia,Jefferson,749.6665527793294,Dollars,13163,834
Georgia,Jenkins,749.6665527793294,Dollars,13165,835
Georgia,Johnson,749.6665527793294,Dollars,13167,837
Georgia,Jones,749.6665527793294,Dollars,13169,839
Georgia,Lamar,749.6665527793294,Dollars,13171,841
Georgia,Lanier,749.6665527793294,Dollars,13173,845
Georgia,Laurens,749.6665527793294,Dollars,13175,847
Georgia,Lee,749.6665527793294,Dollars,13177,849
Georgia,Liberty,749.6665527793294,Dollars,13179,855
Georgia,Lincoln,749.6665527793294,Dollars,13181,857
Georgia,Long,749.6665527793294,Dollars,13183,860
Georgia,Lowndes,749.6665527793294,Dollars,13185,863
Georgia,Lumpkin,749.6665527793294,Dollars,13187,865
Georgia,McDuffie,749.6665527793294,Dollars,13189,868
Georgia,McIntosh,749.6665527793294,Dollars,13191,871
Georgia,Macon,749.6665527793294,Dollars,13193,874
Georgia,Madison,749.6665527793294,Dollars,13195,875
Georgia,Marion,749.6665527793294,Dollars,13197,877
Georgia,Meriwether,749.6665527793294,Dollars,13199,879
Georgia,Miller,749.6665527793294,Dollars,13201,881
Georgia,Mitchell,749.6665527793294,Dollars,13205,883
Georgia,Monroe,749.6665527793294,Dollars,13207,885
Georgia,Montgomery,749.6665527793294,Dollars,13209,887
Georgia,Morgan,749.6665527793294,Dollars,13211,890
Georgia,Murray,749.6665527793294,Dollars,13213,892
Georgia,Muscogee,749.6665527793294,Dollars,13215,896
Georgia,Newton,749.6665527793294,Dollars,13217,899
Georgia,Oconee,749.6665527793294,Dollars,13219,901
Georgia,Oglethorpe,749.6665527793294,Dollars,13221,905
