State,County,Farmers' markets 2013 (FMRKT13),Units,FIPS,FID
Arkansas,Woodruff,0.0,Count,5147.0,435
Arkansas,Yell,0.0,Count,5149.0,438
California,Alameda,37.0,Count,6001.0,457
California,Alpine,0.0,Count,6003.0,461
California,Amador,5.0,Count,6005.0,472
California,Butte,7.0,Count,6007.0,486
California,Calaveras,3.0,Count,6009.0,489
California,Colusa,2.0,Count,6011.0,497
California,Contra Costa,25.0,Count,6013.0,503
California,Del Norte,1.0,Count,6015.0,511
California,El Dorado,8.0,Count,6017.0,522
California,Fresno,16.0,Count,6019.0,527
California,Glenn,3.0,Count,6021.0,537
California,Humboldt,16.0,Count,6023.0,551
California,Imperial,1.0,Count,6025.0,557
California,Inyo,2.0,Count,6027.0,562
California,Kern,20.0,Count,6029.0,84
California,Kings,2.0,Count,6031.0,94
California,Lake,8.0,Count,6033.0,100
California,Lassen,2.0,Count,6035.0,104
California,Los Angeles,117.0,Count,6037.0,139
California,Madera,9.0,Count,6039.0,153
California,Marin,15.0,Count,6041.0,168
California,Mariposa,2.0,Count,6043.0,178
California,Mendocino,8.0,Count,6045.0,190
California,Merced,7.0,Count,6047.0,204
California,Modoc,0.0,Count,6049.0,207
California,Mono,2.0,Count,6051.0,214
California,Monterey,16.0,Count,6053.0,228
California,Napa,6.0,Count,6055.0,236
California,Nevada,7.0,Count,6057.0,243
California,Orange,23.0,Count,6059.0,257
California,Placer,21.0,Count,6061.0,266
California,Plumas,1.0,Count,6063.0,275
California,Riverside,23.0,Count,6065.0,281
California,Sacramento,23.0,Count,6067.0,289
California,San Benito,1.0,Count,6069.0,295
California,San Bernardino,23.0,Count,6071.0,302
California,San Diego,50.0,Count,6073.0,315
California,San Francisco,28.0,Count,6075.0,331
California,San Joaquin,15.0,Count,6077.0,339
California,San Luis Obispo,27.0,Count,6079.0,351
California,San Mateo,23.0,Count,6081.0,368
California,Santa Barbara,12.0,Count,6083.0,391
California,Santa Clara,38.0,Count,6085.0,406
California,Santa Cruz,7.0,Count,6087.0,415
California,Shasta,12.0,Count,6089.0,431
California,Sierra,0.0,Count,6091.0,439
California,Siskiyou,6.0,Count,6093.0,446
California,Solano,6.0,Count,6095.0,453
California,Sonoma,21.0,Count,6097.0,463
California,Stanislaus,12.0,Count,6099.0,473
California,Sutter,2.0,Count,6101.0,483
California,Tehama,3.0,Count,6103.0,492
California,Trinity,1.0,Count,6105.0,500
California,Tulare,12.0,Count,6107.0,501
California,Tuolumne,3.0,Count,6109.0,513
California,Ventura,11.0,Count,6111.0,521
California,Yolo,6.0,Count,6113.0,525
California,Yuba,3.0,Count,6115.0,541
Colorado,Adams,6.0,Count,8001.0,545
Colorado,Alamosa,1.0,Count,8003.0,549
Colorado,Arapahoe,6.0,Count,8005.0,558
Colorado,Archuleta,2.0,Count,8007.0,560
Colorado,Baca,0.0,Count,8009.0,563
Colorado,Bent,2.0,Count,8011.0,564
Colorado,Boulder,6.0,Count,8013.0,570
Colorado,Broomfield,2.0,Count,8014.0,577
Colorado,Chaffee,3.0,Count,8015.0,582
Colorado,Cheyenne,0.0,Count,8017.0,587
Colorado,Clear Creek,2.0,Count,8019.0,591
Colorado,Conejos,0.0,Count,8021.0,596
Colorado,Costilla,0.0,Count,8023.0,599
Colorado,Crowley,0.0,Count,8025.0,605
Colorado,Custer,1.0,Count,8027.0,610
Colorado,Delta,1.0,Count,8029.0,617
Colorado,Denver,14.0,Count,8031.0,628
Colorado,Dolores,0.0,Count,8033.0,636
Colorado,Douglas,6.0,Count,8035.0,644
Colorado,Eagle,7.0,Count,8037.0,648
Colorado,Elbert,1.0,Count,8039.0,655
Colorado,El Paso,21.0,Count,8041.0,661
Colorado,Fremont,4.0,Count,8043.0,664
Colorado,Garfield,5.0,Count,8045.0,667
Colorado,Gilpin,0.0,Count,8047.0,672
Colorado,Grand,2.0,Count,8049.0,677
Colorado,Gunnison,2.0,Count,8051.0,682
Colorado,Hinsdale,0.0,Count,8053.0,688
Colorado,Huerfano,1.0,Count,8055.0,693
Colorado,Jackson,0.0,Count,8057.0,701
Colorado,Jefferson,12.0,Count,8059.0,706
Colorado,Kiowa,0.0,Count,8061.0,711
Colorado,Kit Carson,0.0,Count,8063.0,716
Colorado,Lake,0.0,Count,8065.0,721
Colorado,La Plata,1.0,Count,8067.0,727
Colorado,Larimer,10.0,Count,8069.0,734
Colorado,Las Animas,0.0,Count,8071.0,741
Colorado,Lincoln,1.0,Count,8073.0,747
Colorado,Logan,0.0,Count,8075.0,749
Colorado,Mesa,3.0,Count,8077.0,751
Colorado,Mineral,0.0,Count,8079.0,757
Colorado,Moffat,1.0,Count,8081.0,758
Colorado,Montezuma,4.0,Count,8083.0,766
Colorado,Montrose,1.0,Count,8085.0,769
Colorado,Morgan,1.0,Count,8087.0,775
Colorado,Otero,0.0,Count,8089.0,777
Colorado,Ouray,2.0,Count,8091.0,780
Colorado,Park,2.0,Count,8093.0,782
Colorado,Phillips,0.0,Count,8095.0,785
Colorado,Pitkin,1.0,Count,8097.0,789
Colorado,Prowers,0.0,Count,8099.0,792
Colorado,Pueblo,4.0,Count,8101.0,795
Colorado,Rio Blanco,0.0,Count,8103.0,799
Colorado,Rio Grande,2.0,Count,8105.0,802
Colorado,Routt,2.0,Count,8107.0,809
Colorado,Saguache,0.0,Count,8109.0,811
Colorado,San Juan,0.0,Count,8111.0,347
Colorado,San Miguel,3.0,Count,8113.0,359
Colorado,Sedgwick,0.0,Count,8115.0,366
Colorado,Summit,0.0,Count,8117.0,373
Colorado,Teller,2.0,Count,8119.0,375
Colorado,Washington,0.0,Count,8121.0,377
Colorado,Weld,10.0,Count,8123.0,382
Colorado,Yuma,0.0,Count,8125.0,385
Connecticut,Fairfield,34.0,Count,9001.0,410
Connecticut,Hartford,34.0,Count,9003.0,432
Connecticut,Litchfield,15.0,Count,9005.0,443
Connecticut,Middlesex,14.0,Count,9007.0,450
Connecticut,New Haven,28.0,Count,9009.0,466
Connecticut,New London,17.0,Count,9011.0,517
Connecticut,Tolland,8.0,Count,9013.0,524
Connecticut,Windham,8.0,Count,9015.0,529
Delaware,Kent,3.0,Count,10001.0,532
Delaware,New Castle,9.0,Count,10003.0,536
Delaware,Sussex,16.0,Count,10005.0,609
District of Columbia,District of Columbia,36.0,Count,11001.0,630
Florida,Alachua,7.0,Count,12001.0,639
Florida,Baker,0.0,Count,12003.0,641
Florida,Bay,4.0,Count,12005.0,658
Florida,Bradford,1.0,Count,12007.0,665
Florida,Brevard,6.0,Count,12009.0,686
Florida,Broward,14.0,Count,12011.0,695
Florida,Calhoun,0.0,Count,12013.0,699
Florida,Charlotte,1.0,Count,12015.0,743
Florida,Citrus,1.0,Count,12017.0,843
Florida,Clay,2.0,Count,12019.0,852
Florida,Collier,6.0,Count,12021.0,894
Florida,Columbia,1.0,Count,12023.0,903
Florida,DeSoto,0.0,Count,12027.0,906
Florida,Dixie,1.0,Count,12029.0,918
Florida,Duval,9.0,Count,12031.0,924
Florida,Escambia,4.0,Count,12033.0,931
Florida,Flagler,1.0,Count,12035.0,935
Florida,Franklin,0.0,Count,12037.0,937
Florida,Gadsden,1.0,Count,12039.0,938
Florida,Gilchrist,0.0,Count,12041.0,939
Florida,Glades,0.0,Count,12043.0,940
Florida,Gulf,2.0,Count,12045.0,941
Florida,Hamilton,0.0,Count,12047.0,942
Florida,Hardee,0.0,Count,12049.0,943
Florida,Hendry,0.0,Count,12051.0,944
Florida,Hernando,5.0,Count,12053.0,945
Florida,Highlands,1.0,Count,12055.0,946
Florida,Hillsborough,12.0,Count,12057.0,947
Florida,Holmes,0.0,Count,12059.0,948
Florida,Indian River,3.0,Count,12061.0,949
Florida,Jackson,2.0,Count,12063.0,950
Florida,Jefferson,1.0,Count,12065.0,951
Florida,Lafayette,1.0,Count,12067.0,952
Florida,Lake,3.0,Count,12069.0,953
Florida,Lee,10.0,Count,12071.0,954
Florida,Leon,6.0,Count,12073.0,955
Florida,Levy,0.0,Count,12075.0,956
Florida,Liberty,0.0,Count,12077.0,957
Florida,Madison,1.0,Count,12079.0,958
Florida,Manatee,3.0,Count,12081.0,959
Florida,Marion,4.0,Count,12083.0,960
Florida,Martin,1.0,Count,12085.0,961
Florida,Miami-Dade,32.0,Count,12086.0,962
Florida,Monroe,0.0,Count,12087.0,963
Florida,Nassau,2.0,Count,12089.0,964
Florida,Okaloosa,4.0,Count,12091.0,965
Florida,Okeechobee,0.0,Count,12093.0,966
Florida,Orange,7.0,Count,12095.0,967
Florida,Osceola,5.0,Count,12097.0,968
Florida,Palm Beach,10.0,Count,12099.0,969
Florida,Pasco,5.0,Count,12101.0,970
Florida,Pinellas,10.0,Count,12103.0,971
Florida,Polk,4.0,Count,12105.0,972
Florida,Putnam,2.0,Count,12107.0,973
Florida,St. Johns,3.0,Count,12109.0,974
Florida,St. Lucie,3.0,Count,12111.0,975
Florida,Santa Rosa,1.0,Count,12113.0,976
Florida,Sarasota,3.0,Count,12115.0,977
Florida,Seminole,3.0,Count,12117.0,978
Florida,Sumter,4.0,Count,12119.0,979
Florida,Suwannee,3.0,Count,12121.0,980
Florida,Taylor,1.0,Count,12123.0,981
Florida,Union,1.0,Count,12125.0,982
Florida,Volusia,8.0,Count,12127.0,983
Florida,Wakulla,0.0,Count,12129.0,984
Florida,Walton,2.0,Count,12131.0,985
Florida,Washington,1.0,Count,12133.0,986
Georgia,Appling,0.0,Count,13001.0,987
Georgia,Atkinson,0.0,Count,13003.0,988
Georgia,Bacon,0.0,Count,13005.0,989
Georgia,Baker,0.0,Count,13007.0,990
Georgia,Baldwin,3.0,Count,13009.0,991
Georgia,Banks,0.0,Count,13011.0,992
Georgia,Barrow,2.0,Count,13013.0,993
Georgia,Bartow,0.0,Count,13015.0,994
Georgia,Ben Hill,1.0,Count,13017.0,995
Georgia,Berrien,1.0,Count,13019.0,996
Georgia,Bibb,2.0,Count,13021.0,997
Georgia,Bleckley,1.0,Count,13023.0,998
Georgia,Brantley,0.0,Count,13025.0,999
Georgia,Brooks,0.0,Count,13027.0,565
Georgia,Bryan,0.0,Count,13029.0,573
Georgia,Bulloch,1.0,Count,13031.0,579
Georgia,Burke,0.0,Count,13033.0,583
Georgia,Butts,0.0,Count,13035.0,588
Georgia,Calhoun,0.0,Count,13037.0,592
Georgia,Camden,0.0,Count,13039.0,603
Georgia,Candler,0.0,Count,13043.0,616
Georgia,Carroll,2.0,Count,13045.0,620
Georgia,Catoosa,1.0,Count,13047.0,626
Georgia,Charlton,0.0,Count,13049.0,635
Georgia,Chatham,2.0,Count,13051.0,646
Georgia,Chattahoochee,0.0,Count,13053.0,656
Georgia,Chattooga,0.0,Count,13055.0,659
Georgia,Cherokee,5.0,Count,13057.0,662
Georgia,Clarke,5.0,Count,13059.0,666
Georgia,Clay,0.0,Count,13061.0,670
Georgia,Clayton,1.0,Count,13063.0,673
Georgia,Clinch,0.0,Count,13065.0,676
Georgia,Cobb,5.0,Count,13067.0,680
Georgia,Coffee,0.0,Count,13069.0,684
Georgia,Colquitt,0.0,Count,13071.0,689
Georgia,Columbia,1.0,Count,13073.0,692
Georgia,Cook,0.0,Count,13075.0,697
Georgia,Coweta,1.0,Count,13077.0,700
Georgia,Crawford,0.0,Count,13079.0,704
Georgia,Crisp,1.0,Count,13081.0,707
Georgia,Dade,1.0,Count,13083.0,708
Georgia,Dawson,1.0,Count,13085.0,713
Georgia,Decatur,0.0,Count,13087.0,714
Georgia,DeKalb,10.0,Count,13089.0,718
Georgia,Dodge,0.0,Count,13091.0,720
Georgia,Dooly,0.0,Count,13093.0,724
Georgia,Dougherty,1.0,Count,13095.0,728
Georgia,Douglas,4.0,Count,13097.0,731
Georgia,Early,0.0,Count,13099.0,735
Georgia,Echols,0.0,Count,13101.0,737
Georgia,Effingham,0.0,Count,13103.0,742
Georgia,Elbert,0.0,Count,13105.0,746
Georgia,Emanuel,0.0,Count,13107.0,750
Georgia,Evans,0.0,Count,13109.0,754
Georgia,Fannin,0.0,Count,13111.0,755
Georgia,Fayette,1.0,Count,13113.0,760
Georgia,Floyd,1.0,Count,13115.0,764
Georgia,Forsyth,2.0,Count,13117.0,768
Georgia,Franklin,1.0,Count,13119.0,772
Georgia,Fulton,15.0,Count,13121.0,779
Georgia,Gilmer,1.0,Count,13123.0,781
Georgia,Glascock,0.0,Count,13125.0,783
Georgia,Glynn,0.0,Count,13127.0,793
Georgia,Gordon,0.0,Count,13129.0,796
Georgia,Grady,1.0,Count,13131.0,797
Georgia,Greene,0.0,Count,13133.0,800
Georgia,Gwinnett,6.0,Count,13135.0,804
Georgia,Habersham,2.0,Count,13137.0,806
Georgia,Hall,3.0,Count,13139.0,808
Georgia,Hancock,0.0,Count,13141.0,810
Georgia,Haralson,1.0,Count,13143.0,813
Georgia,Harris,2.0,Count,13145.0,814
Georgia,Hart,2.0,Count,13147.0,816
Georgia,Heard,0.0,Count,13149.0,817
Georgia,Henry,0.0,Count,13151.0,820
Georgia,Houston,3.0,Count,13153.0,823
Georgia,Irwin,0.0,Count,13155.0,825
Georgia,Jackson,1.0,Count,13157.0,828
Georgia,Jasper,0.0,Count,13159.0,830
Georgia,Jeff Davis,0.0,Count,13161.0,832
Georgia,Jefferson,0.0,Count,13163.0,834
Georgia,Jenkins,0.0,Count,13165.0,835
Georgia,Johnson,0.0,Count,13167.0,837
Georgia,Jones,0.0,Count,13169.0,839
Georgia,Lamar,1.0,Count,13171.0,841
Georgia,Lanier,0.0,Count,13173.0,845
Georgia,Laurens,1.0,Count,13175.0,847
Georgia,Lee,0.0,Count,13177.0,849
Georgia,Liberty,0.0,Count,13179.0,855
Georgia,Lincoln,0.0,Count,13181.0,857
Georgia,Long,0.0,Count,13183.0,860
Georgia,Lowndes,3.0,Count,13185.0,863
Georgia,Lumpkin,2.0,Count,13187.0,865
Georgia,McDuffie,0.0,Count,13189.0,868
Georgia,McIntosh,0.0,Count,13191.0,871
Georgia,Macon,1.0,Count,13193.0,874
Georgia,Madison,0.0,Count,13195.0,875
Georgia,Marion,0.0,Count,13197.0,877
Georgia,Meriwether,0.0,Count,13199.0,879
Georgia,Miller,0.0,Count,13201.0,881
Georgia,Mitchell,0.0,Count,13205.0,883
Georgia,Monroe,1.0,Count,13207.0,885
Georgia,Montgomery,0.0,Count,13209.0,887
Georgia,Morgan,0.0,Count,13211.0,890
Georgia,Murray,0.0,Count,13213.0,892
Georgia,Muscogee,2.0,Count,13215.0,896
Georgia,Newton,0.0,Count,13217.0,899
Georgia,Oconee,2.0,Count,13219.0,901
Georgia,Oglethorpe,1.0,Count,13221.0,905
Georgia,Paulding,1.0,Count,13223.0,908
Georgia,Peach,1.0,Count,13225.0,910
Georgia,Pickens,1.0,Count,13227.0,912
Georgia,Pierce,0.0,Count,13229.0,915
Georgia,Pike,1.0,Count,13231.0,7
Georgia,Polk,1.0,Count,13233.0,8
Georgia,Pulaski,2.0,Count,13235.0,11
Georgia,Putnam,1.0,Count,13237.0,13
Georgia,Quitman,0.0,Count,13239.0,16
Georgia,Rabun,2.0,Count,13241.0,18
Georgia,Randolph,0.0,Count,13243.0,23
Georgia,Richmond,2.0,Count,13245.0,24
Georgia,Rockdale,0.0,Count,13247.0,28
Georgia,Schley,0.0,Count,13249.0,31
Georgia,Screven,0.0,Count,13251.0,34
Georgia,Seminole,0.0,Count,13253.0,38
Georgia,Spalding,0.0,Count,13255.0,41
Georgia,Stephens,0.0,Count,13257.0,45
Georgia,Stewart,0.0,Count,13259.0,48
Georgia,Sumter,1.0,Count,13261.0,52
Georgia,Talbot,0.0,Count,13263.0,57
Georgia,Taliaferro,0.0,Count,13265.0,60
Georgia,Tattnall,0.0,Count,13267.0,63
Georgia,Taylor,0.0,Count,13269.0,69
Georgia,Telfair,0.0,Count,13271.0,75
Georgia,Terrell,0.0,Count,13273.0,78
Georgia,Thomas,1.0,Count,13275.0,83
Georgia,Tift,3.0,Count,13277.0,87
Georgia,Toombs,0.0,Count,13279.0,91
Georgia,Towns,1.0,Count,13281.0,95
Georgia,Treutlen,0.0,Count,13283.0,102
Georgia,Troup,0.0,Count,13285.0,105
Georgia,Turner,0.0,Count,13287.0,108
Georgia,Twiggs,0.0,Count,13289.0,116
Georgia,Union,1.0,Count,13291.0,120
Georgia,Upson,2.0,Count,13293.0,123
Georgia,Walker,1.0,Count,13295.0,126
Georgia,Walton,2.0,Count,13297.0,127
Georgia,Ware,0.0,Count,13299.0,132
Georgia,Warren,0.0,Count,13301.0,135
Georgia,Washington,0.0,Count,13303.0,143
Georgia,Wayne,0.0,Count,13305.0,147
Georgia,Webster,0.0,Count,13307.0,149
Georgia,Wheeler,0.0,Count,13309.0,154
Georgia,White,1.0,Count,13311.0,157
Georgia,Whitfield,0.0,Count,13313.0,159
Georgia,Wilcox,0.0,Count,13315.0,163
Georgia,Wilkes,1.0,Count,13317.0,167
Georgia,Wilkinson,0.0,Count,13319.0,169
Georgia,Worth,1.0,Count,13321.0,173
Hawaii,Hawaii,30.0,Count,15001.0,198
Hawaii,Honolulu,43.0,Count,15003.0,234
Hawaii,Kalawao,0.0,Count,15005.0,247
Hawaii,Kauai,14.0,Count,15007.0,261
Hawaii,Maui,10.0,Count,15009.0,323
Idaho,Ada,10.0,Count,16001.0,336
Idaho,Adams,0.0,Count,16003.0,338
Idaho,Bannock,3.0,Count,16005.0,343
Idaho,Bear Lake,0.0,Count,16007.0,349
Idaho,Benewah,1.0,Count,16009.0,354
Idaho,Bingham,0.0,Count,16011.0,362
Idaho,Blaine,4.0,Count,16013.0,371
Idaho,Boise,1.0,Count,16015.0,380
Idaho,Bonner,5.0,Count,16017.0,387
Idaho,Bonneville,1.0,Count,16019.0,395
Idaho,Boundary,1.0,Count,16021.0,405
Idaho,Butte,0.0,Count,16023.0,414
Idaho,Camas,0.0,Count,16025.0,429
Idaho,Canyon,4.0,Count,16027.0,441
Idaho,Caribou,1.0,Count,16029.0,449
Idaho,Cassia,0.0,Count,16031.0,456
Idaho,Clark,0.0,Count,16033.0,464
Idaho,Clearwater,1.0,Count,16035.0,474
Idaho,Custer,2.0,Count,16037.0,484
Idaho,Elmore,1.0,Count,16039.0,490
Idaho,Franklin,0.0,Count,16041.0,498
Idaho,Fremont,2.0,Count,16043.0,502
Idaho,Gem,1.0,Count,16045.0,510
Idaho,Gooding,1.0,Count,16047.0,519
Idaho,Idaho,1.0,Count,16049.0,528
Idaho,Jefferson,0.0,Count,16051.0,540
Idaho,Jerome,0.0,Count,16053.0,547
Idaho,Kootenai,5.0,Count,16055.0,552
Idaho,Latah,6.0,Count,16057.0,559
Idaho,Lemhi,1.0,Count,16059.0,566
