State,County,Seniors low access to store 2010 (LACCESS_SENIORS10),Units,FIPS,FID
Arkansas,Conway,766.987535591873,Count,5029,109
Arkansas,Craighead,2389.4778049362,Count,5031,114
Arkansas,Crawford,1612.75615060057,Count,5033,115
Arkansas,Crittenden,624.281191752445,Count,5035,119
Arkansas,Cross,473.949347968602,Count,5037,124
Arkansas,Dallas,264.615746018939,Count,5039,128
Arkansas,Desha,641.834621398036,Count,5041,130
Arkansas,Drew,495.922432708567,Count,5043,136
Arkansas,Faulkner,2373.26153657238,Count,5045,141
Arkansas,Franklin,259.717948243129,Count,5047,144
Arkansas,Fulton,486.845649235926,Count,5049,146
Arkansas,Garland,6846.49883119985,Count,5051,151
Arkansas,Grant,306.788992736021,Count,5053,155
Arkansas,Greene,1280.61884773314,Count,5055,162
Arkansas,Hempstead,976.162481292454,Count,5057,172
Arkansas,Hot Spring,1037.50349805875,Count,5059,184
Arkansas,Howard,411.252295935258,Count,5061,191
Arkansas,Independence,1033.01421475221,Count,5063,200
Arkansas,Izard,154.950784015196,Count,5065,203
Arkansas,Jackson,346.083962501918,Count,5067,209
Arkansas,Jefferson,2083.61326069811,Count,5069,213
Arkansas,Johnson,404.975400846685,Count,5071,218
Arkansas,Lafayette,284.100698921545,Count,5073,222
Arkansas,Lawrence,772.033199922615,Count,5075,230
Arkansas,Lee,538.658382307238,Count,5077,237
Arkansas,Lincoln,254.355285079434,Count,5079,244
Arkansas,Little River,119.617096125054,Count,5081,251
Arkansas,Logan,528.96267882441,Count,5083,258
Arkansas,Lonoke,1470.25164869733,Count,5085,268
Arkansas,Madison,701.265523269634,Count,5087,277
Arkansas,Marion,547.382580767475,Count,5089,282
Arkansas,Miller,1513.39692104675,Count,5091,287
Arkansas,Mississippi,658.975312282763,Count,5093,294
Arkansas,Monroe,205.290390450987,Count,5095,300
Arkansas,Montgomery,481.524165801845,Count,5097,304
Arkansas,Nevada,503.606311091599,Count,5099,307
Arkansas,Newton,563.004500292962,Count,5101,311
Arkansas,Ouachita,1237.88613173799,Count,5103,316
Arkansas,Perry,200.781737064033,Count,5105,318
Arkansas,Phillips,1292.42010742401,Count,5107,322
Arkansas,Pike,438.38626331518,Count,5109,327
Arkansas,Poinsett,428.977724827784,Count,5111,333
Arkansas,Polk,1291.4741392391,Count,5113,337
Arkansas,Pope,988.501825166122,Count,5115,340
Arkansas,Prairie,88.4935649162632,Count,5117,345
Arkansas,Pulaski,13791.901718914,Count,5119,350
Arkansas,Randolph,1081.86963164228,Count,5121,353
Arkansas,St. Francis,869.762310841319,Count,5123,357
Arkansas,Saline,3619.66854096214,Count,5125,360
Arkansas,Scott,414.009323124064,Count,5127,364
Arkansas,Searcy,533.238513750822,Count,5129,372
Arkansas,Sebastian,2305.39653926586,Count,5131,378
Arkansas,Sevier,742.300746952127,Count,5133,390
Arkansas,Sharp,1112.28712774046,Count,5135,394
Arkansas,Stone,568.95508212668,Count,5137,399
Arkansas,Union,1554.72794144685,Count,5139,403
Arkansas,Van Buren,424.211726104601,Count,5141,407
Arkansas,Washington,3469.46262252755,Count,5143,417
Arkansas,White,1502.98678430901,Count,5145,428
Arkansas,Woodruff,76.5687739210317,Count,5147,435
Arkansas,Yell,343.784264044492,Count,5149,438
California,Alameda,17476.3938146938,Count,6001,457
California,Alpine,101.613599297858,Count,6003,461
California,Amador,547.179142820408,Count,6005,472
California,Butte,9566.30836489987,Count,6007,486
California,Calaveras,621.453149604403,Count,6009,489
California,Colusa,355.907908813459,Count,6011,497
California,Contra Costa,31379.6463910812,Count,6013,503
California,Del Norte,1093.98488940363,Count,6015,511
California,El Dorado,6915.36424463894,Count,6017,522
California,Fresno,10177.5337948966,Count,6019,527
California,Glenn,460.571170603047,Count,6021,537
California,Humboldt,3300.57482598053,Count,6023,551
California,Imperial,2637.63196226199,Count,6025,557
California,Inyo,1521.84735522152,Count,6027,562
California,Kern,11291.315719564,Count,6029,84
California,Kings,1478.14250718024,Count,6031,94
California,Lake,2141.93153172207,Count,6033,100
California,Lassen,1238.21243465605,Count,6035,104
California,Los Angeles,78922.9187191433,Count,6037,139
California,Madera,2524.66578815715,Count,6039,153
California,Marin,7163.06504719614,Count,6041,168
California,Mariposa,427.133052169982,Count,6043,178
California,Mendocino,2233.4153549656,Count,6045,190
California,Merced,3205.23997701161,Count,6047,204
California,Modoc,806.490936556502,Count,6049,207
California,Mono,926.157549840439,Count,6051,214
California,Monterey,6277.49204834133,Count,6053,228
California,Napa,4145.02816028397,Count,6055,236
California,Nevada,4658.57111240676,Count,6057,243
California,Orange,32600.0076254998,Count,6059,257
California,Placer,8936.84479913513,Count,6061,266
California,Plumas,298.394942623639,Count,6063,275
California,Riverside,55162.1545424589,Count,6065,281
California,Sacramento,22339.2179289909,Count,6067,289
California,San Benito,1168.03569734358,Count,6069,295
California,San Bernardino,44771.8916334138,Count,6071,302
California,San Diego,59019.2899888954,Count,6073,315
California,San Francisco,2799.6303845819,Count,6075,331
California,San Joaquin,6375.01674135023,Count,6077,339
California,San Luis Obispo,7813.15605572197,Count,6079,351
California,San Mateo,12313.0454558472,Count,6081,368
California,Santa Barbara,9692.44145488001,Count,6083,391
California,Santa Clara,21459.3729405794,Count,6085,406
California,Santa Cruz,4886.97027339868,Count,6087,415
California,Shasta,7557.87091161731,Count,6089,431
California,Sierra,593.654476163172,Count,6091,439
California,Siskiyou,1861.67879971524,Count,6093,446
California,Solano,9682.55348889086,Count,6095,453
California,Sonoma,13099.9865339564,Count,6097,463
California,Stanislaus,6826.97992361263,Count,6099,473
California,Sutter,3923.26325433122,Count,6101,483
California,Tehama,1740.30023664309,Count,6103,492
California,Trinity,515.129198971041,Count,6105,500
California,Tulare,5958.18287310188,Count,6107,501
California,Tuolumne,2929.24001341731,Count,6109,513
California,Ventura,17112.9458567775,Count,6111,521
California,Yolo,2210.89546090208,Count,6113,525
California,Yuba,1179.93863676389,Count,6115,541
Colorado,Adams,5295.42049561842,Count,8001,545
Colorado,Alamosa,136.098765231467,Count,8003,549
Colorado,Arapahoe,10571.3340894017,Count,8005,558
Colorado,Archuleta,462.06072009268,Count,8007,560
Colorado,Baca,197.062493693896,Count,8009,563
Colorado,Bent,179.026329802403,Count,8011,564
Colorado,Boulder,4574.52478590602,Count,8013,570
Colorado,Broomfield,716.42150297968,Count,8014,577
Colorado,Chaffee,388.486461766672,Count,8015,582
Colorado,Cheyenne,106.37634310553,Count,8017,587
Colorado,Clear Creek,157.794027649839,Count,8019,591
Colorado,Conejos,86.9200902004488,Count,8021,596
Colorado,Costilla,806.999999804894,Count,8023,599
Colorado,Crowley,457.72196391101,Count,8025,605
Colorado,Custer,237.905461187805,Count,8027,610
Colorado,Delta,254.768023633781,Count,8029,617
Colorado,Denver,7588.1854908164,Count,8031,628
Colorado,Dolores,55.5383345301072,Count,8033,636
Colorado,Douglas,3747.08905115,Count,8035,644
Colorado,Eagle,430.638265930112,Count,8037,648
Colorado,Elbert,715.530259085289,Count,8039,655
Colorado,El Paso,19525.3551529928,Count,8041,661
Colorado,Fremont,2787.54987154698,Count,8043,664
Colorado,Garfield,695.816686974694,Count,8045,667
Colorado,Gilpin,0.0,Count,8047,672
Colorado,Grand,242.192574287373,Count,8049,677
Colorado,Gunnison,307.378174441269,Count,8051,682
Colorado,Hinsdale,146.99812731803,Count,8053,688
Colorado,Huerfano,595.716563857041,Count,8055,693
Colorado,Jackson,82.5915320156458,Count,8057,701
Colorado,Jefferson,14130.0620012842,Count,8059,706
Colorado,Kiowa,300.000001501191,Count,8061,711
Colorado,Kit Carson,370.056017959781,Count,8063,716
Colorado,Lake,477.45110249204,Count,8065,721
Colorado,La Plata,897.989576474424,Count,8067,727
Colorado,Larimer,9240.93875882055,Count,8069,734
Colorado,Las Animas,1126.45498283393,Count,8071,741
Colorado,Lincoln,277.742250576268,Count,8073,747
Colorado,Logan,717.149378714775,Count,8075,749
Colorado,Mesa,6452.30834906673,Count,8077,751
Colorado,Mineral,152.999998879761,Count,8079,757
Colorado,Moffat,365.077158679587,Count,8081,758
Colorado,Montezuma,530.180373760827,Count,8083,766
Colorado,Montrose,1296.56735625264,Count,8085,769
Colorado,Morgan,322.331473047804,Count,8087,775
Colorado,Otero,1116.91652418551,Count,8089,777
Colorado,Ouray,64.0598125995024,Count,8091,780
Colorado,Park,1181.32230233841,Count,8093,782
Colorado,Phillips,334.539248623026,Count,8095,785
Colorado,Pitkin,226.117682801846,Count,8097,789
Colorado,Prowers,606.116362799112,Count,8099,792
Colorado,Pueblo,10439.2775717669,Count,8101,795
Colorado,Rio Blanco,94.1091534826494,Count,8103,799
Colorado,Rio Grande,69.3039276820088,Count,8105,802
Colorado,Routt,463.170514914603,Count,8107,809
Colorado,Saguache,871.526083803127,Count,8109,811
Colorado,San Juan,85.9168649256018,Count,8111,347
Colorado,San Miguel,61.7018408402437,Count,8113,359
Colorado,Sedgwick,100.938926483716,Count,8115,366
Colorado,Summit,508.865366836602,Count,8117,373
Colorado,Teller,720.939576425186,Count,8119,375
Colorado,Washington,436.790894060183,Count,8121,377
Colorado,Weld,3901.07315267753,Count,8123,382
Colorado,Yuma,323.974487242166,Count,8125,385
Connecticut,Fairfield,39752.4068313262,Count,9001,410
Connecticut,Hartford,44357.9840173312,Count,9003,432
Connecticut,Litchfield,4255.43538993369,Count,9005,443
Connecticut,Middlesex,8900.1409608536,Count,9007,450
Connecticut,New Haven,40403.544477307,Count,9009,466
Connecticut,New London,12319.7869300141,Count,9011,517
Connecticut,Tolland,5097.01886727744,Count,9013,524
Connecticut,Windham,3059.13117657392,Count,9015,529
Delaware,Kent,4735.52695573977,Count,10001,532
Delaware,New Castle,20557.1672894121,Count,10003,536
Delaware,Sussex,7891.4987323933,Count,10005,609
District of Columbia,District of Columbia,2781.96783690478,Count,11001,630
Florida,Alachua,5850.62064524278,Count,12001,639
Florida,Baker,913.774928758315,Count,12003,641
Florida,Bay,8088.51467732806,Count,12005,658
Florida,Bradford,279.63589891824,Count,12007,665
Florida,Brevard,41614.9996643303,Count,12009,686
Florida,Broward,29022.7663518061,Count,12011,695
Florida,Calhoun,524.592959368642,Count,12013,699
Florida,Charlotte,22018.949021793,Count,12015,743
Florida,Citrus,13785.890321766,Count,12017,843
Florida,Clay,5273.60751616252,Count,12019,852
Florida,Collier,29461.2059617974,Count,12021,894
Florida,Columbia,1643.98058833927,Count,12023,903
Florida,DeSoto,506.316304843292,Count,12027,906
Florida,Dixie,302.33878019155,Count,12029,918
Florida,Duval,21975.3055127764,Count,12031,924
Florida,Escambia,16214.6326754744,Count,12033,931
Florida,Flagler,8236.16739012304,Count,12035,935
Florida,Franklin,92.9571544656011,Count,12037,937
Florida,Gadsden,597.191516916784,Count,12039,938
Florida,Gilchrist,29.2207983462722,Count,12041,939
Florida,Glades,768.28203149617,Count,12043,940
Florida,Gulf,503.37029612999,Count,12045,941
Florida,Hamilton,586.736712219517,Count,12047,942
Florida,Hardee,1155.85423394086,Count,12049,943
Florida,Hendry,749.658396742238,Count,12051,944
Florida,Hernando,15936.310789889,Count,12053,945
Florida,Highlands,11254.7690300759,Count,12055,946
Florida,Hillsborough,36102.851796174,Count,12057,947
Florida,Holmes,607.745101781866,Count,12059,948
Florida,Indian River,18383.2247527911,Count,12061,949
Florida,Jackson,539.085000609725,Count,12063,950
Florida,Jefferson,393.57204582832,Count,12065,951
Florida,Lafayette,124.159927450123,Count,12067,952
Florida,Lake,23737.384320681,Count,12069,953
Florida,Lee,40817.2483218379,Count,12071,954
Florida,Leon,8778.01347895904,Count,12073,955
Florida,Levy,859.928616230799,Count,12075,956
Florida,Liberty,270.710389113404,Count,12077,957
Florida,Madison,746.255715364287,Count,12079,958
Florida,Manatee,21417.0014846655,Count,12081,959
Florida,Marion,22299.9774885263,Count,12083,960
Florida,Martin,15160.0146373585,Count,12085,961
Florida,Miami-Dade,19513.7149515274,Count,12086,962
Florida,Monroe,4507.47935922946,Count,12087,963
Florida,Nassau,3222.11341183801,Count,12089,964
Florida,Okaloosa,8743.96306956159,Count,12091,965
Florida,Okeechobee,2544.53714828827,Count,12093,966
Florida,Orange,23014.3866356473,Count,12095,967
Florida,Osceola,5729.03139604935,Count,12097,968
Florida,Palm Beach,56074.3631621621,Count,12099,969
Florida,Pasco,21409.6967454659,Count,12101,970
Florida,Pinellas,31535.039037386,Count,12103,971
Florida,Polk,37363.0247605044,Count,12105,972
Florida,Putnam,3157.47496058575,Count,12107,973
Florida,St. Johns,8205.36148374115,Count,12109,974
Florida,St. Lucie,21929.5978706041,Count,12111,975
Florida,Santa Rosa,7644.81070219672,Count,12113,976
Florida,Sarasota,37225.1434608566,Count,12115,977
Florida,Seminole,15126.7299368321,Count,12117,978
Florida,Sumter,5782.97498401074,Count,12119,979
Florida,Suwannee,1930.48048378669,Count,12121,980
Florida,Taylor,1083.99358875882,Count,12123,981
Florida,Union,430.655026083806,Count,12125,982
Florida,Volusia,31981.6110014101,Count,12127,983
Florida,Wakulla,83.6936000058906,Count,12129,984
Florida,Walton,1501.99630202724,Count,12131,985
Florida,Washington,1529.17315627441,Count,12133,986
Georgia,Appling,552.44354521401,Count,13001,987
Georgia,Atkinson,242.791345139329,Count,13003,988
Georgia,Bacon,136.202070354048,Count,13005,989
Georgia,Baker,423.912883341205,Count,13007,990
Georgia,Baldwin,1138.10500842155,Count,13009,991
Georgia,Banks,204.271573295722,Count,13011,992
Georgia,Barrow,806.590095668604,Count,13013,993
Georgia,Bartow,3216.84576040406,Count,13015,994
Georgia,Ben Hill,564.634092477043,Count,13017,995
Georgia,Berrien,395.618966959279,Count,13019,996
Georgia,Bibb,4937.11044243656,Count,13021,997
Georgia,Bleckley,145.85801509359,Count,13023,998
Georgia,Brantley,314.9439202118,Count,13025,999
Georgia,Brooks,191.094076371187,Count,13027,565
Georgia,Bryan,400.039441472065,Count,13029,573
Georgia,Bulloch,778.638505672354,Count,13031,579
Georgia,Burke,301.525406434687,Count,13033,583
Georgia,Butts,72.8870043773786,Count,13035,588
Georgia,Calhoun,135.613515448707,Count,13037,592
Georgia,Camden,1507.49479496186,Count,13039,603
Georgia,Candler,89.8012556916572,Count,13043,616
Georgia,Carroll,2203.5300130475,Count,13045,620
Georgia,Catoosa,3439.51031211337,Count,13047,626
Georgia,Charlton,519.147432018773,Count,13049,635
Georgia,Chatham,7858.93445492186,Count,13051,646
Georgia,Chattahoochee,363.679200421018,Count,13053,656
Georgia,Chattooga,294.433978776156,Count,13055,659
Georgia,Cherokee,5255.14452305532,Count,13057,662
Georgia,Clarke,3145.28948355222,Count,13059,666
Georgia,Clay,12.5246308168802,Count,13061,670
Georgia,Clayton,7434.08936337556,Count,13063,673
Georgia,Clinch,79.906025836588,Count,13065,676
Georgia,Cobb,24818.7851834749,Count,13067,680
Georgia,Coffee,770.694481597251,Count,13069,684
Georgia,Colquitt,1337.58764044856,Count,13071,689
Georgia,Columbia,1949.56359964744,Count,13073,692
Georgia,Cook,267.335829995354,Count,13075,697
Georgia,Coweta,3651.96451317321,Count,13077,700
Georgia,Crawford,0.605527225595324,Count,13079,704
Georgia,Crisp,680.690219228949,Count,13081,707
Georgia,Dade,100.585341614948,Count,13083,708
Georgia,Dawson,0.0,Count,13085,713
Georgia,Decatur,555.427031277837,Count,13087,714
Georgia,DeKalb,15456.7154406495,Count,13089,718
Georgia,Dodge,55.3506881577514,Count,13091,720
Georgia,Dooly,515.59677308224,Count,13093,724
Georgia,Dougherty,4593.47907987967,Count,13095,728
Georgia,Douglas,3787.33669873291,Count,13097,731
Georgia,Early,161.007721124952,Count,13099,735
Georgia,Echols,25.0963193042016,Count,13101,737
Georgia,Effingham,652.175874531714,Count,13103,742
Georgia,Elbert,531.870093817448,Count,13105,746
Georgia,Emanuel,1017.75173313563,Count,13107,750
Georgia,Evans,61.1410435159924,Count,13109,754
Georgia,Fannin,8.30106844937932,Count,13111,755
Georgia,Fayette,5457.2591918143,Count,13113,760
Georgia,Floyd,3295.14474797684,Count,13115,764
Georgia,Forsyth,4313.66196758716,Count,13117,768
Georgia,Franklin,55.0199356322901,Count,13119,772
Georgia,Fulton,19566.7357390898,Count,13121,779
Georgia,Gilmer,199.913572711288,Count,13123,781
Georgia,Glascock,372.217490026884,Count,13125,783
Georgia,Glynn,3567.57998762064,Count,13127,793
Georgia,Gordon,851.934497744539,Count,13129,796
Georgia,Grady,421.036273982889,Count,13131,797
Georgia,Greene,93.2964142453602,Count,13133,800
Georgia,Gwinnett,18702.7591389597,Count,13135,804
Georgia,Habersham,1114.77011056741,Count,13137,806
Georgia,Hall,5488.37383327094,Count,13139,808
Georgia,Hancock,225.266316439977,Count,13141,810
Georgia,Haralson,131.052081486967,Count,13143,813
Georgia,Harris,30.6705644650247,Count,13145,814
Georgia,Hart,146.770743983041,Count,13147,816
Georgia,Heard,62.4785706739713,Count,13149,817
Georgia,Henry,6548.80120261745,Count,13151,820
Georgia,Houston,4918.50806595979,Count,13153,823
Georgia,Irwin,96.1796163531455,Count,13155,825
Georgia,Jackson,56.368768360815,Count,13157,828
Georgia,Jasper,105.787030044054,Count,13159,830
Georgia,Jeff Davis,247.911080337922,Count,13161,832
Georgia,Jefferson,42.9294796162517,Count,13163,834
Georgia,Jenkins,149.202442272394,Count,13165,835
Georgia,Johnson,393.845720113205,Count,13167,837
Georgia,Jones,209.215400105742,Count,13169,839
Georgia,Lamar,210.868204281796,Count,13171,841
Georgia,Lanier,32.7673195487229,Count,13173,845
Georgia,Laurens,751.458868186236,Count,13175,847
Georgia,Lee,404.154822253,Count,13177,849
Georgia,Liberty,893.518235377669,Count,13179,855
Georgia,Lincoln,124.41177116602,Count,13181,857
Georgia,Long,121.0207827595,Count,13183,860
Georgia,Lowndes,2255.92898942014,Count,13185,863
Georgia,Lumpkin,48.9550593355802,Count,13187,865
Georgia,McDuffie,228.805051729859,Count,13189,868
Georgia,McIntosh,239.859360500627,Count,13191,871
Georgia,Macon,183.497569932169,Count,13193,874
Georgia,Madison,125.775575342893,Count,13195,875
Georgia,Marion,1099.2781110225,Count,13197,877
Georgia,Meriwether,56.8522308499087,Count,13199,879
Georgia,Miller,45.3374211176237,Count,13201,881
Georgia,Mitchell,386.616172356811,Count,13205,883
Georgia,Monroe,322.511961908713,Count,13207,885
Georgia,Montgomery,187.921769478473,Count,13209,887
Georgia,Morgan,716.072391559044,Count,13211,890
Georgia,Murray,619.413121074776,Count,13213,892
Georgia,Muscogee,6753.05724330608,Count,13215,896
Georgia,Newton,2194.10996676083,Count,13217,899
Georgia,Oconee,1078.58964461919,Count,13219,901
Georgia,Oglethorpe,117.752581248657,Count,13221,905
Georgia,Paulding,2151.65232051192,Count,13223,908
Georgia,Peach,644.444156410933,Count,13225,910
Georgia,Pickens,245.671220461088,Count,13227,912
Georgia,Pierce,324.941206589185,Count,13229,915
Georgia,Pike,0.0,Count,13231,7
Georgia,Polk,690.518380157663,Count,13233,8
Georgia,Pulaski,236.672750931305,Count,13235,11
Georgia,Putnam,143.282328553973,Count,13237,13
Georgia,Quitman,188.201128860287,Count,13239,16
Georgia,Rabun,30.6655663286529,Count,13241,18
Georgia,Randolph,73.3867993940277,Count,13243,23
Georgia,Richmond,6810.22864930541,Count,13245,24
Georgia,Rockdale,3940.19850625567,Count,13247,28
Georgia,Schley,12.3962752824664,Count,13249,31
Georgia,Screven,454.698903818174,Count,13251,34
Georgia,Seminole,106.91732158619,Count,13253,38
Georgia,Spalding,1448.66552005868,Count,13255,41
Georgia,Stephens,409.800415070764,Count,13257,45
Georgia,Stewart,206.927235682448,Count,13259,48
Georgia,Sumter,1064.4324080363,Count,13261,52
Georgia,Talbot,57.479454027877,Count,13263,57
Georgia,Taliaferro,247.87847428936,Count,13265,60
Georgia,Tattnall,154.568049717536,Count,13267,63
Georgia,Taylor,69.0344615488758,Count,13269,69
Georgia,Telfair,223.770157022478,Count,13271,75
Georgia,Terrell,20.7947257369633,Count,13273,78
Georgia,Thomas,1795.83954693125,Count,13275,83
Georgia,Tift,542.131523625838,Count,13277,87
Georgia,Toombs,576.125159209082,Count,13279,91
Georgia,Towns,0.0,Count,13281,95
Georgia,Treutlen,96.0320841591165,Count,13283,102
Georgia,Troup,1188.08262098285,Count,13285,105
Georgia,Turner,109.780013445695,Count,13287,108
Georgia,Twiggs,20.778249779225,Count,13289,116
Georgia,Union,1.67563105165027,Count,13291,120
Georgia,Upson,836.58478222363,Count,13293,123
Georgia,Walker,2725.66942250162,Count,13295,126
Georgia,Walton,1520.74997349963,Count,13297,127
Georgia,Ware,2235.60931130974,Count,13299,132
Georgia,Warren,15.9258008283332,Count,13301,135
Georgia,Washington,757.497136532427,Count,13303,143
Georgia,Wayne,1122.45224149223,Count,13305,147
Georgia,Webster,4.5583562447176,Count,13307,149
Georgia,Wheeler,4.36114586339227,Count,13309,154
Georgia,White,0.0,Count,13311,157
Georgia,Whitfield,2579.64758455869,Count,13313,159
Georgia,Wilcox,11.7966495496839,Count,13315,163
Georgia,Wilkes,612.420922508022,Count,13317,167
Georgia,Wilkinson,380.880409818905,Count,13319,169
