State,County,Grocery stores per 1000 pop 2011 (GROCPTH11),Units,FIPS,FID
Colorado,Dolores,0.489236791,"# per 1,000 pop",8033,636
Colorado,Douglas,0.075247118,"# per 1,000 pop",8035,644
Colorado,Eagle,0.308332691,"# per 1,000 pop",8037,648
Colorado,Elbert,0.043163,"# per 1,000 pop",8039,655
Colorado,El Paso,0.087967879,"# per 1,000 pop",8041,661
Colorado,Fremont,0.12680968,"# per 1,000 pop",8043,664
Colorado,Garfield,0.125080409,"# per 1,000 pop",8045,667
Colorado,Gilpin,0.553709856,"# per 1,000 pop",8047,672
Colorado,Grand,0.412541254,"# per 1,000 pop",8049,677
Colorado,Gunnison,0.388500389,"# per 1,000 pop",8051,682
Colorado,Hinsdale,1.212121212,"# per 1,000 pop",8053,688
Colorado,Huerfano,0.460193281,"# per 1,000 pop",8055,693
Colorado,Jackson,0.736377025,"# per 1,000 pop",8057,701
Colorado,Jefferson,0.096219855,"# per 1,000 pop",8059,706
Colorado,Kiowa,1.397624039,"# per 1,000 pop",8061,711
Colorado,Kit Carson,0.367827366,"# per 1,000 pop",8063,716
Colorado,Lake,0.136332652,"# per 1,000 pop",8065,721
Colorado,La Plata,0.212478269,"# per 1,000 pop",8067,727
Colorado,Larimer,0.101630347,"# per 1,000 pop",8069,734
Colorado,Las Animas,0.266081288,"# per 1,000 pop",8071,741
Colorado,Lincoln,0.369208049,"# per 1,000 pop",8073,747
Colorado,Logan,0.135844956,"# per 1,000 pop",8075,749
Colorado,Mesa,0.115429534,"# per 1,000 pop",8077,751
Colorado,Mineral,2.812939522,"# per 1,000 pop",8079,757
Colorado,Moffat,0.149120191,"# per 1,000 pop",8081,758
Colorado,Montezuma,0.196363351,"# per 1,000 pop",8083,766
Colorado,Montrose,0.171044594,"# per 1,000 pop",8085,769
Colorado,Morgan,0.176081138,"# per 1,000 pop",8087,775
Colorado,Otero,0.212089077,"# per 1,000 pop",8089,777
Colorado,Ouray,0.906412871,"# per 1,000 pop",8091,780
Colorado,Park,0.249329926,"# per 1,000 pop",8093,782
Colorado,Phillips,0.457247371,"# per 1,000 pop",8095,785
Colorado,Pitkin,0.233290563,"# per 1,000 pop",8097,789
Colorado,Prowers,0.239693193,"# per 1,000 pop",8099,792
Colorado,Pueblo,0.118623221,"# per 1,000 pop",8101,795
Colorado,Rio Blanco,0.147688672,"# per 1,000 pop",8103,799
Colorado,Rio Grande,0.4199916,"# per 1,000 pop",8105,802
Colorado,Routt,0.344145229,"# per 1,000 pop",8107,809
Colorado,Saguache,0.323781771,"# per 1,000 pop",8109,811
Colorado,San Juan,0.0,"# per 1,000 pop",8111,347
Colorado,San Miguel,0.803320391,"# per 1,000 pop",8113,359
Colorado,Sedgwick,0.422654269,"# per 1,000 pop",8115,366
Colorado,Summit,0.357295984,"# per 1,000 pop",8117,373
Colorado,Teller,0.171210889,"# per 1,000 pop",8119,375
Colorado,Washington,0.209951711,"# per 1,000 pop",8121,377
Colorado,Weld,0.123777695,"# per 1,000 pop",8123,382
Colorado,Yuma,0.693206576,"# per 1,000 pop",8125,385
Connecticut,Fairfield,0.218420956,"# per 1,000 pop",9001,410
Connecticut,Hartford,0.238366278,"# per 1,000 pop",9003,432
Connecticut,Litchfield,0.21684402,"# per 1,000 pop",9005,443
Connecticut,Middlesex,0.216521818,"# per 1,000 pop",9007,450
Connecticut,New Haven,0.211627974,"# per 1,000 pop",9009,466
Connecticut,New London,0.18299869,"# per 1,000 pop",9011,517
Connecticut,Tolland,0.137198408,"# per 1,000 pop",9013,524
Connecticut,Windham,0.135139701,"# per 1,000 pop",9015,529
Delaware,Kent,0.115047624,"# per 1,000 pop",10001,532
Delaware,New Castle,0.158589074,"# per 1,000 pop",10003,536
Delaware,Sussex,0.234468928,"# per 1,000 pop",10005,609
District of Columbia,District of Columbia,0.280493152,"# per 1,000 pop",11001,630
Florida,Alachua,0.180121041,"# per 1,000 pop",12001,639
Florida,Baker,0.258856593,"# per 1,000 pop",12003,641
Florida,Bay,0.159272303,"# per 1,000 pop",12005,658
Florida,Bradford,0.105514913,"# per 1,000 pop",12007,665
Florida,Brevard,0.134082973,"# per 1,000 pop",12009,686
Florida,Broward,0.203614607,"# per 1,000 pop",12011,695
Florida,Calhoun,0.135924969,"# per 1,000 pop",12013,699
Florida,Charlotte,0.118838386,"# per 1,000 pop",12015,743
Florida,Citrus,0.128787608,"# per 1,000 pop",12017,843
Florida,Clay,0.13521244,"# per 1,000 pop",12019,852
Florida,Collier,0.180060854,"# per 1,000 pop",12021,894
Florida,Columbia,0.089141125,"# per 1,000 pop",12023,903
Florida,DeSoto,0.143702937,"# per 1,000 pop",12027,906
Florida,Dixie,0.243857831,"# per 1,000 pop",12029,918
Florida,Duval,0.215496243,"# per 1,000 pop",12031,924
Florida,Escambia,0.150317671,"# per 1,000 pop",12033,931
Florida,Flagler,0.153869826,"# per 1,000 pop",12035,935
Florida,Franklin,0.523149359,"# per 1,000 pop",12037,937
Florida,Gadsden,0.168936754,"# per 1,000 pop",12039,938
Florida,Gilchrist,0.176543283,"# per 1,000 pop",12041,939
Florida,Glades,0.077924102,"# per 1,000 pop",12043,940
Florida,Gulf,0.253807107,"# per 1,000 pop",12045,941
Florida,Hamilton,0.205606196,"# per 1,000 pop",12047,942
Florida,Hardee,0.433886539,"# per 1,000 pop",12049,943
Florida,Hendry,0.256798747,"# per 1,000 pop",12051,944
Florida,Hernando,0.144645791,"# per 1,000 pop",12053,945
Florida,Highlands,0.203146743,"# per 1,000 pop",12055,946
Florida,Hillsborough,0.219470926,"# per 1,000 pop",12057,947
Florida,Holmes,0.201623066,"# per 1,000 pop",12059,948
Florida,Indian River,0.186934702,"# per 1,000 pop",12061,949
Florida,Jackson,0.162654522,"# per 1,000 pop",12063,950
Florida,Jefferson,0.206625801,"# per 1,000 pop",12065,951
Florida,Lafayette,0.113636364,"# per 1,000 pop",12067,952
Florida,Lake,0.156400265,"# per 1,000 pop",12069,953
Florida,Lee,0.182228159,"# per 1,000 pop",12071,954
Florida,Leon,0.15088971,"# per 1,000 pop",12073,955
Florida,Levy,0.199232953,"# per 1,000 pop",12075,956
Florida,Liberty,0.242101441,"# per 1,000 pop",12077,957
Florida,Madison,0.156854544,"# per 1,000 pop",12079,958
Florida,Manatee,0.174022953,"# per 1,000 pop",12081,959
Florida,Marion,0.165509604,"# per 1,000 pop",12083,960
Florida,Martin,0.196110255,"# per 1,000 pop",12085,961
Florida,Miami-Dade,0.235268315,"# per 1,000 pop",12086,962
Florida,Monroe,0.36495857,"# per 1,000 pop",12087,963
Florida,Nassau,0.175329755,"# per 1,000 pop",12089,964
Florida,Okaloosa,0.14201442,"# per 1,000 pop",12091,965
Florida,Okeechobee,0.250915843,"# per 1,000 pop",12093,966
Florida,Orange,0.193036177,"# per 1,000 pop",12095,967
Florida,Osceola,0.200909114,"# per 1,000 pop",12097,968
Florida,Palm Beach,0.175758097,"# per 1,000 pop",12099,969
Florida,Pasco,0.156483788,"# per 1,000 pop",12101,970
Florida,Pinellas,0.202489753,"# per 1,000 pop",12103,971
Florida,Polk,0.177071242,"# per 1,000 pop",12105,972
Florida,Putnam,0.162965981,"# per 1,000 pop",12107,973
Florida,St. Johns,0.158099542,"# per 1,000 pop",12109,974
Florida,St. Lucie,0.13547865,"# per 1,000 pop",12111,975
Florida,Santa Rosa,0.09632241,"# per 1,000 pop",12113,976
Florida,Sarasota,0.209279998,"# per 1,000 pop",12115,977
Florida,Seminole,0.168849595,"# per 1,000 pop",12117,978
Florida,Sumter,0.132685556,"# per 1,000 pop",12119,979
Florida,Suwannee,0.138395534,"# per 1,000 pop",12121,980
Florida,Taylor,0.132438637,"# per 1,000 pop",12123,981
Florida,Union,0.0,"# per 1,000 pop",12125,982
Florida,Volusia,0.151674793,"# per 1,000 pop",12127,983
Florida,Wakulla,0.064576539,"# per 1,000 pop",12129,984
Florida,Walton,0.161905447,"# per 1,000 pop",12131,985
Florida,Washington,0.122414004,"# per 1,000 pop",12133,986
Georgia,Appling,0.108289566,"# per 1,000 pop",13001,987
Georgia,Atkinson,0.477726024,"# per 1,000 pop",13003,988
Georgia,Bacon,0.268769038,"# per 1,000 pop",13005,989
Georgia,Baker,0.301568154,"# per 1,000 pop",13007,990
Georgia,Baldwin,0.243648526,"# per 1,000 pop",13009,991
Georgia,Banks,0.0547435,"# per 1,000 pop",13011,992
Georgia,Barrow,0.171688557,"# per 1,000 pop",13013,993
Georgia,Bartow,0.099787453,"# per 1,000 pop",13015,994
Georgia,Ben Hill,0.284689404,"# per 1,000 pop",13017,995
Georgia,Berrien,0.206387699,"# per 1,000 pop",13019,996
Georgia,Bibb,0.236851539,"# per 1,000 pop",13021,997
Georgia,Bleckley,0.305810398,"# per 1,000 pop",13023,998
Georgia,Brantley,0.21574973,"# per 1,000 pop",13025,999
Georgia,Brooks,0.312617231,"# per 1,000 pop",13027,565
Georgia,Bryan,0.223849573,"# per 1,000 pop",13029,573
Georgia,Bulloch,0.110060946,"# per 1,000 pop",13031,579
Georgia,Burke,0.127648711,"# per 1,000 pop",13033,583
Georgia,Butts,0.127253446,"# per 1,000 pop",13035,588
Georgia,Calhoun,0.150943396,"# per 1,000 pop",13037,592
Georgia,Camden,0.119265326,"# per 1,000 pop",13039,603
Georgia,Candler,0.178443969,"# per 1,000 pop",13043,616
Georgia,Carroll,0.189602557,"# per 1,000 pop",13045,620
Georgia,Catoosa,0.123533045,"# per 1,000 pop",13047,626
Georgia,Charlton,0.29713267,"# per 1,000 pop",13049,635
Georgia,Chatham,0.176554971,"# per 1,000 pop",13051,646
Georgia,Chattahoochee,0.088786291,"# per 1,000 pop",13053,656
Georgia,Chattooga,0.272617518,"# per 1,000 pop",13055,659
Georgia,Cherokee,0.160683133,"# per 1,000 pop",13057,662
Georgia,Clarke,0.160428259,"# per 1,000 pop",13059,666
Georgia,Clay,0.633111744,"# per 1,000 pop",13061,670
Georgia,Clayton,0.182954719,"# per 1,000 pop",13063,673
Georgia,Clinch,0.297044408,"# per 1,000 pop",13065,676
Georgia,Cobb,0.162022732,"# per 1,000 pop",13067,680
Georgia,Coffee,0.209146682,"# per 1,000 pop",13069,684
Georgia,Colquitt,0.261711594,"# per 1,000 pop",13071,689
Georgia,Columbia,0.139627969,"# per 1,000 pop",13073,692
Georgia,Cook,0.352009387,"# per 1,000 pop",13075,697
Georgia,Coweta,0.154567867,"# per 1,000 pop",13077,700
Georgia,Crawford,0.079270709,"# per 1,000 pop",13079,704
Georgia,Crisp,0.462943479,"# per 1,000 pop",13081,707
Georgia,Dade,0.301404545,"# per 1,000 pop",13083,708
Georgia,Dawson,0.17942852,"# per 1,000 pop",13085,713
Georgia,Decatur,0.289257692,"# per 1,000 pop",13087,714
Georgia,DeKalb,0.192944243,"# per 1,000 pop",13089,718
Georgia,Dodge,0.370181852,"# per 1,000 pop",13091,720
Georgia,Dooly,0.068493151,"# per 1,000 pop",13093,724
Georgia,Dougherty,0.241947361,"# per 1,000 pop",13095,728
Georgia,Douglas,0.112593171,"# per 1,000 pop",13097,731
