State,County,WIC redemptions per capita (% change) 2011-16 (PCH_PC_WIC_REDEMP_11_16),Units,FIPS,FID
Florida,Osceola,-10.388676643371582,% change,12097,968
Florida,Palm Beach,8.071868896484375,% change,12099,969
Florida,Pasco,4.416822910308838,% change,12101,970
Florida,Pinellas,-14.728668212890625,% change,12103,971
Florida,Polk,2.9009532928466797,% change,12105,972
Florida,Putnam,2.0183935165405273,% change,12107,973
Florida,St. Johns,-24.757598876953125,% change,12109,974
Florida,St. Lucie,-8.686561584472656,% change,12111,975
Florida,Santa Rosa,0.37280717492103577,% change,12113,976
Florida,Sarasota,-11.727716445922852,% change,12115,977
Florida,Seminole,1.0242910385131836,% change,12117,978
Florida,Sumter,-9.284241676330566,% change,12119,979
Florida,Suwannee,-4.684932231903076,% change,12121,980
Florida,Taylor,2.5392849445343018,% change,12123,981
Florida,Union,nan,% change,12125,982
Florida,Volusia,3.94671630859375,% change,12127,983
Florida,Wakulla,nan,% change,12129,984
Florida,Walton,-6.002316951751709,% change,12131,985
Florida,Washington,4.341019630432129,% change,12133,986
Georgia,Appling,-8.399245262145996,% change,13001,987
Georgia,Atkinson,nan,% change,13003,988
Georgia,Bacon,-19.80088233947754,% change,13005,989
Georgia,Baker,nan,% change,13007,990
Georgia,Baldwin,-18.907211303710938,% change,13009,991
Georgia,Banks,nan,% change,13011,992
Georgia,Barrow,-20.29168701171875,% change,13013,993
Georgia,Bartow,-9.83425521850586,% change,13015,994
Georgia,Ben Hill,-21.784595489501953,% change,13017,995
Georgia,Berrien,nan,% change,13019,996
Georgia,Bibb,-28.931459426879883,% change,13021,997
Georgia,Bleckley,nan,% change,13023,998
Georgia,Brantley,nan,% change,13025,999
Georgia,Brooks,nan,% change,13027,565
Georgia,Bryan,-7.146424770355225,% change,13029,573
Georgia,Bulloch,-7.077206611633301,% change,13031,579
Georgia,Burke,-6.262679576873779,% change,13033,583
Georgia,Butts,nan,% change,13035,588
Georgia,Calhoun,nan,% change,13037,592
Georgia,Camden,-25.642545700073242,% change,13039,603
Georgia,Candler,nan,% change,13043,616
Georgia,Carroll,-29.652347564697266,% change,13045,620
Georgia,Catoosa,-29.65454864501953,% change,13047,626
Georgia,Charlton,nan,% change,13049,635
Georgia,Chatham,-19.950546264648438,% change,13051,646
Georgia,Chattahoochee,nan,% change,13053,656
Georgia,Chattooga,-9.18002986907959,% change,13055,659
Georgia,Cherokee,-59.290069580078125,% change,13057,662
Georgia,Clarke,-36.17692565917969,% change,13059,666
Georgia,Clay,nan,% change,13061,670
Georgia,Clayton,-71.98993682861328,% change,13063,673
Georgia,Clinch,nan,% change,13065,676
Georgia,Cobb,-46.71706771850586,% change,13067,680
Georgia,Coffee,-39.55683517456055,% change,13069,684
Georgia,Colquitt,-25.437406539916992,% change,13071,689
Georgia,Columbia,-28.873022079467773,% change,13073,692
Georgia,Cook,-17.071788787841797,% change,13075,697
Georgia,Coweta,-26.443702697753906,% change,13077,700
Georgia,Crawford,nan,% change,13079,704
Georgia,Crisp,-10.279120445251465,% change,13081,707
Georgia,Dade,-14.042404174804688,% change,13083,708
Georgia,Dawson,nan,% change,13085,713
Georgia,Decatur,-11.045037269592285,% change,13087,714
Georgia,DeKalb,-51.310184478759766,% change,13089,718
Georgia,Dodge,-10.207103729248047,% change,13091,720
Georgia,Dooly,nan,% change,13093,724
Georgia,Dougherty,-15.688125610351562,% change,13095,728
Georgia,Douglas,-20.177671432495117,% change,13097,731
Georgia,Early,-15.241310119628906,% change,13099,735
Georgia,Echols,nan,% change,13101,737
Georgia,Effingham,-12.340934753417969,% change,13103,742
Georgia,Elbert,-33.60358810424805,% change,13105,746
Georgia,Emanuel,nan,% change,13107,750
Georgia,Evans,nan,% change,13109,754
Georgia,Fannin,-9.422392845153809,% change,13111,755
Georgia,Fayette,-5.561858654022217,% change,13113,760
Georgia,Floyd,-26.13978385925293,% change,13115,764
Georgia,Forsyth,-36.08210372924805,% change,13117,768
Georgia,Franklin,-21.68410301208496,% change,13119,772
Georgia,Fulton,-40.518211364746094,% change,13121,779
Georgia,Gilmer,-20.817155838012695,% change,13123,781
Georgia,Glascock,nan,% change,13125,783
Georgia,Glynn,-13.44454288482666,% change,13127,793
Georgia,Gordon,-21.054401397705078,% change,13129,796
Georgia,Grady,-20.26337242126465,% change,13131,797
Georgia,Greene,nan,% change,13133,800
Georgia,Gwinnett,-27.95214080810547,% change,13135,804
Georgia,Habersham,10.609086990356445,% change,13137,806
Georgia,Hall,-34.59162902832031,% change,13139,808
Georgia,Hancock,nan,% change,13141,810
Georgia,Haralson,4.3506951332092285,% change,13143,813
Georgia,Harris,nan,% change,13145,814
Georgia,Hart,-8.5830717086792,% change,13147,816
Georgia,Heard,nan,% change,13149,817
Georgia,Henry,-23.239042282104492,% change,13151,820
Georgia,Houston,-6.200552940368652,% change,13153,823
Georgia,Irwin,nan,% change,13155,825
Georgia,Jackson,-14.318381309509277,% change,13157,828
Georgia,Jasper,nan,% change,13159,830
Georgia,Jeff Davis,-18.553014755249023,% change,13161,832
Georgia,Jefferson,-1.6164300441741943,% change,13163,834
Georgia,Jenkins,nan,% change,13165,835
Georgia,Johnson,nan,% change,13167,837
Georgia,Jones,nan,% change,13169,839
Georgia,Lamar,nan,% change,13171,841
Georgia,Lanier,nan,% change,13173,845
Georgia,Laurens,-12.220248222351074,% change,13175,847
Georgia,Lee,-10.79726791381836,% change,13177,849
Georgia,Liberty,5.261393070220947,% change,13179,855
Georgia,Lincoln,nan,% change,13181,857
Georgia,Long,nan,% change,13183,860
Georgia,Lowndes,-11.0435791015625,% change,13185,863
Georgia,Lumpkin,-27.769287109375,% change,13187,865
Georgia,McDuffie,-20.754465103149414,% change,13189,868
Georgia,McIntosh,nan,% change,13191,871
Georgia,Macon,-20.638519287109375,% change,13193,874
Georgia,Madison,nan,% change,13195,875
Georgia,Marion,nan,% change,13197,877
Georgia,Meriwether,nan,% change,13199,879
Georgia,Miller,nan,% change,13201,881
Georgia,Mitchell,-9.712196350097656,% change,13205,883
Georgia,Monroe,-13.663260459899902,% change,13207,885
Georgia,Montgomery,nan,% change,13209,887
Georgia,Morgan,nan,% change,13211,890
Georgia,Murray,-19.077220916748047,% change,13213,892
Georgia,Muscogee,-8.027397155761719,% change,13215,896
Georgia,Newton,-29.14276123046875,% change,13217,899
Georgia,Oconee,-19.499046325683594,% change,13219,901
Georgia,Oglethorpe,nan,% change,13221,905
Georgia,Paulding,-34.68421936035156,% change,13223,908
Georgia,Peach,4.947774887084961,% change,13225,910
Georgia,Pickens,-27.12444496154785,% change,13227,912
Georgia,Pierce,nan,% change,13229,915
Georgia,Pike,nan,% change,13231,7
Georgia,Polk,-21.752134323120117,% change,13233,8
Georgia,Pulaski,nan,% change,13235,11
Georgia,Putnam,-31.560152053833008,% change,13237,13
Georgia,Quitman,nan,% change,13239,16
Georgia,Rabun,-13.752500534057617,% change,13241,18
Georgia,Randolph,nan,% change,13243,23
Georgia,Richmond,-22.932445526123047,% change,13245,24
Georgia,Rockdale,-58.462364196777344,% change,13247,28
Georgia,Schley,nan,% change,13249,31
Georgia,Screven,nan,% change,13251,34
Georgia,Seminole,nan,% change,13253,38
Georgia,Spalding,-22.50540542602539,% change,13255,41
Georgia,Stephens,-0.17012155055999756,% change,13257,45
Georgia,Stewart,nan,% change,13259,48
Georgia,Sumter,-12.713706970214844,% change,13261,52
Georgia,Talbot,nan,% change,13263,57
Georgia,Taliaferro,nan,% change,13265,60
Georgia,Tattnall,nan,% change,13267,63
Georgia,Taylor,nan,% change,13269,69
Georgia,Telfair,-8.829482078552246,% change,13271,75
Georgia,Terrell,nan,% change,13273,78
Georgia,Thomas,-23.263347625732422,% change,13275,83
Georgia,Tift,-8.5963773727417,% change,13277,87
Georgia,Toombs,-14.368147850036621,% change,13279,91
Georgia,Towns,nan,% change,13281,95
Georgia,Treutlen,nan,% change,13283,102
Georgia,Troup,-14.749500274658203,% change,13285,105
Georgia,Turner,nan,% change,13287,108
Georgia,Twiggs,nan,% change,13289,116
Georgia,Union,-23.30611801147461,% change,13291,120
Georgia,Upson,nan,% change,13293,123
Georgia,Walker,-33.25285720825195,% change,13295,126
Georgia,Walton,9.714486122131348,% change,13297,127
Georgia,Ware,-13.56168270111084,% change,13299,132
Georgia,Warren,nan,% change,13301,135
Georgia,Washington,-21.79860496520996,% change,13303,143
Georgia,Wayne,nan,% change,13305,147
Georgia,Webster,nan,% change,13307,149
Georgia,Wheeler,nan,% change,13309,154
Georgia,White,-20.884891510009766,% change,13311,157
Georgia,Whitfield,-31.98834228515625,% change,13313,159
Georgia,Wilcox,nan,% change,13315,163
Georgia,Wilkes,nan,% change,13317,167
Georgia,Wilkinson,nan,% change,13319,169
Georgia,Worth,nan,% change,13321,173
Hawaii,Hawaii,-30.71125602722168,% change,15001,198
Hawaii,Honolulu,-25.464351654052734,% change,15003,234
Hawaii,Kalawao,nan,% change,15005,247
Hawaii,Kauai,-38.00823974609375,% change,15007,261
Hawaii,Maui,-29.1676025390625,% change,15009,323
Idaho,Ada,-13.894523620605469,% change,16001,336
Idaho,Adams,nan,% change,16003,338
Idaho,Bannock,-13.091322898864746,% change,16005,343
Idaho,Bear Lake,nan,% change,16007,349
Idaho,Benewah,-12.036449432373047,% change,16009,354
Idaho,Bingham,-11.518454551696777,% change,16011,362
Idaho,Blaine,nan,% change,16013,371
Idaho,Boise,nan,% change,16015,380
Idaho,Bonner,-16.321552276611328,% change,16017,387
