State,County,Grocery stores per 1000 pop (% change) 2011-16 (PCH_GROCPTH_11_16),Units,FIPS,FID
Colorado,Saguache,141.025440924,% change,8109,811
Colorado,San Juan,0,% change,8111,347
Colorado,San Miguel,-6.215469613,% change,8113,359
Colorado,Sedgwick,-1.621621622,% change,8115,366
Colorado,Summit,-7.727812212,% change,8117,373
Colorado,Teller,-2.816139767,% change,8119,375
Colorado,Washington,-1.712752786,% change,8121,377
Colorado,Weld,-12.137926816,% change,8123,382
Colorado,Yuma,-42.970095728,% change,8125,385
Connecticut,Fairfield,0.326443925,% change,9001,410
Connecticut,Hartford,20.867838659,% change,9003,432
Connecticut,Litchfield,10.821493126,% change,9005,443
Connecticut,Middlesex,-12.396738181,% change,9007,450
Connecticut,New Haven,13.739798503,% change,9009,466
Connecticut,New London,-20.864931101,% change,9011,517
Connecticut,Tolland,-22.842681815,% change,9013,524
Connecticut,Windham,53.042863791,% change,9015,529
Delaware,Kent,39.268613985,% change,10001,532
Delaware,New Castle,9.642834944,% change,10003,536
Delaware,Sussex,-8.92350052,% change,10005,609
District of Columbia,District of Columbia,-3.100553953,% change,11001,630
Florida,Alachua,-9.689243986,% change,12001,639
Florida,Baker,-16.96630076,% change,12003,641
Florida,Bay,-0.499414668,% change,12005,658
Florida,Bradford,6.375336726,% change,12007,665
Florida,Brevard,3.243902386,% change,12009,686
Florida,Broward,-4.958073974,% change,12011,695
Florida,Calhoun,2.458046097,% change,12013,699
Florida,Charlotte,-0.811880001,% change,12015,743
Florida,Citrus,-2.255402476,% change,12017,843
Florida,Clay,-25.057347111,% change,12019,852
Florida,Collier,-7.462719804,% change,12021,894
Florida,Columbia,13.357344266,% change,12023,903
Florida,DeSoto,-3.14822547,% change,12027,906
Florida,Dixie,-25.336833161,% change,12029,918
Florida,Duval,-12.839367191,% change,12031,924
Florida,Escambia,-1.826185865,% change,12033,931
Florida,Flagler,-21.629794536,% change,12035,935
Florida,Franklin,-18.997372659,% change,12037,937
Florida,Gadsden,-10.225056874,% change,12039,938
Florida,Gilchrist,-1.260894829,% change,12041,939
Florida,Glades,-4.658246657,% change,12043,940
Florida,Gulf,-2.111801242,% change,12045,941
Florida,Hamilton,-32.090663688,% change,12047,942
Florida,Hardee,-24.216323846,% change,12049,943
Florida,Hendry,-1.763370333,% change,12051,944
Florida,Hernando,-16.536879016,% change,12053,945
Florida,Highlands,-46.682634554,% change,12055,946
Florida,Hillsborough,-7.659924698,% change,12057,947
Florida,Holmes,2.226000928,% change,12059,948
Florida,Indian River,-4.588747976,% change,12061,949
Florida,Jackson,-10.883790276,% change,12063,950
Florida,Jefferson,4.205842245,% change,12065,951
Florida,Lafayette,1.687081119,% change,12067,952
Florida,Lake,-29.472085358,% change,12069,953
Florida,Lee,-17.971114788,% change,12071,954
Florida,Leon,-14.582228176,% change,12073,955
Florida,Levy,25.950415297,% change,12075,956
Florida,Liberty,48.954201226,% change,12077,957
Florida,Madison,39.305874212,% change,12079,958
Florida,Manatee,-17.376340391,% change,12081,959
Florida,Marion,-2.812110837,% change,12083,960
Florida,Martin,9.393921196,% change,12085,961
Florida,Miami-Dade,0.0276692,% change,12086,962
Florida,Monroe,-4.298613267,% change,12087,963
Florida,Nassau,-28.636189516,% change,12089,964
Florida,Okaloosa,-15.465611346,% change,12091,965
Florida,Okeechobee,-11.864265179,% change,12093,966
Florida,Orange,-13.895099315,% change,12095,967
Florida,Osceola,-19.004815231,% change,12097,968
Florida,Palm Beach,3.322160801,% change,12099,969
Florida,Pasco,-21.146030261,% change,12101,970
Florida,Pinellas,2.147349624,% change,12103,971
Florida,Polk,-26.339668994,% change,12105,972
Florida,Putnam,1.70018231,% change,12107,973
Florida,St. Johns,-27.34252705,% change,12109,974
Florida,St. Lucie,6.108037811,% change,12111,975
Florida,Santa Rosa,-14.53449604,% change,12113,976
Florida,Sarasota,3.000537082,% change,12115,977
Florida,Seminole,-16.935365657,% change,12117,978
Florida,Sumter,-25.942807039,% change,12119,979
Florida,Suwannee,15.386487206,% change,12121,980
Florida,Taylor,2.414323176,% change,12123,981
Florida,Union,0,% change,12125,982
Florida,Volusia,-15.256063522,% change,12127,983
Florida,Wakulla,45.700172495,% change,12129,984
Florida,Walton,-15.055012225,% change,12131,985
Florida,Washington,-66.588957055,% change,12133,986
Georgia,Appling,-0.086556668,% change,13001,987
Georgia,Atkinson,-49.681490385,% change,13003,988
Georgia,Bacon,-34.524123772,% change,13005,989
Georgia,Baker,3.366583541,% change,13007,990
Georgia,Baldwin,-36.424188779,% change,13009,991
Georgia,Banks,-0.229395379,% change,13011,992
Georgia,Barrow,5.77499319,% change,13013,993
Georgia,Bartow,55.02199534,% change,13015,994
Georgia,Ben Hill,-59.132053519,% change,13017,995
Georgia,Berrien,52.89523509,% change,13019,996
Georgia,Bibb,7.476980587,% change,13021,997
Georgia,Bleckley,-49.294464258,% change,13023,998
Georgia,Brantley,-49.496050123,% change,13025,999
Georgia,Brooks,-38.849168419,% change,13027,565
Georgia,Bryan,-12.753194576,% change,13029,573
Georgia,Bulloch,21.597342113,% change,13031,579
Georgia,Burke,38.605803255,% change,13033,583
Georgia,Butts,-33.712920006,% change,13035,588
Georgia,Calhoun,3.628969185,% change,13037,592
Georgia,Camden,-20.018060643,% change,13039,603
Georgia,Candler,105.368758589,% change,13043,616
Georgia,Carroll,17.918800579,% change,13045,620
Georgia,Catoosa,-14.489866751,% change,13047,626
Georgia,Charlton,-47.211983374,% change,13049,635
Georgia,Chatham,1.774710022,% change,13051,646
Georgia,Chattahoochee,11.514851485,% change,13053,656
Georgia,Chattooga,-11.372539996,% change,13055,659
Georgia,Cherokee,-12.418637654,% change,13057,662
Georgia,Clarke,14.676497111,% change,13059,666
Georgia,Clay,5.089820359,% change,13061,670
Georgia,Clayton,-0.445883303,% change,13063,673
Georgia,Clinch,-0.82486375,% change,13065,676
Georgia,Cobb,-11.180071775,% change,13067,680
Georgia,Coffee,-11.075981247,% change,13069,684
Georgia,Colquitt,17.129031552,% change,13071,689
Georgia,Columbia,6.856891819,% change,13073,692
Georgia,Cook,-33.884137236,% change,13075,697
Georgia,Coweta,-3.281330087,% change,13077,700
Georgia,Crawford,-100.0,% change,13079,704
Georgia,Crisp,31.85643221,% change,13081,707
Georgia,Dade,-38.71813816,% change,13083,708
Georgia,Dawson,-5.590141024,% change,13085,713
Georgia,Decatur,-22.355418304,% change,13087,714
Georgia,DeKalb,5.504607743,% change,13089,718
Georgia,Dodge,-35.1784086,% change,13091,720
Georgia,Dooly,-100.0,% change,13093,724
Georgia,Dougherty,-26.843202659,% change,13095,728
Georgia,Douglas,-6.194858507,% change,13097,731
Georgia,Early,39.625817311,% change,13099,735
Georgia,Echols,0.0,% change,13101,737
Georgia,Effingham,-9.999487644,% change,13103,742
Georgia,Elbert,-13.706489753,% change,13105,746
Georgia,Emanuel,-39.767005892,% change,13107,750
Georgia,Evans,208.942632171,% change,13109,754
Georgia,Fannin,-33.792565324,% change,13111,755
Georgia,Fayette,8.418578312,% change,13113,760
Georgia,Floyd,-15.351014283,% change,13115,764
Georgia,Forsyth,-6.942771974,% change,13117,768
Georgia,Franklin,-34.334558714,% change,13119,772
Georgia,Fulton,-5.435416602,% change,13121,779
Georgia,Gilmer,88.645822928,% change,13123,781
Georgia,Glascock,0.0,% change,13125,783
Georgia,Glynn,-5.141491577,% change,13127,793
Georgia,Gordon,-17.596995806,% change,13129,796
Georgia,Grady,68.19320023,% change,13131,797
Georgia,Greene,89.857724777,% change,13133,800
Georgia,Gwinnett,-9.765171971,% change,13135,804
Georgia,Habersham,36.479163366,% change,13137,806
Georgia,Hall,-4.282231959,% change,13139,808
Georgia,Hancock,117.072888992,% change,13141,810
Georgia,Haralson,-21.018277668,% change,13143,813
Georgia,Harris,-45.073708455,% change,13145,814
Georgia,Hart,-0.457961484,% change,13147,816
Georgia,Heard,-49.347675825,% change,13149,817
Georgia,Henry,-6.448916898,% change,13151,820
Georgia,Houston,-35.361021549,% change,13153,823
Georgia,Irwin,3.611496955,% change,13155,825
Georgia,Jackson,47.464416528,% change,13157,828
Georgia,Jasper,0.12300123,% change,13159,830
Georgia,Jeff Davis,-18.995323981,% change,13161,832
Georgia,Jefferson,-24.087914872,% change,13163,834
Georgia,Jenkins,-7.331812999,% change,13165,835
Georgia,Johnson,2.867420349,% change,13167,837
Georgia,Jones,0.633908871,% change,13169,839
Georgia,Lamar,-1.683811586,% change,13171,841
Georgia,Lanier,100.440022958,% change,13173,845
Georgia,Laurens,-35.484442664,% change,13175,847
Georgia,Lee,-21.77625727,% change,13177,849
Georgia,Liberty,6.025411305,% change,13179,855
Georgia,Lincoln,0.089013225,% change,13181,857
Georgia,Long,-59.105087663,% change,13183,860
Georgia,Lowndes,-19.668670576,% change,13185,863
Georgia,Lumpkin,190.265795483,% change,13187,865
Georgia,McDuffie,-49.634134974,% change,13189,868
Georgia,McIntosh,-49.463473565,% change,13191,871
Georgia,Macon,-28.688362919,% change,13193,874
Georgia,Madison,-51.217608492,% change,13195,875
Georgia,Marion,207.08494889,% change,13197,877
Georgia,Meriwether,53.808371298,% change,13199,879
Georgia,Miller,-48.342118687,% change,13201,881
Georgia,Mitchell,-18.786409452,% change,13205,883
Georgia,Monroe,-41.198705309,% change,13207,885
Georgia,Montgomery,0.567739063,% change,13209,887
Georgia,Morgan,-75.300756029,% change,13211,890
Georgia,Murray,-37.446033117,% change,13213,892
Georgia,Muscogee,-0.496671031,% change,13215,896
Georgia,Newton,-21.439294427,% change,13217,899
Georgia,Oconee,-27.851136549,% change,13219,901
Georgia,Oglethorpe,-0.054385,% change,13221,905
Georgia,Paulding,-7.581706077,% change,13223,908
Georgia,Peach,2.936912153,% change,13225,910
Georgia,Pickens,-4.179833849,% change,13227,912
Georgia,Pierce,-26.71323759,% change,13229,915
Georgia,Pike,-66.932619167,% change,13231,7
Georgia,Polk,64.969246745,% change,13233,8
Georgia,Pulaski,4.731582206,% change,13235,11
Georgia,Putnam,48.106552812,% change,13237,13
Georgia,Quitman,0,% change,13239,16
Georgia,Rabun,-1.560987415,% change,13241,18
Georgia,Randolph,4.692041522,% change,13243,23
Georgia,Richmond,5.027989573,% change,13245,24
Georgia,Rockdale,-22.554725275,% change,13247,28
Georgia,Schley,-2.248933695,% change,13249,31
Georgia,Screven,2.651083238,% change,13251,34
Georgia,Seminole,3.789224393,% change,13253,38
Georgia,Spalding,-14.99211058,% change,13255,41
Georgia,Stephens,50.291556523,% change,13257,45
Georgia,Stewart,0,% change,13259,48
Georgia,Sumter,-20.732992917,% change,13261,52
Georgia,Talbot,7.398079647,% change,13263,57
Georgia,Taliaferro,0.0,% change,13265,60
Georgia,Tattnall,-49.669712432,% change,13267,63
Georgia,Taylor,-65.707200065,% change,13269,69
Georgia,Telfair,35.262567045,% change,13271,75
Georgia,Terrell,58.488973897,% change,13273,78
Georgia,Thomas,-13.445054336,% change,13275,83
Georgia,Tift,15.829204006,% change,13277,87
Georgia,Toombs,-24.944842802,% change,13279,91
Georgia,Towns,39.809674861,% change,13281,95
Georgia,Treutlen,102.854169764,% change,13283,102
Georgia,Troup,-15.990120767,% change,13285,105
Georgia,Turner,12.104867035,% change,13287,108
Georgia,Twiggs,0.0,% change,13289,116
Georgia,Union,-24.970873786,% change,13291,120
Georgia,Upson,-22.954259337,% change,13293,123
Georgia,Walker,-24.464332758,% change,13295,126
Georgia,Walton,5.835909955,% change,13297,127
Georgia,Ware,-13.03986711,% change,13299,132
Georgia,Warren,5.481233742,% change,13301,135
Georgia,Washington,-31.26874109,% change,13303,143
Georgia,Wayne,-24.212106053,% change,13305,147
Georgia,Webster,5.857580398,% change,13307,149
Georgia,Wheeler,-49.681925907,% change,13309,154
Georgia,White,-28.689505637,% change,13311,157
Georgia,Whitfield,7.380014205,% change,13313,159
Georgia,Wilcox,-100.0,% change,13315,163
Georgia,Wilkes,-21.884544899,% change,13317,167
Georgia,Wilkinson,56.00132626,% change,13319,169
Georgia,Worth,-48.054925431,% change,13321,173
Hawaii,Hawaii,-1.262153168,% change,15001,198
Hawaii,Honolulu,-9.035909942,% change,15003,234
Hawaii,Kalawao,0.0,% change,15005,247
Hawaii,Kauai,-0.511216175,% change,15007,261
Hawaii,Maui,8.710578072,% change,15009,323
Idaho,Ada,17.838798116,% change,16001,336
Idaho,Adams,-100.0,% change,16003,338
Idaho,Bannock,21.092399241,% change,16005,343
Idaho,Bear Lake,-33.209918097,% change,16007,349
Idaho,Benewah,1.640434493,% change,16009,354
Idaho,Bingham,21.686443487,% change,16011,362
Idaho,Blaine,21.13058277,% change,16013,371
Idaho,Boise,-1.453160271,% change,16015,380
Idaho,Bonner,-3.719623078,% change,16017,387
Idaho,Bonneville,18.038384289,% change,16019,395
Idaho,Boundary,54.763948498,% change,16021,405
Idaho,Butte,10.104935873,% change,16023,414
Idaho,Camas,2.859778598,% change,16025,429
Idaho,Canyon,7.884455278,% change,16027,441
Idaho,Caribou,-0.926730379,% change,16029,449
Idaho,Cassia,-1.547182678,% change,16031,456
