State,County,Full-service restaurants per 1000 pop (% change) 2011-16 (PCH_FSRPTH_11_16),Units,FIPS,FID
California,Nevada,-2.376072838,% change,6057,243
California,Orange,9.375238482,% change,6059,257
California,Placer,3.662406837,% change,6061,266
California,Plumas,7.635803809,% change,6063,275
California,Riverside,4.184054498,% change,6065,281
California,Sacramento,4.254058251,% change,6067,289
California,San Benito,21.418579735,% change,6069,295
California,San Bernardino,11.489039353,% change,6071,302
California,San Diego,4.216712468,% change,6073,315
California,San Francisco,1.254648164,% change,6075,331
California,San Joaquin,5.146127762,% change,6077,339
California,San Luis Obispo,4.676874317,% change,6079,351
California,San Mateo,5.711933339,% change,6081,368
California,Santa Barbara,0.386235274,% change,6083,391
California,Santa Clara,3.384173945,% change,6085,406
California,Santa Cruz,10.662876611,% change,6087,415
California,Shasta,4.662321063,% change,6089,431
California,Sierra,109.176788124,% change,6091,439
California,Siskiyou,-7.718507964,% change,6093,446
California,Solano,3.192143007,% change,6095,453
California,Sonoma,3.766373701,% change,6097,463
California,Stanislaus,9.952512229,% change,6099,473
California,Sutter,4.231144664,% change,6101,483
California,Tehama,28.834979693,% change,6103,492
California,Trinity,53.87231612,% change,6105,500
California,Tulare,-1.999945234,% change,6107,501
California,Tuolumne,-17.263775014,% change,6109,513
California,Ventura,5.243464505,% change,6111,521
California,Yolo,8.66686314,% change,6113,525
California,Yuba,13.216211606,% change,6115,541
Colorado,Adams,3.218923533,% change,8001,545
Colorado,Alamosa,-27.833712867,% change,8003,549
Colorado,Arapahoe,3.978937165,% change,8005,558
Colorado,Archuleta,-2.33446692,% change,8007,560
Colorado,Baca,112.965050733,% change,8009,563
Colorado,Bent,-25.740773338,% change,8011,564
Colorado,Boulder,-4.740109476,% change,8013,570
Colorado,Broomfield,-9.872936451,% change,8014,577
Colorado,Chaffee,-0.32462239,% change,8015,582
Colorado,Cheyenne,-49.482006543,% change,8017,587
Colorado,Clear Creek,-16.378313354,% change,8019,591
Colorado,Conejos,36.752560291,% change,8021,596
Colorado,Costilla,-21.489878543,% change,8023,599
Colorado,Crowley,-62.828321279,% change,8025,605
Colorado,Custer,10.27168007,% change,8027,610
Colorado,Delta,0.085678508,% change,8029,617
Colorado,Denver,14.63293608,% change,8031,628
Colorado,Dolores,-0.872938894,% change,8033,636
Colorado,Douglas,-8.388997808,% change,8035,644
Colorado,Eagle,-3.795529348,% change,8037,648
Colorado,Elbert,-21.713620432,% change,8039,655
Colorado,El Paso,-5.666702772,% change,8041,661
Colorado,Fremont,-10.656266941,% change,8043,664
Colorado,Garfield,9.128056519,% change,8045,667
Colorado,Gilpin,-38.83149873,% change,8047,672
Colorado,Grand,-8.926390933,% change,8049,677
Colorado,Gunnison,-2.092050209,% change,8051,682
Colorado,Hinsdale,-10.147032129,% change,8053,688
Colorado,Huerfano,8.947128532,% change,8055,693
Colorado,Jackson,-33.431372549,% change,8057,701
Colorado,Jefferson,4.482219651,% change,8059,706
Colorado,Kiowa,6.15727003,% change,8061,711
Colorado,Kit Carson,-8.352685594,% change,8063,716
Colorado,Lake,37.767176289,% change,8065,721
Colorado,La Plata,-12.576015961,% change,8067,727
Colorado,Larimer,2.48370367,% change,8069,734
Colorado,Las Animas,-13.29372826,% change,8071,741
Colorado,Lincoln,-26.955231931,% change,8073,747
Colorado,Logan,29.503827985,% change,8075,749
Colorado,Mesa,5.488120352,% change,8077,751
Colorado,Mineral,13.006622517,% change,8079,757
Colorado,Moffat,1.907149913,% change,8081,758
Colorado,Montezuma,28.451627892,% change,8083,766
Colorado,Montrose,14.964847546,% change,8085,769
Colorado,Morgan,-11.46171115,% change,8087,775
Colorado,Otero,-6.443283492,% change,8089,777
Colorado,Ouray,3.097334251,% change,8091,780
Colorado,Park,17.685093005,% change,8093,782
Colorado,Phillips,22.606867554,% change,8095,785
Colorado,Pitkin,5.683633686,% change,8097,789
Colorado,Prowers,-10.51797481,% change,8099,792
Colorado,Pueblo,-3.554064071,% change,8101,795
Colorado,Rio Blanco,-30.371741478,% change,8103,799
Colorado,Rio Grande,5.00088199,% change,8105,802
Colorado,Routt,16.620454252,% change,8107,809
Colorado,Saguache,15.692211644,% change,8109,811
Colorado,San Juan,-27.16717245,% change,8111,347
Colorado,San Miguel,-16.63597299,% change,8113,359
Colorado,Sedgwick,195.135135135,% change,8115,366
Colorado,Summit,15.340234736,% change,8117,373
Colorado,Teller,-36.619221587,% change,8119,375
Colorado,Washington,194.861741643,% change,8121,377
Colorado,Weld,4.132827478,% change,8123,382
Colorado,Yuma,-18.910604863,% change,8125,385
Connecticut,Fairfield,0.243533818,% change,9001,410
Connecticut,Hartford,1.501668128,% change,9003,432
Connecticut,Litchfield,-2.525105558,% change,9005,443
Connecticut,Middlesex,-0.958524272,% change,9007,450
Connecticut,New Haven,-0.99836398,% change,9009,466
Connecticut,New London,-2.544809921,% change,9011,517
Connecticut,Tolland,4.500968846,% change,9013,524
Connecticut,Windham,-5.819776129,% change,9015,529
Delaware,Kent,-10.577141865,% change,10001,532
Delaware,New Castle,8.238113478,% change,10003,536
Delaware,Sussex,-0.298832009,% change,10005,609
District of Columbia,District of Columbia,10.457499981,% change,11001,630
Florida,Alachua,5.51256655,% change,12001,639
Florida,Baker,-22.501880709,% change,12003,641
Florida,Bay,2.11286559,% change,12005,658
Florida,Bradford,27.650404071,% change,12007,665
Florida,Brevard,11.080234629,% change,12009,686
Florida,Broward,5.590419481,% change,12011,695
Florida,Calhoun,-10.349209665,% change,12013,699
Florida,Charlotte,8.007628352,% change,12015,743
Florida,Citrus,9.521055057,% change,12017,843
Florida,Clay,-10.618854353,% change,12019,852
Florida,Collier,3.775414224,% change,12021,894
Florida,Columbia,-5.206402008,% change,12023,903
Florida,DeSoto,29.135699374,% change,12027,906
Florida,Dixie,99.101778236,% change,12029,918
Florida,Duval,4.378122319,% change,12031,924
Florida,Escambia,1.541869579,% change,12033,931
Florida,Flagler,3.725271937,% change,12035,935
Florida,Franklin,-7.215172318,% change,12037,937
Florida,Gadsden,2.599935002,% change,12039,938
Florida,Gilchrist,31.652140229,% change,12041,939
Florida,Glades,186.02526003,% change,12043,940
Florida,Gulf,7.677018634,% change,12045,941
Florida,Hamilton,-79.627199106,% change,12047,942
Florida,Hardee,44.34985934,% change,12049,943
Florida,Hendry,3.694220204,% change,12051,944
Florida,Hernando,11.916457683,% change,12053,945
Florida,Highlands,17.23057096,% change,12055,946
Florida,Hillsborough,5.972940227,% change,12057,947
Florida,Holmes,87.414335034,% change,12059,948
Florida,Indian River,0.080850337,% change,12061,949
Florida,Jackson,-1.438293393,% change,12063,950
Florida,Jefferson,-73.948539439,% change,12065,951
Florida,Lafayette,-32.208612588,% change,12067,952
Florida,Lake,6.196349785,% change,12069,953
Florida,Lee,0.268357411,% change,12071,954
Florida,Leon,8.960802324,% change,12073,955
Florida,Levy,0.760332238,% change,12075,956
Florida,Liberty,32.403734423,% change,12077,957
Florida,Madison,-52.509361064,% change,12079,958
Florida,Manatee,2.214647343,% change,12081,959
Florida,Marion,8.102708041,% change,12083,960
Florida,Martin,4.825910689,% change,12085,961
Florida,Miami-Dade,10.484513567,% change,12086,962
Florida,Monroe,3.244353175,% change,12087,963
Florida,Nassau,-4.234370447,% change,12089,964
Florida,Okaloosa,-2.814206242,% change,12091,965
Florida,Okeechobee,-5.698390727,% change,12093,966
Florida,Orange,10.305245928,% change,12095,967
Florida,Osceola,-5.633832671,% change,12097,968
Florida,Palm Beach,1.576573209,% change,12099,969
Florida,Pasco,-6.830895772,% change,12101,970
Florida,Pinellas,4.721323136,% change,12103,971
Florida,Polk,-0.185925094,% change,12105,972
Florida,Putnam,1.70018231,% change,12107,973
Florida,St. Johns,2.104492755,% change,12109,974
Florida,St. Lucie,-3.45202079,% change,12111,975
Florida,Santa Rosa,-9.756921284,% change,12113,976
Florida,Sarasota,5.970499773,% change,12115,977
Florida,Seminole,1.107362294,% change,12117,978
Florida,Sumter,12.32007599,% change,12119,979
Florida,Suwannee,-39.136797957,% change,12121,980
Florida,Taylor,2.414323176,% change,12123,981
Florida,Union,-74.952511954,% change,12125,982
Florida,Volusia,9.772731708,% change,12127,983
Florida,Wakulla,-2.86655167,% change,12129,984
Florida,Walton,10.330846191,% change,12131,985
Florida,Washington,30.303067485,% change,12133,986
Georgia,Appling,-9.169596971,% change,13001,987
Georgia,Atkinson,-100.0,% change,13003,988
Georgia,Bacon,-1.786185658,% change,13005,989
Georgia,Baker,0.0,% change,13007,990
Georgia,Baldwin,-17.725420772,% change,13009,991
Georgia,Banks,8.084821672,% change,13011,992
Georgia,Barrow,-18.109682692,% change,13013,993
Georgia,Bartow,-5.919622393,% change,13015,994
Georgia,Ben Hill,22.603839442,% change,13017,995
Georgia,Berrien,1.930156727,% change,13019,996
Georgia,Bibb,3.664762899,% change,13021,997
Georgia,Bleckley,102.822142968,% change,13023,998
Georgia,Brantley,-49.496050123,% change,13025,999
Georgia,Brooks,-15.068289471,% change,13027,565
Georgia,Bryan,8.019854334,% change,13029,573
Georgia,Bulloch,-12.614791431,% change,13031,579
Georgia,Burke,-22.034235669,% change,13033,583
Georgia,Butts,-8.217889239,% change,13035,588
Georgia,Calhoun,-17.096824652,% change,13037,592
Georgia,Camden,-15.447664108,% change,13039,603
Georgia,Candler,-20.13437166,% change,13043,616
Georgia,Carroll,19.696162957,% change,13045,620
Georgia,Catoosa,0.7797999,% change,13047,626
Georgia,Charlton,111.152066505,% change,13049,635
Georgia,Chatham,9.027500008,% change,13051,646
Georgia,Chattahoochee,-44.242574257,% change,13053,656
Georgia,Chattooga,-17.281037329,% change,13055,659
Georgia,Cherokee,-9.216622976,% change,13057,662
Georgia,Clarke,4.44893884,% change,13059,666
Georgia,Clay,0.0,% change,13061,670
Georgia,Clayton,-16.819129386,% change,13063,673
Georgia,Clinch,-50.412431875,% change,13065,676
Georgia,Cobb,3.605335785,% change,13067,680
Georgia,Coffee,-14.966407067,% change,13069,684
Georgia,Colquitt,12.207643671,% change,13071,689
Georgia,Columbia,-9.29307024,% change,13073,692
Georgia,Cook,-40.495723512,% change,13075,697
Georgia,Coweta,7.70137602,% change,13077,700
Georgia,Crawford,-100.0,% change,13079,704
Georgia,Crisp,11.00158834,% change,13081,707
Georgia,Dade,-20.560549467,% change,13083,708
Georgia,Dawson,-24.472112819,% change,13085,713
Georgia,Decatur,10.920830994,% change,13087,714
Georgia,DeKalb,2.239528314,% change,13089,718
Georgia,Dodge,-30.856969173,% change,13091,720
Georgia,Dooly,-64.950186052,% change,13093,724
Georgia,Dougherty,-11.26880635,% change,13095,728
Georgia,Douglas,-7.429136684,% change,13097,731
Georgia,Early,-21.460477763,% change,13099,735
Georgia,Echols,nan,% change,13101,737
Georgia,Effingham,3.50058921,% change,13103,742
Georgia,Elbert,-17.158230162,% change,13105,746
Georgia,Emanuel,54.443574636,% change,13107,750
Georgia,Evans,-26.442230435,% change,13109,754
Georgia,Fannin,13.498459445,% change,13111,755
Georgia,Fayette,12.25757559,% change,13113,760
Georgia,Floyd,1.193284634,% change,13115,764
Georgia,Forsyth,1.516976028,% change,13117,768
Georgia,Franklin,-1.50183807,% change,13119,772
Georgia,Fulton,1.506749136,% change,13121,779
Georgia,Gilmer,-13.222921453,% change,13123,781
Georgia,Glascock,107.152406417,% change,13125,783
Georgia,Glynn,2.076003629,% change,13127,793
Georgia,Gordon,-9.828362414,% change,13129,796
Georgia,Grady,0.915920138,% change,13131,797
Georgia,Greene,0.861916288,% change,13133,800
Georgia,Gwinnett,0.720832509,% change,13135,804
Georgia,Habersham,-12.263394979,% change,13137,806
Georgia,Hall,10.417282419,% change,13139,808
Georgia,Hancock,117.072888992,% change,13141,810
Georgia,Haralson,4.534632498,% change,13143,813
Georgia,Harris,25.69670565,% change,13145,814
Georgia,Hart,-0.457961484,% change,13147,816
Georgia,Heard,-49.347675825,% change,13149,817
Georgia,Henry,-4.110139821,% change,13151,820
Georgia,Houston,0.514909462,% change,13153,823
Georgia,Irwin,-30.925668697,% change,13155,825
Georgia,Jackson,-2.923111377,% change,13157,828
Georgia,Jasper,33.497334973,% change,13159,830
Georgia,Jeff Davis,-18.995323981,% change,13161,832
Georgia,Jefferson,70.043070687,% change,13163,834
Georgia,Jenkins,-7.331812999,% change,13165,835
Georgia,Johnson,-22.849434738,% change,13167,837
Georgia,Jones,30.824081533,% change,13169,839
Georgia,Lamar,31.088251218,% change,13171,841
Georgia,Lanier,-49.889994261,% change,13173,845
Georgia,Laurens,17.222463553,% change,13175,847
Georgia,Lee,76.003421143,% change,13177,849
Georgia,Liberty,6.025411305,% change,13179,855
Georgia,Lincoln,25.111266531,% change,13181,857
Georgia,Long,-59.105087663,% change,13183,860
Georgia,Lowndes,9.440940087,% change,13185,863
Georgia,Lumpkin,-3.244734839,% change,13187,865
Georgia,McDuffie,15.121977203,% change,13189,868
Georgia,McIntosh,-17.303865833,% change,13191,871
Georgia,Macon,-46.516272189,% change,13193,874
Georgia,Madison,17.077739619,% change,13195,875
Georgia,Marion,-31.758900247,% change,13197,877
Georgia,Meriwether,2.538914199,% change,13199,879
Georgia,Miller,-70.481210678,% change,13201,881
Georgia,Mitchell,-30.388350959,% change,13205,883
Georgia,Monroe,-26.498381636,% change,13207,885
Georgia,Montgomery,nan,% change,13209,887
Georgia,Morgan,-5.907642015,% change,13211,890
Georgia,Murray,-27.209929445,% change,13213,892
Georgia,Muscogee,8.759452594,% change,13215,896
Georgia,Newton,8.136500613,% change,13217,899
Georgia,Oconee,7.095969186,% change,13219,901
Georgia,Oglethorpe,nan,% change,13221,905
Georgia,Paulding,7.541287474,% change,13223,908
Georgia,Peach,2.936912153,% change,13225,910
Georgia,Pickens,-15.236006867,% change,13227,912
Georgia,Pierce,193.147049641,% change,13229,915
Georgia,Pike,-20.638286001,% change,13231,7
Georgia,Polk,6.595513281,% change,13233,8
Georgia,Pulaski,46.624215088,% change,13235,11
Georgia,Putnam,31.650269167,% change,13237,13
Georgia,Quitman,0.0,% change,13239,16
Georgia,Rabun,18.947140207,% change,13241,18
Georgia,Randolph,-65.102652826,% change,13243,23
Georgia,Richmond,2.317293429,% change,13245,24
Georgia,Rockdale,-15.370887574,% change,13247,28
Georgia,Schley,nan,% change,13249,31
Georgia,Screven,-48.674458381,% change,13251,34
Georgia,Seminole,55.68383659,% change,13253,38
Georgia,Spalding,1.785762332,% change,13255,41
Georgia,Stephens,-19.844503188,% change,13257,45
Georgia,Stewart,-79.329361702,% change,13259,48
Georgia,Sumter,-25.136715533,% change,13261,52
Georgia,Talbot,-100.0,% change,13263,57
Georgia,Taliaferro,nan,% change,13265,60
Georgia,Tattnall,20.792690163,% change,13267,63
Georgia,Taylor,-100.0,% change,13269,69
Georgia,Telfair,69.078208806,% change,13271,75
Georgia,Terrell,-36.604410441,% change,13273,78
Georgia,Thomas,37.62773969,% change,13275,83
Georgia,Tift,4.845400178,% change,13277,87
Georgia,Toombs,5.633184205,% change,13279,91
Georgia,Towns,-27.506094516,% change,13281,95
Georgia,Treutlen,102.854169764,% change,13283,102
Georgia,Troup,-3.065523962,% change,13285,105
Georgia,Turner,12.104867035,% change,13287,108
Georgia,Twiggs,-46.442015786,% change,13289,116
Georgia,Union,-6.213592233,% change,13291,120
Georgia,Upson,9.576164499,% change,13293,123
Georgia,Walker,-4.081692391,% change,13295,126
Georgia,Walton,5.47956009,% change,13297,127
Georgia,Ware,-11.779575329,% change,13299,132
Georgia,Warren,-100.0,% change,13301,135
Georgia,Washington,-14.085926363,% change,13303,143
Georgia,Wayne,-10.177310878,% change,13305,147
Georgia,Webster,0.0,% change,13307,149
Georgia,Wheeler,-66.454617272,% change,13309,154
Georgia,White,17.022349723,% change,13311,157
Georgia,Whitfield,-7.817950768,% change,13313,159
Georgia,Wilcox,-48.071501071,% change,13315,163
Georgia,Wilkes,-40.48346278,% change,13317,167
Georgia,Wilkinson,4.000884173,% change,13319,169
Georgia,Worth,3.890149138,% change,13321,173
Hawaii,Hawaii,6.336878042,% change,15001,198
Hawaii,Honolulu,8.372779498,% change,15003,234
Hawaii,Kalawao,0.0,% change,15005,247
Hawaii,Kauai,11.193346628,% change,15007,261
Hawaii,Maui,-6.187073784,% change,15009,323
Idaho,Ada,3.708768921,% change,16001,336
Idaho,Adams,-19.351734616,% change,16003,338
Idaho,Bannock,12.674211058,% change,16005,343
Idaho,Bear Lake,-16.512397621,% change,16007,349
Idaho,Benewah,21.968521392,% change,16009,354
Idaho,Bingham,26.756711966,% change,16011,362
Idaho,Blaine,-6.380430944,% change,16013,371
Idaho,Boise,-10.411963883,% change,16015,380
Idaho,Bonner,3.32528255,% change,16017,387
Idaho,Bonneville,-5.569292569,% change,16019,395
Idaho,Boundary,-17.459227468,% change,16021,405
Idaho,Butte,10.104935873,% change,16023,414
Idaho,Camas,54.289667897,% change,16025,429
Idaho,Canyon,-6.020652292,% change,16027,441
Idaho,Caribou,23.841587026,% change,16029,449
Idaho,Cassia,-1.547182678,% change,16031,456
Idaho,Clark,11.709601874,% change,16033,464
Idaho,Clearwater,-22.618351841,% change,16035,474
Idaho,Custer,5.256753468,% change,16037,484
